Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m04
0.3000000000000002	1	0	0	0
10.600000000000001	4	4	4	4
20.779999999999998	4	4	4	4
30.960000000000026	4	4	4	4
41.14000000000006	4	4	4	4
51.32000000000002	4	4	4	4
51.52999999999998	4	3	3	3
61.72999999999994	4	4	4	4
71.9099999999999	4	4	4	4
82.08999999999999	4	4	4	4
92.27000000000008	4	4	4	4
102.45000000000017	4	4	4	4
102.66000000000028	4	3	3	3
112.85000000000038	4	4	4	4
123.03000000000047	4	4	4	4
133.21000000000055	4	4	4	4
143.39000000000038	4	4	4	4
153.57000000000022	4	4	4	4
153.78000000000003	4	3	3	3
163.96999999999986	4	4	4	4
174.1499999999997	4	4	4	4
184.32999999999953	4	4	4	4
194.50999999999937	4	4	4	4
204.6899999999992	4	4	4	4
204.899999999999	4	3	3	3
215.09999999999883	4	4	4	4
225.27999999999867	4	4	4	4
235.4599999999985	4	4	4	4
245.63999999999834	4	4	4	4
255.81999999999817	4	4	4	4
256.029999999998	4	3	3	3
266.2199999999978	4	4	4	4
276.39999999999765	4	4	4	4
286.5799999999975	4	4	4	4
296.7599999999973	4	4	4	4
306.93999999999716	4	4	4	4
307.14999999999696	4	3	3	3
317.3399999999968	4	4	4	4
327.5199999999966	4	4	4	4
337.69999999999646	4	4	4	4
347.8799999999963	4	4	4	4
358.05999999999614	4	4	4	4
358.26999999999595	4	3	3	3
368.46999999999576	4	4	4	4
378.6499999999956	4	4	4	4
388.82999999999544	4	4	4	4
399.0099999999953	4	4	4	4
409.1899999999951	4	4	4	4
409.3999999999949	4	3	3	3
419.58999999999475	4	4	4	4
429.7699999999946	4	4	4	4
439.9499999999944	4	4	4	4
450.12999999999425	4	4	4	4
460.3099999999941	4	4	4	4
460.5199999999939	4	3	3	3
470.7199999999937	4	4	4	4
480.89999999999355	4	4	4	4
491.0799999999934	4	4	4	4
501.2599999999932	4	4	4	4
511.43999999999306	4	4	4	4
511.6599999999929	4	3	3	3
521.8599999999927	4	4	4	4
532.0399999999926	4	4	4	4
542.2199999999924	4	4	4	4
552.3999999999922	4	4	4	4
562.5799999999921	4	4	4	4
562.7899999999919	4	3	3	3
572.9899999999917	4	4	4	4
583.1699999999915	4	4	4	4
593.3499999999914	4	4	4	4
603.5299999999912	4	4	4	4
613.709999999991	4	4	4	4
613.9199999999909	4	3	3	3
624.1199999999907	4	4	4	4
634.2999999999905	4	4	4	4
644.4799999999904	4	4	4	4
654.6599999999902	4	4	4	4
664.83999999999	4	4	4	4
665.0499999999898	4	3	3	3
675.2399999999897	4	4	4	4
685.4199999999895	4	4	4	4
695.5999999999893	4	4	4	4
705.7799999999892	4	4	4	4
715.959999999989	4	4	4	4
716.1699999999888	4	3	3	3
726.3699999999886	4	4	4	4
736.5499999999885	4	4	4	4
746.7299999999883	4	4	4	4
756.9099999999881	4	4	4	4
767.089999999988	4	4	4	4
767.2999999999878	4	3	3	3
777.4999999999876	4	4	4	4
787.6799999999874	4	4	4	4
797.8599999999873	4	4	4	4
808.0399999999871	4	4	4	4
818.219999999987	4	4	4	4
818.4299999999868	4	3	3	3
828.6299999999866	4	4	4	4
838.8099999999864	4	4	4	4
848.9899999999863	4	4	4	4
859.1699999999861	4	4	4	4
869.3499999999859	4	4	4	4
869.5599999999857	4	3	3	3
879.7599999999856	4	4	4	4
889.9399999999854	4	4	4	4
900.1199999999852	4	4	4	4
910.2999999999851	4	4	4	4
920.4799999999849	4	4	4	4
920.6899999999847	4	3	3	3
930.8899999999845	4	4	4	4
941.0699999999844	4	4	4	4
951.2499999999842	4	4	4	4
961.429999999984	4	4	4	4
971.6099999999839	4	4	4	4
971.8199999999837	4	3	3	3
982.0099999999835	4	4	4	4
992.1899999999833	4	4	4	4
1002.3699999999832	4	4	4	4
1012.549999999983	4	4	4	4
1022.7299999999829	4	4	4	4
1022.9499999999827	4	3	3	3
1033.1399999999826	4	4	4	4
1043.3199999999824	4	4	4	4
1053.4999999999823	4	4	4	4
1063.679999999982	4	4	4	4
1073.859999999982	4	4	4	4
1074.0699999999817	4	3	3	3
1084.2599999999816	4	4	4	4
1094.4399999999814	4	4	4	4
1104.6199999999812	4	4	4	4
1114.799999999981	4	4	4	4
1124.979999999981	4	4	4	4
1125.1899999999807	4	3	3	3
1135.3799999999806	4	4	4	4
1145.5599999999804	4	4	4	4
1155.7399999999802	4	4	4	4
1165.91999999998	4	4	4	4
1176.09999999998	4	4	4	4
1176.3099999999797	4	3	3	3
1186.4999999999795	4	4	4	4
1196.6799999999794	4	4	4	4
1206.8599999999792	4	4	4	4
1217.039999999979	4	4	4	4
1227.2199999999789	4	4	4	4
1227.4299999999787	4	3	3	3
