Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
0.0	1	0	0	0
10.310035798735413	4	4	4	4
20.490071146080368	4	4	4	4
30.670106493425354	4	4	4	4
40.85014184077034	4	4	4	4
51.03017718811526	4	4	4	4
51.24017791728442	4	3	3	3
61.440213334074016	4	4	4	4
71.62024868141894	4	4	4	4
81.80028402876398	4	4	4	4
91.98031937610904	4	4	4	4
102.16035472345409	4	4	4	4
102.3703554526234	4	3	3	3
112.56039083469079	4	4	4	4
122.74042618203583	4	4	4	4
132.92046152938084	4	4	4	4
143.10049687672563	4	4	4	4
153.2805322240704	4	4	4	4
153.51053302268411	4	3	3	3
163.71056843947358	4	4	4	4
173.89060378681833	4	4	4	4
184.07063913416314	4	4	4	4
194.25067448150793	4	4	4	4
204.43070982885274	4	4	4	4
204.64071055802174	4	3	3	3
214.83074594008886	4	4	4	4
225.01078128743367	4	4	4	4
235.19081663477846	4	4	4	4
245.37085198212327	4	4	4	4
255.55088732946805	4	4	4	4
255.76088805863705	4	3	3	3
265.9609234754265	4	4	4	4
276.14095882277127	4	4	4	4
286.3209941701161	4	4	4	4
296.5010295174609	4	4	4	4
306.68106486480565	4	4	4	4
306.8910655939747	4	3	3	3
317.09110101076413	4	4	4	4
327.27113635810895	4	4	4	4
337.45117170545376	4	4	4	4
347.6312070527985	4	4	4	4
357.8112424001433	4	4	4	4
358.0212431293123	4	3	3	3
368.22127854610176	4	4	4	4
378.40131389344657	4	4	4	4
388.5813492407914	4	4	4	4
398.76138458813614	4	4	4	4
408.94141993548095	4	4	4	4
409.15142066464995	4	3	3	3
419.3414560467171	4	4	4	4
429.5214913940619	4	4	4	4
439.70152674140667	4	4	4	4
449.8815620887515	4	4	4	4
460.0615974360963	4	4	4	4
460.2715981652653	4	3	3	3
470.46163354733244	4	4	4	4
480.6416688946772	4	4	4	4
490.821704242022	4	4	4	4
501.0017395893667	4	4	4	4
511.1817749367115	4	4	4	4
511.40177570060297	4	3	3	3
521.6018111173925	4	4	4	4
531.7818464647373	4	4	4	4
541.9618818120821	4	4	4	4
552.1419171594268	4	4	4	4
562.3219525067717	4	4	4	4
562.5319532359407	4	3	3	3
572.7319886527301	4	4	4	4
582.9120240000749	4	4	4	4
593.0920593474196	4	4	4	4
603.2720946947645	4	4	4	4
613.4521300421093	4	4	4	4
613.6621307712783	4	3	3	3
623.8621661880677	4	4	4	4
634.0422015354126	4	4	4	4
644.2222368827573	4	4	4	4
654.4022722301021	4	4	4	4
664.582307577447	4	4	4	4
664.792308306616	4	3	3	3
674.982343688683	4	4	4	4
685.1623790360278	4	4	4	4
695.3424143833726	4	4	4	4
705.5224497307174	4	4	4	4
715.7024850780622	4	4	4	4
715.9124858072312	4	3	3	3
726.1025211892983	4	4	4	4
736.2825565366431	4	4	4	4
746.4625918839879	4	4	4	4
756.6426272313327	4	4	4	4
766.8226625786775	4	4	4	4
767.0326633078465	4	3	3	3
777.2226986899136	4	4	4	4
787.4027340372585	4	4	4	4
797.5827693846032	4	4	4	4
807.762804731948	4	4	4	4
817.9428400792929	4	4	4	4
818.1528408084619	4	3	3	3
828.3528762252513	4	4	4	4
838.532911572596	4	4	4	4
848.7129469199409	4	4	4	4
858.8929822672857	4	4	4	4
869.0730176146304	4	4	4	4
869.2830183437995	4	3	3	3
879.4730537258666	4	4	4	4
889.6530890732114	4	4	4	4
899.8331244205563	4	4	4	4
910.013159767901	4	4	4	4
920.1931951152458	4	4	4	4
920.4031958444148	4	3	3	3
930.593231226482	4	4	4	4
940.7732665738267	4	4	4	4
950.9533019211715	4	4	4	4
961.1333372685164	4	4	4	4
971.3133726158611	4	4	4	4
971.5233733450301	4	3	3	3
981.7234087618197	4	4	4	4
991.9034441091644	4	4	4	4
1002.0834794565092	4	4	4	4
1012.263514803854	4	4	4	4
1022.4435501511988	4	4	4	4
1022.6635509150901	4	3	3	3
1032.8535862971573	4	4	4	4
1043.033621644502	4	4	4	4
