Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m04
0.3000000000000002	1	0	0	0
10.600000000000001	4	4	4	4
20.779999999999998	4	4	4	4
30.960000000000026	4	4	4	4
41.14000000000006	4	4	4	4
51.32000000000002	4	4	4	4
51.52999999999998	4	3	3	3
61.72999999999994	4	4	4	4
71.9099999999999	4	4	4	4
82.08999999999999	4	4	4	4
92.27000000000008	4	4	4	4
102.45000000000017	4	4	4	4
102.66000000000028	4	3	3	3
112.86000000000038	4	4	4	4
123.04000000000048	4	4	4	4
133.22000000000054	4	4	4	4
143.40000000000038	4	4	4	4
153.5800000000002	4	4	4	4
153.79000000000002	4	3	3	3
163.97999999999985	4	4	4	4
174.15999999999968	4	4	4	4
184.33999999999952	4	4	4	4
194.51999999999936	4	4	4	4
204.6999999999992	4	4	4	4
204.909999999999	4	3	3	3
215.10999999999882	4	4	4	4
225.28999999999866	4	4	4	4
235.4699999999985	4	4	4	4
245.64999999999833	4	4	4	4
255.82999999999817	4	4	4	4
256.039999999998	4	3	3	3
266.2399999999978	4	4	4	4
276.41999999999763	4	4	4	4
286.59999999999746	4	4	4	4
296.7799999999973	4	4	4	4
306.95999999999714	4	4	4	4
307.16999999999695	4	3	3	3
317.36999999999676	4	4	4	4
327.5499999999966	4	4	4	4
337.72999999999644	4	4	4	4
347.9099999999963	4	4	4	4
358.0899999999961	4	4	4	4
358.2999999999959	4	3	3	3
368.49999999999574	4	4	4	4
378.6799999999956	4	4	4	4
388.8599999999954	4	4	4	4
399.03999999999525	4	4	4	4
409.2199999999951	4	4	4	4
409.4299999999949	4	3	3	3
419.6299999999947	4	4	4	4
429.80999999999455	4	4	4	4
439.9899999999944	4	4	4	4
450.1699999999942	4	4	4	4
460.34999999999405	4	4	4	4
460.55999999999386	4	3	3	3
470.7599999999937	4	4	4	4
480.9399999999935	4	4	4	4
491.11999999999335	4	4	4	4
501.2999999999932	4	4	4	4
511.479999999993	4	4	4	4
511.6999999999929	4	3	3	3
521.8999999999927	4	4	4	4
532.0799999999925	4	4	4	4
542.2599999999924	4	4	4	4
552.4399999999922	4	4	4	4
562.619999999992	4	4	4	4
562.8299999999919	4	3	3	3
573.0299999999917	4	4	4	4
583.2099999999915	4	4	4	4
593.3899999999913	4	4	4	4
603.5699999999912	4	4	4	4
613.749999999991	4	4	4	4
613.9599999999908	4	3	3	3
624.1599999999906	4	4	4	4
634.3399999999905	4	4	4	4
644.5199999999903	4	4	4	4
654.6999999999902	4	4	4	4
664.87999999999	4	4	4	4
665.0899999999898	4	3	3	3
675.2799999999896	4	4	4	4
685.4599999999895	4	4	4	4
695.6399999999893	4	4	4	4
705.8199999999891	4	4	4	4
715.999999999989	4	4	4	4
716.2099999999888	4	3	3	3
726.3999999999886	4	4	4	4
736.5799999999884	4	4	4	4
746.7599999999883	4	4	4	4
756.9399999999881	4	4	4	4
767.119999999988	4	4	4	4
767.3299999999878	4	3	3	3
777.5299999999876	4	4	4	4
787.7099999999874	4	4	4	4
797.8899999999873	4	4	4	4
808.0699999999871	4	4	4	4
818.2499999999869	4	4	4	4
818.4599999999867	4	3	3	3
828.6599999999866	4	4	4	4
838.8399999999864	4	4	4	4
849.0199999999862	4	4	4	4
859.1999999999861	4	4	4	4
869.3799999999859	4	4	4	4
869.5899999999857	4	3	3	3
879.7899999999855	4	4	4	4
889.9699999999854	4	4	4	4
900.1499999999852	4	4	4	4
910.329999999985	4	4	4	4
920.5099999999849	4	4	4	4
920.7199999999847	4	3	3	3
930.9199999999845	4	4	4	4
941.0999999999843	4	4	4	4
951.2799999999842	4	4	4	4
961.459999999984	4	4	4	4
971.6399999999838	4	4	4	4
971.8499999999837	4	3	3	3
982.0499999999835	4	4	4	4
992.2299999999833	4	4	4	4
1002.4099999999831	4	4	4	4
1012.589999999983	4	4	4	4
1022.7699999999828	4	4	4	4
1022.9899999999826	4	3	3	3
1033.1899999999825	4	4	4	4
1043.3699999999824	4	4	4	4
1053.5499999999822	4	4	4	4
1063.729999999982	4	4	4	4
1073.909999999982	4	4	4	4
1074.1199999999817	4	3	3	3
1084.3199999999815	4	4	4	4
1094.4999999999814	4	4	4	4
1104.6799999999812	4	4	4	4
1114.859999999981	4	4	4	4
1125.0399999999809	4	4	4	4
1125.2499999999807	4	3	3	3
1135.4499999999805	4	4	4	4
1145.6299999999803	4	4	4	4
1155.8099999999802	4	4	4	4
1165.98999999998	4	4	4	4
1176.1699999999798	4	4	4	4
1176.3799999999796	4	3	3	3
1186.5799999999795	4	4	4	4
1196.7599999999793	4	4	4	4
1206.9399999999791	4	4	4	4
1217.119999999979	4	4	4	4
1227.2999999999788	4	4	4	4
1227.5099999999786	4	3	3	3
