Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m04
0.0	1	0	0	0
10.59212945936006	4	4	4	4
21.18425891872012	4	4	4	4
31.776388378080178	4	4	4	4
42.36851783744024	4	4	4	4
52.960647296800296	4	4	4	4
63.552776756160355	4	3	3	3
74.14490621552041	4	4	4	4
84.73703567488047	4	4	4	4
95.32916513424053	4	4	4	4
105.92129459360059	4	4	4	4
116.51342405296064	4	4	4	4
127.10555351232071	4	3	3	3
137.69768297168076	4	4	4	4
148.28981243104081	4	4	4	4
158.8819418904009	4	4	4	4
169.47407134976095	4	4	4	4
180.066200809121	4	4	4	4
190.65833026848105	4	3	3	3
201.2504597278411	4	4	4	4
211.84258918720118	4	4	4	4
222.43471864656124	4	4	4	4
233.0268481059213	4	4	4	4
243.61897756528134	4	4	4	4
254.21110702464142	4	3	3	3
264.80323648400145	4	4	4	4
275.3953659433615	4	4	4	4
285.9874954027216	4	4	4	4
296.57962486208163	4	4	4	4
307.1717543214417	4	4	4	4
317.7638837808018	4	3	3	3
328.3560132401618	4	4	4	4
338.9481426995219	4	4	4	4
349.540272158882	4	4	4	4
360.132401618242	4	4	4	4
370.724531077602	4	4	4	4
381.3166605369621	4	3	3	3
391.9087899963222	4	4	4	4
402.5009194556822	4	4	4	4
413.0930489150423	4	4	4	4
423.68517837440237	4	4	4	4
434.27730783376245	4	4	4	4
444.8694372931225	4	3	3	3
455.4615667524825	4	4	4	4
466.0536962118426	4	4	4	4
476.64582567120266	4	4	4	4
487.2379551305627	4	4	4	4
497.83008458992276	4	4	4	4
508.42221404928284	4	3	3	3
519.0143435086429	4	4	4	4
529.6064729680029	4	4	4	4
540.198602427363	4	4	4	4
550.790731886723	4	4	4	4
561.3828613460831	4	4	4	4
571.9749908054432	4	3	3	3
582.5671202648032	4	4	4	4
593.1592497241633	4	4	4	4
603.7513791835233	4	4	4	4
614.3435086428834	4	4	4	4
624.9356381022435	4	4	4	4
635.5277675616036	4	3	3	3
646.1198970209637	4	4	4	4
656.7120264803236	4	4	4	4
667.3041559396837	4	4	4	4
677.8962853990438	4	4	4	4
688.4884148584039	4	4	4	4
699.080544317764	4	3	3	3
709.6726737771239	4	4	4	4
720.264803236484	4	4	4	4
730.8569326958441	4	4	4	4
741.449062155204	4	4	4	4
752.0411916145641	4	4	4	4
762.6333210739242	4	3	3	3
773.2254505332843	4	4	4	4
783.8175799926444	4	4	4	4
794.4097094520043	4	4	4	4
805.0018389113644	4	4	4	4
815.5939683707245	4	4	4	4
826.1860978300846	4	3	3	3
836.7782272894447	4	4	4	4
847.3703567488047	4	4	4	4
857.9624862081648	4	4	4	4
868.5546156675249	4	4	4	4
879.1467451268849	4	4	4	4
889.738874586245	4	3	3	3
900.331004045605	4	4	4	4
910.923133504965	4	4	4	4
921.5152629643251	4	4	4	4
932.1073924236852	4	4	4	4
942.6995218830452	4	4	4	4
953.2916513424053	4	3	3	3
963.8837808017653	4	4	4	4
974.4759102611254	4	4	4	4
985.0680397204854	4	4	4	4
995.6601691798455	4	4	4	4
1006.2522986392056	4	4	4	4
1016.8444280985657	4	3	3	3
1027.4365575579257	4	4	4	4
1038.0286870172858	4	4	4	4
1048.6208164766458	4	4	4	4
1059.2129459360058	4	4	4	4
1069.805075395366	4	4	4	4
1080.397204854726	4	3	3	3
1090.9893343140861	4	4	4	4
1101.581463773446	4	4	4	4
1112.1735932328063	4	4	4	4
1122.7657226921663	4	4	4	4
1133.3578521515262	4	4	4	4
1143.9499816108864	4	3	3	3
1154.5421110702464	4	4	4	4
1165.1342405296064	4	4	4	4
1175.7263699889666	4	4	4	4
1186.3184994483265	4	4	4	4
1196.9106289076867	4	4	4	4
1207.5027583670467	4	3	3	3
1218.0948878264066	4	4	4	4
1228.6870172857668	4	4	4	4
1239.2791467451268	4	4	4	4
1249.871276204487	4	4	4	4
1260.463405663847	4	4	4	4
1271.0555351232072	4	3	3	3
1281.6476645825671	4	4	4	4
1292.2397940419273	4	4	4	4
1302.8319235012873	4	4	4	4
1313.4240529606473	4	4	4	4
1324.0161824200072	4	4	4	4
1334.6083118793674	4	3	3	3
1345.2004413387274	4	4	4	4
1355.7925707980876	4	4	4	4
1366.3847002574475	4	4	4	4
1376.9768297168077	4	4	4	4
1387.5689591761677	4	4	4	4
1398.161088635528	4	3	3	3
1408.7532180948879	4	4	4	4
1419.3453475542478	4	4	4	4
1429.9374770136078	4	4	4	4
1440.529606472968	4	4	4	4
1451.121735932328	4	4	4	4
1461.7138653916882	4	3	3	3
1472.3059948510481	4	4	4	4
1482.898124310408	4	4	4	4
1493.4902537697683	4	4	4	4
1504.0823832291283	4	4	4	4
1514.6745126884884	4	4	4	4
1525.2666421478484	4	3	3	3
1535.8587716072086	4	4	4	4
1546.4509010665686	4	4	4	4
1557.0430305259288	4	4	4	4
1567.6351599852887	4	4	4	4
1578.227289444649	4	4	4	4
1588.8194189040087	4	3	3	3
1599.4115483633689	4	4	4	4
1610.0036778227288	4	4	4	4
1620.595807282089	4	4	4	4
1631.187936741449	4	4	4	4
1641.780066200809	4	4	4	4
1652.3721956601692	4	3	3	3
1662.9643251195291	4	4	4	4
1673.5564545788893	4	4	4	4
1684.1485840382493	4	4	4	4
1694.7407134976095	4	4	4	4
1705.3328429569694	4	4	4	4
1715.9249724163296	4	3	3	3
1726.5171018756896	4	4	4	4
1737.1092313350498	4	4	4	4
1747.7013607944098	4	4	4	4
1758.2934902537697	4	4	4	4
1768.8856197131297	4	4	4	4
1779.47774917249	4	3	3	3
1790.0698786318499	4	4	4	4
1800.66200809121	4	4	4	4
1811.25413755057	4	4	4	4
1821.84626700993	4	4	4	4
1832.4383964692902	4	4	4	4
1843.0305259286501	4	3	3	3
1853.6226553880103	4	4	4	4
1864.2147848473703	4	4	4	4
1874.8069143067305	4	4	4	4
1885.3990437660905	4	4	4	4
1895.9911732254507	4	4	4	4
1906.5833026848106	4	3	3	3
1917.1754321441708	4	4	4	4
1927.7675616035306	4	4	4	4
1938.3596910628908	4	4	4	4
1948.9518205222507	4	4	4	4
1959.543949981611	4	4	4	4
1970.136079440971	4	3	3	3
1980.7282089003309	4	4	4	4
1991.320338359691	4	4	4	4
2001.912467819051	4	4	4	4
2012.5045972784112	4	4	4	4
2023.0967267377712	4	4	4	4
2033.6888561971314	4	3	3	3
2044.2809856564913	4	4	4	4
2054.8731151158513	4	4	4	4
2065.4652445752117	4	4	4	4
2076.0573740345717	4	4	4	4
2086.6495034939317	4	4	4	4
2097.2416329532916	4	3	3	3
2107.8337624126516	4	4	4	4
2118.4258918720116	4	4	4	4
2129.018021331372	4	4	4	4
2139.610150790732	4	4	4	4
2150.202280250092	4	4	4	4
2160.794409709452	4	3	3	3
2171.386539168812	4	4	4	4
2181.9786686281723	4	4	4	4
2192.5707980875322	4	4	4	4
2203.162927546892	4	4	4	4
2213.755057006252	4	4	4	4
2224.3471864656126	4	3	3	3
2234.9393159249726	4	4	4	4
2245.5314453843325	4	4	4	4
2256.1235748436925	4	4	4	4
2266.7157043030525	4	4	4	4
2277.3078337624124	4	4	4	4
2287.899963221773	4	3	3	3
2298.492092681133	4	4	4	4
2309.084222140493	4	4	4	4
2319.6763515998528	4	4	4	4
2330.2684810592127	4	4	4	4
2340.860610518573	4	4	4	4
2351.452739977933	4	3	3	3
2362.044869437293	4	4	4	4
2372.636998896653	4	4	4	4
2383.2291283560135	4	4	4	4
2393.8212578153734	4	4	4	4
2404.4133872747334	4	4	4	4
2415.0055167340934	4	3	3	3
2425.5976461934533	4	4	4	4
2436.1897756528133	4	4	4	4
2446.7819051121737	4	4	4	4
2457.3740345715337	4	4	4	4
2467.9661640308937	4	4	4	4
2478.5582934902536	4	3	3	3
2489.1504229496136	4	4	4	4
2499.742552408974	4	4	4	4
2510.334681868334	4	4	4	4
2520.926811327694	4	4	4	4
2531.518940787054	4	4	4	4
2542.1110702464143	4	3	3	3
2552.7031997057743	4	4	4	4
2563.2953291651343	4	4	4	4
2573.8874586244942	4	4	4	4
2584.4795880838547	4	4	4	4
2595.071717543214	4	4	4	4
2605.6638470025746	4	3	3	3
2616.2559764619346	4	4	4	4
2626.8481059212945	4	4	4	4
2637.4402353806545	4	4	4	4
2648.0323648400145	4	4	4	4
2658.624494299375	4	4	4	4
2669.216623758735	4	3	3	3
2679.808753218095	4	4	4	4
2690.400882677455	4	4	4	4
2700.993012136815	4	4	4	4
2711.585141596175	4	4	4	4
2722.177271055535	4	4	4	4
2732.769400514895	4	3	3	3
2743.3615299742555	4	4	4	4
2753.9536594336155	4	4	4	4
2764.5457888929755	4	4	4	4
2775.1379183523354	4	4	4	4
2785.730047811696	4	4	4	4
2796.322177271056	4	3	3	3
2806.914306730416	4	4	4	4
2817.5064361897757	4	4	4	4
2828.098565649136	4	4	4	4
2838.6906951084957	4	4	4	4
2849.2828245678556	4	4	4	4
2859.8749540272156	4	3	3	3
2870.4670834865756	4	4	4	4
2881.059212945936	4	4	4	4
2891.651342405296	4	4	4	4
2902.243471864656	4	4	4	4
2912.835601324016	4	4	4	4
2923.4277307833763	4	3	3	3
2934.0198602427363	4	4	4	4
2944.6119897020963	4	4	4	4
2955.204119161456	4	4	4	4
2965.796248620816	4	4	4	4
2976.3883780801766	4	4	4	4
2986.9805075395366	4	3	3	3
2997.5726369988965	4	4	4	4
3008.1647664582565	4	4	4	4
3018.756895917617	4	4	4	4
3029.349025376977	4	4	4	4
3039.941154836337	4	4	4	4
3050.533284295697	4	3	3	3
3061.1254137550573	4	4	4	4
3071.717543214417	4	4	4	4
3082.309672673777	4	4	4	4
3092.901802133137	4	4	4	4
3103.4939315924976	4	4	4	4
3114.0860610518575	4	3	3	3
3124.6781905112175	4	4	4	4
3135.2703199705775	4	4	4	4
3145.862449429938	4	4	4	4
3156.454578889298	4	4	4	4
3167.046708348658	4	4	4	4
3177.6388378080173	4	3	3	3
3188.2309672673773	4	4	4	4
3198.8230967267377	4	4	4	4
3209.4152261860977	4	4	4	4
3220.0073556454577	4	4	4	4
3230.5994851048176	4	4	4	4
3241.191614564178	4	3	3	3
3251.783744023538	4	4	4	4
3262.375873482898	4	4	4	4
3272.968002942258	4	4	4	4
3283.560132401618	4	4	4	4
3294.1522618609783	4	4	4	4
3304.7443913203383	4	3	3	3
3315.3365207796983	4	4	4	4
3325.9286502390582	4	4	4	4
3336.5207796984187	4	4	4	4
3347.1129091577786	4	4	4	4
