Relative Time (Process)	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m02	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m03	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m04
0.0	1	0	0	0
10.286938921300155	4	4	4	4
20.57387784260031	4	4	4	4
30.860816763900463	4	4	4	4
41.14775568520062	4	4	4	4
51.43469460650078	4	4	4	4
61.721633527800925	4	3	3	3
72.0085724491011	4	4	4	4
82.29551137040124	4	4	4	4
92.58245029170139	4	4	4	4
102.86938921300155	4	4	4	4
113.15632813430169	4	4	4	4
123.44326705560185	4	3	3	3
133.73020597690203	4	4	4	4
144.0171448982022	4	4	4	4
154.30408381950232	4	4	4	4
164.5910227408025	4	4	4	4
174.87796166210262	4	4	4	4
185.16490058340278	4	3	3	3
195.45183950470295	4	4	4	4
205.7387784260031	4	4	4	4
216.02571734730327	4	4	4	4
226.31265626860338	4	4	4	4
236.59959518990354	4	4	4	4
246.8865341112037	4	3	3	3
257.17347303250386	4	4	4	4
267.46041195380405	4	4	4	4
277.7473508751042	4	4	4	4
288.0342897964044	4	4	4	4
298.32122871770446	4	4	4	4
308.60816763900465	4	3	3	3
318.8951065603048	4	4	4	4
329.182045481605	4	4	4	4
339.4689844029051	4	4	4	4
349.75592332420524	4	4	4	4
360.04286224550543	4	4	4	4
370.32980116680557	4	3	3	3
380.61674008810576	4	4	4	4
390.9036790094059	4	4	4	4
401.190617930706	4	4	4	4
411.4775568520062	4	4	4	4
421.76449577330635	4	4	4	4
432.05143469460654	4	3	3	3
442.3383736159067	4	4	4	4
452.62531253720675	4	4	4	4
462.912251458507	4	4	4	4
473.1991903798071	4	4	4	4
483.48612930110727	4	4	4	4
493.7730682224074	4	3	3	3
504.0600071437076	4	4	4	4
514.3469460650077	4	4	4	4
524.6338849863079	4	4	4	4
534.9208239076081	4	4	4	4
545.2077628289081	4	4	4	4
555.4947017502084	4	3	3	3
565.7816406715085	4	4	4	4
576.0685795928088	4	4	4	4
586.3555185141088	4	4	4	4
596.6424574354089	4	4	4	4
606.9293963567092	4	4	4	4
617.2163352780093	4	3	3	3
627.5032741993094	4	4	4	4
637.7902131206096	4	4	4	4
648.0771520419097	4	4	4	4
658.36409096321	4	4	4	4
668.6510298845101	4	4	4	4
678.9379688058102	4	3	3	3
689.2249077271105	4	4	4	4
699.5118466484105	4	4	4	4
709.7987855697107	4	4	4	4
720.0857244910109	4	4	4	4
730.3726634123109	4	4	4	4
740.6596023336111	4	3	3	3
750.9465412549114	4	4	4	4
761.2334801762115	4	4	4	4
771.5204190975115	4	4	4	4
781.8073580188118	4	4	4	4
792.0942969401119	4	4	4	4
802.381235861412	4	3	3	3
812.6681747827122	4	4	4	4
822.9551137040124	4	4	4	4
833.2420526253125	4	4	4	4
843.5289915466127	4	4	4	4
853.8159304679128	4	4	4	4
864.1028693892131	4	3	3	3
874.3898083105131	4	4	4	4
884.6767472318134	4	4	4	4
894.9636861531135	4	4	4	4
905.2506250744135	4	4	4	4
915.5375639957138	4	4	4	4
925.824502917014	4	3	3	3
936.1114418383141	4	4	4	4
946.3983807596142	4	4	4	4
956.6853196809144	4	4	4	4
966.9722586022145	4	4	4	4
977.2591975235147	4	4	4	4
987.5461364448148	4	3	3	3
997.833075366115	4	4	4	4
1008.1200142874152	4	4	4	4
1018.4069532087153	4	4	4	4
1028.6938921300155	4	4	4	4
1038.9808310513156	4	4	4	4
1049.2677699726157	4	3	3	3
1059.5547088939159	4	4	4	4
1069.8416478152162	4	4	4	4
1080.1285867365164	4	4	4	4
1090.4155256578163	4	4	4	4
1100.7024645791166	4	4	4	4
1110.9894035004168	4	3	3	3
1121.276342421717	4	4	4	4
1131.563281343017	4	4	4	4
1141.8502202643172	4	4	4	4
1152.1371591856175	4	4	4	4
1162.4240981069174	4	4	4	4
1172.7110370282176	4	3	3	3
1182.997975949518	4	4	4	4
1193.2849148708178	4	4	4	4
1203.5718537921182	4	4	4	4
1213.8587927134183	4	4	4	4
1224.1457316347185	4	4	4	4
1234.4326705560186	4	3	3	3
1244.7196094773187	4	4	4	4
1255.0065483986189	4	4	4	4
1265.293487319919	4	4	4	4
1275.5804262412191	4	4	4	4
1285.8673651625195	4	4	4	4
1296.1543040838194	4	3	3	3
1306.4412430051195	4	4	4	4
1316.72818192642	4	4	4	4
1327.01512084772	4	4	4	4
1337.3020597690202	4	4	4	4
1347.5889986903203	4	4	4	4
1357.8759376116204	4	3	3	3
1368.1628765329206	4	4	4	4
1378.449815454221	4	4	4	4
1388.7367543755208	4	4	4	4
1399.023693296821	4	4	4	4
1409.3106322181213	4	4	4	4
1419.5975711394215	4	3	3	3
1429.8845100607214	4	4	4	4
1440.1714489820217	4	4	4	4
1450.4583879033219	4	4	4	4
1460.7453268246218	4	4	4	4
1471.0322657459221	4	4	4	4
1481.3192046672223	4	3	3	3
1491.6061435885224	4	4	4	4
1501.8930825098228	4	4	4	4
1512.1800214311227	4	4	4	4
1522.466960352423	4	4	4	4
1532.7538992737232	4	4	4	4
1543.040838195023	4	3	3	3
1553.3277771163234	4	4	4	4
1563.6147160376236	4	4	4	4
1573.9016549589237	4	4	4	4
1584.1885938802238	4	4	4	4
1594.475532801524	4	4	4	4
1604.762471722824	4	3	3	3
1615.0494106441245	4	4	4	4
1625.3363495654244	4	4	4	4
1635.6232884867245	4	4	4	4
1645.9102274080249	4	4	4	4
1656.1971663293248	4	4	4	4
1666.484105250625	4	3	3	3
1676.7710441719253	4	4	4	4
1687.0579830932254	4	4	4	4
1697.3449220145258	4	4	4	4
1707.6318609358257	4	4	4	4
1717.9187998571258	4	4	4	4
1728.2057387784262	4	3	3	3
1738.492677699726	4	4	4	4
1748.7796166210262	4	4	4	4
1759.0665555423266	4	4	4	4
1769.3534944636267	4	4	4	4
1779.6404333849266	4	4	4	4
1789.927372306227	4	3	3	3
1800.214311227527	4	4	4	4
1810.501250148827	4	4	4	4
1820.7881890701274	4	4	4	4
1831.0751279914275	4	4	4	4
1841.3620669127279	4	4	4	4
1851.649005834028	4	3	3	3
1861.935944755328	4	4	4	4
1872.2228836766283	4	4	4	4
1882.5098225979284	4	4	4	4
1892.7967615192283	4	4	4	4
1903.0837004405287	4	4	4	4
1913.3706393618288	4	3	3	3
1923.657578283129	4	4	4	4
1933.944517204429	4	4	4	4
1944.2314561257292	4	4	4	4
1954.5183950470293	4	4	4	4
1964.8053339683297	4	4	4	4
1975.0922728896296	4	3	3	3
1985.37921181093	4	4	4	4
1995.66615073223	4	4	4	4
2005.95308965353	4	4	4	4
2016.2400285748304	4	4	4	4
2026.5269674961305	4	4	4	4
2036.8139064174306	4	3	3	3
2047.100845338731	4	4	4	4
2057.387784260031	4	4	4	4
2067.674723181331	4	4	4	4
