Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m04
0.0	1	0	0	0
10.739589807333747	4	4	4	4
21.479179614667494	4	4	4	4
32.218769422001245	4	4	4	4
42.95835922933499	4	4	4	4
53.69794903666873	4	4	4	4
64.43753884400249	4	3	3	3
75.17712865133623	4	4	4	4
85.91671845866998	4	4	4	4
96.65630826600372	4	4	4	4
107.39589807333746	4	4	4	4
118.13548788067123	4	4	4	4
128.87507768800498	4	3	3	3
139.61466749533872	4	4	4	4
150.35425730267247	4	4	4	4
161.0938471100062	4	4	4	4
171.83343691733995	4	4	4	4
182.5730267246737	4	4	4	4
193.31261653200744	4	3	3	3
204.05220633934118	4	4	4	4
214.79179614667493	4	4	4	4
225.5313859540087	4	4	4	4
236.27097576134247	4	4	4	4
247.0105655686762	4	4	4	4
257.75015537600996	4	3	3	3
268.4897451833437	4	4	4	4
279.22933499067744	4	4	4	4
289.9689247980112	4	4	4	4
300.70851460534493	4	4	4	4
311.4481044126787	4	4	4	4
322.1876942200124	4	3	3	3
332.92728402734616	4	4	4	4
343.6668738346799	4	4	4	4
354.4064636420137	4	4	4	4
365.1460534493474	4	4	4	4
375.8856432566812	4	4	4	4
386.6252330640149	4	3	3	3
397.3648228713487	4	4	4	4
408.10441267868237	4	4	4	4
418.84400248601617	4	4	4	4
429.58359229334985	4	4	4	4
440.32318210068365	4	4	4	4
451.0627719080174	4	3	3	3
461.80236171535114	4	4	4	4
472.54195152268494	4	4	4	4
483.2815413300186	4	4	4	4
494.0211311373524	4	4	4	4
504.7607209446861	4	4	4	4
515.5003107520199	4	3	3	3
526.2399005593536	4	4	4	4
536.9794903666874	4	4	4	4
547.7190801740211	4	4	4	4
558.4586699813549	4	4	4	4
569.1982597886886	4	4	4	4
579.9378495960224	4	3	3	3
590.6774394033561	4	4	4	4
601.4170292106899	4	4	4	4
612.1566190180235	4	4	4	4
622.8962088253573	4	4	4	4
633.6357986326911	4	4	4	4
644.3753884400248	4	3	3	3
655.1149782473586	4	4	4	4
665.8545680546923	4	4	4	4
676.594157862026	4	4	4	4
687.3337476693598	4	4	4	4
698.0733374766936	4	4	4	4
708.8129272840274	4	3	3	3
719.552517091361	4	4	4	4
730.2921068986948	4	4	4	4
741.0316967060286	4	4	4	4
751.7712865133624	4	4	4	4
762.510876320696	4	4	4	4
773.2504661280298	4	3	3	3
783.9900559353636	4	4	4	4
794.7296457426974	4	4	4	4
805.4692355500312	4	4	4	4
816.2088253573647	4	4	4	4
826.9484151646985	4	4	4	4
837.6880049720323	4	3	3	3
848.4275947793661	4	4	4	4
859.1671845866997	4	4	4	4
869.9067743940335	4	4	4	4
880.6463642013673	4	4	4	4
891.3859540087011	4	4	4	4
902.1255438160348	4	3	3	3
912.8651336233685	4	4	4	4
923.6047234307023	4	4	4	4
934.3443132380361	4	4	4	4
945.0839030453699	4	4	4	4
955.8234928527035	4	4	4	4
966.5630826600373	4	3	3	3
977.302672467371	4	4	4	4
988.0422622747049	4	4	4	4
998.7818520820384	4	4	4	4
1009.5214418893722	4	4	4	4
1020.261031696706	4	4	4	4
1031.0006215040398	4	3	3	3
1041.7402113113735	4	4	4	4
1052.4798011187072	4	4	4	4
1063.2193909260411	4	4	4	4
1073.9589807333748	4	4	4	4
1084.6985705407085	4	4	4	4
1095.4381603480422	4	3	3	3
1106.177750155376	4	4	4	4
1116.9173399627098	4	4	4	4
1127.6569297700435	4	4	4	4
1138.3965195773771	4	4	4	4
1149.136109384711	4	4	4	4
1159.8756991920447	4	3	3	3
1170.6152889993787	4	4	4	4
1181.3548788067121	4	4	4	4
1192.094468614046	4	4	4	4
1202.8340584213797	4	4	4	4
1213.5736482287136	4	4	4	4
1224.313238036047	4	3	3	3
1235.052827843381	4	4	4	4
1245.7924176507147	4	4	4	4
1256.5320074580486	4	4	4	4
1267.2715972653823	4	4	4	4
1278.011187072716	4	4	4	4
1288.7507768800497	4	3	3	3
1299.4903666873836	4	4	4	4
1310.2299564947173	4	4	4	4
1320.969546302051	4	4	4	4
1331.7091361093846	4	4	4	4
1342.4487259167186	4	4	4	4
1353.188315724052	4	3	3	3
1363.927905531386	4	4	4	4
1374.6674953387196	4	4	4	4
1385.4070851460535	4	4	4	4
1396.1466749533872	4	4	4	4
1406.886264760721	4	4	4	4
1417.6258545680548	4	3	3	3
1428.3654443753885	4	4	4	4
1439.105034182722	4	4	4	4
1449.8446239900559	4	4	4	4
1460.5842137973896	4	4	4	4
1471.3238036047235	4	4	4	4
1482.0633934120572	4	3	3	3
1492.802983219391	4	4	4	4
1503.5425730267248	4	4	4	4
1514.2821628340585	4	4	4	4
1525.021752641392	4	4	4	4
1535.7613424487258	4	4	4	4
1546.5009322560595	4	3	3	3
1557.2405220633934	4	4	4	4
1567.9801118707271	4	4	4	4
1578.719701678061	4	4	4	4
1589.4592914853947	4	4	4	4
1600.1988812927284	4	4	4	4
1610.9384711000623	4	3	3	3
1621.6780609073958	4	4	4	4
1632.4176507147295	4	4	4	4
