Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
0.0	1	0	0	0
14.03964900877478	1	1	1	1
28.07929801754956	1	1	1	1
42.11894702632434	4	4	4	4
56.15859603509912	1	1	1	1
70.1982450438739	1	1	1	1
84.23789405264868	1	1	1	1
98.27754306142346	1	1	1	1
112.31719207019825	1	1	1	1
126.35684107897303	4	4	4	4
140.3964900877478	1	1	1	1
154.4361390965226	1	1	1	1
168.47578810529737	1	1	1	1
182.51543711407217	1	1	1	1
196.55508612284692	1	1	1	1
210.59473513162172	4	4	4	4
224.6343841403965	1	1	1	1
238.67403314917127	1	1	1	1
252.71368215794607	1	1	1	1
266.75333116672084	1	1	1	1
280.7929801754956	1	1	1	1
294.8326291842704	4	4	4	4
308.8722781930452	1	1	1	1
322.91192720181994	1	1	1	1
336.95157621059474	1	1	1	1
350.99122521936954	1	1	1	1
365.03087422814434	1	1	1	1
379.07052323691903	4	4	4	4
393.11017224569383	1	1	1	1
407.14982125446863	1	1	1	1
421.18947026324344	1	1	1	1
435.22911927201824	1	1	1	1
449.268768280793	1	1	1	1
463.3084172895677	4	4	4	4
477.34806629834253	1	1	1	1
491.38771530711733	1	1	1	1
505.42736431589213	1	1	1	1
519.4670133246669	1	1	1	1
533.5066623334417	1	1	1	1
547.5463113422164	4	4	4	4
561.5859603509912	1	1	1	1
575.625609359766	1	1	1	1
589.6652583685408	1	1	1	1
603.7049073773156	1	1	1	1
617.7445563860904	1	1	1	1
631.7842053948651	4	4	4	4
645.8238544036399	1	1	1	1
659.8635034124147	1	1	1	1
673.9031524211895	1	1	1	1
687.9428014299642	1	1	1	1
701.9824504387391	1	1	1	1
716.0220994475138	4	4	4	4
730.0617484562887	1	1	1	1
744.1013974650633	1	1	1	1
758.1410464738381	1	1	1	1
772.1806954826129	1	1	1	1
786.2203444913877	1	1	1	1
800.2599935001625	4	4	4	4
814.2996425089373	1	1	1	1
828.3392915177121	1	1	1	1
842.3789405264869	1	1	1	1
856.4185895352616	1	1	1	1
870.4582385440365	1	1	1	1
884.4978875528111	4	4	4	4
898.537536561586	1	1	1	1
912.5771855703607	1	1	1	1
926.6168345791355	1	1	1	1
940.6564835879103	1	1	1	1
954.6961325966851	1	1	1	1
968.7357816054599	4	4	4	4
982.7754306142347	1	1	1	1
996.8150796230095	1	1	1	1
1010.8547286317843	1	1	1	1
1024.894377640559	1	1	1	1
1038.9340266493339	1	1	1	1
1052.9736756581085	4	4	4	4
1067.0133246668834	1	1	1	1
1081.052973675658	1	1	1	1
1095.0926226844329	1	1	1	1
1109.1322716932077	1	1	1	1
1123.1719207019823	1	1	1	1
1137.2115697107572	4	4	4	4
1151.251218719532	1	1	1	1
1165.290867728307	1	1	1	1
1179.3305167370816	1	1	1	1
1193.3701657458564	1	1	1	1
1207.4098147546313	1	1	1	1
1221.449463763406	4	4	4	4
1235.4891127721808	1	1	1	1
1249.5287617809554	1	1	1	1
1263.5684107897303	1	1	1	1
1277.608059798505	1	1	1	1
1291.6477088072797	1	1	1	1
1305.6873578160546	4	4	4	4
1319.7270068248295	1	1	1	1
1333.766655833604	1	1	1	1
1347.806304842379	1	1	1	1
1361.8459538511538	1	1	1	1
1375.8856028599284	1	1	1	1
1389.9252518687033	4	4	4	4
1403.9649008774782	1	1	1	1
1418.0045498862528	1	1	1	1
1432.0441988950276	1	1	1	1
1446.0838479038025	1	1	1	1
1460.1234969125774	1	1	1	1
1474.1631459213518	4	4	4	4
1488.2027949301266	1	1	1	1
1502.2424439389017	1	1	1	1
1516.2820929476761	1	1	1	1
1530.321741956451	1	1	1	1
1544.3613909652258	1	1	1	1
1558.4010399740007	4	4	4	4
1572.4406889827753	1	1	1	1
1586.4803379915502	1	1	1	1
1600.519987000325	1	1	1	1
1614.5596360090997	1	1	1	1
1628.5992850178745	1	1	1	1
