Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m04
0.0	1	0	0	0
13.78210240867762	1	1	1	1
27.56420481735524	1	1	1	1
41.34630722603286	4	4	4	4
55.12840963471048	1	1	1	1
68.9105120433881	1	1	1	1
82.69261445206573	1	1	1	1
96.47471686074334	1	1	1	1
110.25681926942096	1	1	1	1
124.03892167809857	4	4	4	4
137.8210240867762	1	1	1	1
151.6031264954538	1	1	1	1
165.38522890413145	1	1	1	1
179.16733131280904	1	1	1	1
192.94943372148668	1	1	1	1
206.73153613016427	4	4	4	4
220.51363853884192	1	1	1	1
234.29574094751956	1	1	1	1
248.07784335619715	1	1	1	1
261.8599457648748	1	1	1	1
275.6420481735524	1	1	1	1
289.42415058223	4	4	4	4
303.2062529909076	1	1	1	1
316.98835539958526	1	1	1	1
330.7704578082629	1	1	1	1
344.5525602169405	1	1	1	1
358.3346626256181	1	1	1	1
372.1167650342958	4	4	4	4
385.89886744297337	1	1	1	1
399.68096985165096	1	1	1	1
413.46307226032854	1	1	1	1
427.24517466900625	1	1	1	1
441.02727707768383	1	1	1	1
454.8093794863614	4	4	4	4
468.5914818950391	1	1	1	1
482.3735843037167	1	1	1	1
496.1556867123943	1	1	1	1
509.9377891210719	1	1	1	1
523.7198915297496	1	1	1	1
537.5019939384272	4	4	4	4
551.2840963471048	1	1	1	1
565.0661987557825	1	1	1	1
578.84830116446	1	1	1	1
592.6304035731376	1	1	1	1
606.4125059818152	1	1	1	1
620.1946083904929	4	4	4	4
633.9767107991705	1	1	1	1
647.7588132078481	1	1	1	1
661.5409156165258	1	1	1	1
675.3230180252034	1	1	1	1
689.105120433881	1	1	1	1
702.8872228425586	4	4	4	4
716.6693252512362	1	1	1	1
730.4514276599137	1	1	1	1
744.2335300685916	1	1	1	1
758.0156324772692	1	1	1	1
771.7977348859467	1	1	1	1
785.5798372946243	4	4	4	4
799.3619397033019	1	1	1	1
813.1440421119795	1	1	1	1
826.9261445206571	1	1	1	1
840.7082469293349	1	1	1	1
854.4903493380125	1	1	1	1
868.2724517466901	4	4	4	4
882.0545541553677	1	1	1	1
895.8366565640453	1	1	1	1
909.6187589727228	1	1	1	1
923.4008613814004	1	1	1	1
937.1829637900782	1	1	1	1
950.9650661987558	4	4	4	4
964.7471686074334	1	1	1	1
978.529271016111	1	1	1	1
992.3113734247886	1	1	1	1
1006.0934758334662	1	1	1	1
1019.8755782421438	1	1	1	1
1033.6576806508215	4	4	4	4
1047.4397830594992	1	1	1	1
1061.2218854681769	1	1	1	1
1075.0039878768544	1	1	1	1
1088.786090285532	1	1	1	1
1102.5681926942095	1	1	1	1
1116.3502951028872	4	4	4	4
1130.132397511565	1	1	1	1
1143.9144999202424	1	1	1	1
1157.69660232892	1	1	1	1
1171.4787047375978	1	1	1	1
1185.2608071462753	1	1	1	1
1199.042909554953	4	4	4	4
1212.8250119636305	1	1	1	1
1226.6071143723082	1	1	1	1
1240.3892167809859	1	1	1	1
1254.1713191896636	1	1	1	1
1267.953421598341	1	1	1	1
1281.7355240070187	4	4	4	4
1295.5176264156962	1	1	1	1
1309.299728824374	1	1	1	1
1323.0818312330516	1	1	1	1
1336.863933641729	1	1	1	1
1350.6460360504068	1	1	1	1
1364.4281384590845	4	4	4	4
1378.210240867762	1	1	1	1
1391.9923432764397	1	1	1	1
1405.7744456851171	1	1	1	1
1419.5565480937948	1	1	1	1
1433.3386505024723	1	1	1	1
1447.12075291115	4	4	4	4
1460.9028553198275	1	1	1	1
1474.6849577285054	1	1	1	1
1488.4670601371831	1	1	1	1
1502.2491625458606	1	1	1	1
