Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m04
0.0	1	0	0	0
13.742643550182917	1	1	1	1
27.485287100365834	1	1	1	1
41.22793065054875	4	4	4	4
54.97057420073167	1	1	1	1
68.71321775091458	1	1	1	1
82.4558613010975	1	1	1	1
96.19850485128042	1	1	1	1
109.94114840146334	1	1	1	1
123.68379195164626	4	4	4	4
137.42643550182916	1	1	1	1
151.16907905201208	1	1	1	1
164.911722602195	1	1	1	1
178.65436615237792	1	1	1	1
192.39700970256084	1	1	1	1
206.13965325274376	4	4	4	4
219.88229680292667	1	1	1	1
233.6249403531096	1	1	1	1
247.3675839032925	1	1	1	1
261.11022745347543	1	1	1	1
274.8528710036583	1	1	1	1
288.59551455384127	4	4	4	4
302.33815810402416	1	1	1	1
316.0808016542071	1	1	1	1
329.82344520439	1	1	1	1
343.56608875457295	1	1	1	1
357.30873230475584	1	1	1	1
371.0513758549388	4	4	4	4
384.7940194051217	1	1	1	1
398.5366629553046	1	1	1	1
412.2793065054875	1	1	1	1
426.02195005567046	1	1	1	1
439.76459360585335	1	1	1	1
453.5072371560363	4	4	4	4
467.2498807062192	1	1	1	1
480.99252425640213	1	1	1	1
494.735167806585	1	1	1	1
508.477811356768	1	1	1	1
522.2204549069509	1	1	1	1
535.9630984571338	4	4	4	4
549.7057420073166	1	1	1	1
563.4483855574996	1	1	1	1
577.1910291076825	1	1	1	1
590.9336726578655	1	1	1	1
604.6763162080483	1	1	1	1
618.4189597582313	4	4	4	4
632.1616033084142	1	1	1	1
645.9042468585972	1	1	1	1
659.64689040878	1	1	1	1
673.3895339589629	1	1	1	1
687.1321775091459	1	1	1	1
700.8748210593287	4	4	4	4
714.6174646095117	1	1	1	1
728.3601081596945	1	1	1	1
742.1027517098776	1	1	1	1
755.8453952600604	1	1	1	1
769.5880388102433	1	1	1	1
783.3306823604262	4	4	4	4
797.0733259106092	1	1	1	1
810.8159694607921	1	1	1	1
824.558613010975	1	1	1	1
838.3012565611579	1	1	1	1
852.0439001113409	1	1	1	1
865.7865436615238	4	4	4	4
879.5291872117067	1	1	1	1
893.2718307618895	1	1	1	1
907.0144743120726	1	1	1	1
920.7571178622554	1	1	1	1
934.4997614124384	1	1	1	1
948.2424049626212	4	4	4	4
961.9850485128043	1	1	1	1
975.7276920629871	1	1	1	1
989.47033561317	1	1	1	1
1003.2129791633529	1	1	1	1
1016.955622713536	1	1	1	1
1030.6982662637188	4	4	4	4
1044.4409098139017	1	1	1	1
1058.1835533640847	1	1	1	1
1071.9261969142676	1	1	1	1
1085.6688404644503	1	1	1	1
1099.4114840146333	1	1	1	1
1113.1541275648162	4	4	4	4
1126.8967711149992	1	1	1	1
1140.6394146651821	1	1	1	1
1154.382058215365	1	1	1	1
1168.124701765548	1	1	1	1
1181.867345315731	1	1	1	1
1195.6099888659137	4	4	4	4
1209.3526324160966	1	1	1	1
1223.0952759662796	1	1	1	1
1236.8379195164625	1	1	1	1
1250.5805630666455	1	1	1	1
1264.3232066168284	1	1	1	1
1278.0658501670111	4	4	4	4
1291.8084937171943	1	1	1	1
1305.551137267377	1	1	1	1
1319.29378081756	1	1	1	1
1333.036424367743	1	1	1	1
1346.7790679179259	1	1	1	1
1360.5217114681088	4	4	4	4
1374.2643550182918	1	1	1	1
1388.0069985684745	1	1	1	1
1401.7496421186574	1	1	1	1
1415.4922856688406	1	1	1	1
1429.2349292190233	1	1	1	1
1442.9775727692063	4	4	4	4
1456.720216319389	1	1	1	1
1470.4628598695722	1	1	1	1
1484.2055034197551	1	1	1	1
1497.9481469699379	1	1	1	1
1511.6907905201208	1	1	1	1
1525.433434070304	4	4	4	4
1539.1760776204867	1	1	1	1
1552.9187211706696	1	1	1	1
1566.6613647208524	1	1	1	1
1580.4040082710355	1	1	1	1
1594.1466518212185	1	1	1	1
1607.8892953714012	4	4	4	4
1621.6319389215842	1	1	1	1
1635.3745824717673	1	1	1	1
1649.11722602195	1	1	1	1
1662.859869572133	1	1	1	1
1676.6025131223157	1	1	1	1
1690.345156672499	4	4	4	4
1704.0878002226818	1	1	1	1
1717.8304437728646	1	1	1	1
1731.5730873230475	1	1	1	1
1745.3157308732307	1	1	1	1
1759.0583744234134	1	1	1	1
1772.8010179735963	4	4	4	4
1786.543661523779	1	1	1	1
1800.2863050739622	1	1	1	1
1814.0289486241452	1	1	1	1
1827.771592174328	1	1	1	1
1841.5142357245109	1	1	1	1
1855.256879274694	4	4	4	4
1868.9995228248767	1	1	1	1
1882.7421663750597	1	1	1	1
1896.4848099252424	1	1	1	1
1910.2274534754256	1	1	1	1
1923.9700970256085	1	1	1	1
1937.7127405757913	4	4	4	4
1951.4553841259742	1	1	1	1
1965.1980276761574	1	1	1	1
1978.94067122634	1	1	1	1
1992.683314776523	1	1	1	1
2006.4259583267058	1	1	1	1
2020.168601876889	4	4	4	4
2033.911245427072	1	1	1	1
2047.6538889772546	1	1	1	1
2061.3965325274376	1	1	1	1
2075.1391760776205	1	1	1	1
2088.8818196278035	1	1	1	1
2102.6244631779864	4	4	4	4
2116.3671067281693	1	1	1	1
2130.1097502783523	1	1	1	1
2143.8523938285352	1	1	1	1
2157.595037378718	1	1	1	1
2171.3376809289007	1	1	1	1
2185.080324479084	4	4	4	4
2198.8229680292666	1	1	1	1
2212.5656115794495	1	1	1	1
2226.3082551296325	1	1	1	1
2240.0508986798154	1	1	1	1
2253.7935422299984	1	1	1	1
2267.5361857801813	4	4	4	4
2281.2788293303643	1	1	1	1
2295.021472880547	1	1	1	1
2308.76411643073	1	1	1	1
2322.506759980913	1	1	1	1
2336.249403531096	1	1	1	1
2349.992047081279	4	4	4	4
2363.734690631462	1	1	1	1
2377.4773341816444	1	1	1	1
2391.2199777318274	1	1	1	1
2404.962621282011	1	1	1	1
2418.7052648321933	1	1	1	1
2432.447908382376	4	4	4	4
2446.190551932559	1	1	1	1
2459.933195482742	1	1	1	1
2473.675839032925	1	1	1	1
2487.418482583108	1	1	1	1
2501.161126133291	1	1	1	1
