Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m04
0.0	1	0	0	0
13.523243074033495	1	1	1	1
27.04648614806699	1	1	1	1
40.569729222100484	4	4	4	4
54.09297229613398	1	1	1	1
67.61621537016748	1	1	1	1
81.13945844420097	1	1	1	1
94.66270151823447	1	1	1	1
108.18594459226796	1	1	1	1
121.70918766630146	4	4	4	4
135.23243074033496	1	1	1	1
148.75567381436844	1	1	1	1
162.27891688840194	1	1	1	1
175.80215996243544	1	1	1	1
189.32540303646894	1	1	1	1
202.84864611050241	4	4	4	4
216.37188918453592	1	1	1	1
229.89513225856942	1	1	1	1
243.41837533260292	1	1	1	1
256.9416184066364	1	1	1	1
270.4648614806699	1	1	1	1
283.9881045547034	4	4	4	4
297.51134762873687	1	1	1	1
311.0345907027704	1	1	1	1
324.5578337768039	1	1	1	1
338.08107685083735	1	1	1	1
351.6043199248709	1	1	1	1
365.12756299890435	4	4	4	4
378.6508060729379	1	1	1	1
392.17404914697136	1	1	1	1
405.69729222100483	1	1	1	1
419.22053529503836	1	1	1	1
432.74377836907183	1	1	1	1
446.26702144310536	4	4	4	4
459.79026451713884	1	1	1	1
473.3135075911723	1	1	1	1
486.83675066520584	1	1	1	1
500.3599937392393	1	1	1	1
513.8832368132728	1	1	1	1
527.4064798873063	4	4	4	4
540.9297229613398	1	1	1	1
554.4529660353733	1	1	1	1
567.9762091094068	1	1	1	1
581.4994521834403	1	1	1	1
595.0226952574737	1	1	1	1
608.5459383315073	4	4	4	4
622.0691814055408	1	1	1	1
635.5924244795742	1	1	1	1
649.1156675536078	1	1	1	1
662.6389106276413	1	1	1	1
676.1621537016747	1	1	1	1
689.6853967757083	4	4	4	4
703.2086398497418	1	1	1	1
716.7318829237753	1	1	1	1
730.2551259978087	1	1	1	1
743.7783690718421	1	1	1	1
757.3016121458758	1	1	1	1
770.8248552199093	4	4	4	4
784.3480982939427	1	1	1	1
797.8713413679761	1	1	1	1
811.3945844420097	1	1	1	1
824.9178275160433	1	1	1	1
838.4410705900767	1	1	1	1
851.9643136641101	4	4	4	4
865.4875567381437	1	1	1	1
879.0107998121771	1	1	1	1
892.5340428862107	1	1	1	1
906.0572859602441	1	1	1	1
919.5805290342777	1	1	1	1
933.1037721083111	4	4	4	4
946.6270151823446	1	1	1	1
960.1502582563782	1	1	1	1
973.6735013304117	1	1	1	1
987.1967444044451	1	1	1	1
1000.7199874784786	1	1	1	1
1014.243230552512	4	4	4	4
1027.7664736265456	1	1	1	1
1041.2897167005792	1	1	1	1
1054.8129597746126	1	1	1	1
1068.336202848646	1	1	1	1
1081.8594459226797	1	1	1	1
