Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69649173d3e8a90944533932 - minikube	Unknown Heuristic - Run None (Profile ?) 69649173d3e8a90944533932 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69649173d3e8a90944533932 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69649173d3e8a90944533932 - minikube-m04
0.0	1	0	0	0
13.576367064739157	1	1	1	1
27.152734129478315	1	1	1	1
40.72910119421748	4	4	4	4
54.30546825895663	1	1	1	1
67.8818353236958	1	1	1	1
81.45820238843496	1	1	1	1
95.0345694531741	1	1	1	1
108.61093651791326	1	1	1	1
122.18730358265242	4	4	4	4
135.7636706473916	1	1	1	1
149.34003771213074	1	1	1	1
162.9164047768699	1	1	1	1
176.49277184160903	1	1	1	1
190.0691389063482	1	1	1	1
203.64550597108735	4	4	4	4
217.22187303582652	1	1	1	1
230.79824010056566	1	1	1	1
244.37460716530484	1	1	1	1
257.950974230044	1	1	1	1
271.5273412947832	1	1	1	1
285.10370835952233	4	4	4	4
298.6800754242615	1	1	1	1
312.2564424890006	1	1	1	1
325.8328095537398	1	1	1	1
339.4091766184789	1	1	1	1
352.98554368321805	1	1	1	1
366.5619107479573	4	4	4	4
380.1382778126964	1	1	1	1
393.71464487743555	1	1	1	1
407.2910119421747	1	1	1	1
420.8673790069139	1	1	1	1
434.44374607165304	1	1	1	1
448.0201131363922	4	4	4	4
461.5964802011313	1	1	1	1
475.17284726587053	1	1	1	1
488.7492143306097	1	1	1	1
502.3255813953488	1	1	1	1
515.901948460088	1	1	1	1
529.4783155248272	4	4	4	4
543.0546825895664	1	1	1	1
556.6310496543055	1	1	1	1
570.2074167190447	1	1	1	1
583.7837837837839	1	1	1	1
597.360150848523	1	1	1	1
610.9365179132622	4	4	4	4
624.5128849780012	1	1	1	1
638.0892520427404	1	1	1	1
651.6656191074796	1	1	1	1
665.2419861722187	1	1	1	1
678.8183532369578	1	1	1	1
692.3947203016971	4	4	4	4
705.9710873664361	1	1	1	1
719.5474544311753	1	1	1	1
733.1238214959146	1	1	1	1
746.7001885606536	1	1	1	1
760.2765556253928	1	1	1	1
773.8529226901321	4	4	4	4
787.4292897548711	1	1	1	1
801.0056568196103	1	1	1	1
814.5820238843494	1	1	1	1
828.1583909490886	1	1	1	1
841.7347580138278	1	1	1	1
855.3111250785669	4	4	4	4
868.8874921433061	1	1	1	1
882.4638592080452	1	1	1	1
896.0402262727844	1	1	1	1
909.6165933375236	1	1	1	1
923.1929604022627	1	1	1	1
936.7693274670019	4	4	4	4
950.3456945317411	1	1	1	1
963.9220615964801	1	1	1	1
977.4984286612194	1	1	1	1
991.0747957259584	1	1	1	1
1004.6511627906976	1	1	1	1
1018.2275298554368	4	4	4	4
1031.803896920176	1	1	1	1
1045.3802639849152	1	1	1	1
1058.9566310496543	1	1	1	1
1072.5329981143934	1	1	1	1
1086.1093651791327	1	1	1	1
1099.6857322438716	4	4	4	4
1113.262099308611	1	1	1	1
1126.8384663733502	1	1	1	1
1140.4148334380893	1	1	1	1
1153.9912005028284	1	1	1	1
1167.5675675675677	1	1	1	1
1181.1439346323068	4	4	4	4
1194.720301697046	1	1	1	1
1208.296668761785	1	1	1	1
1221.8730358265243	1	1	1	1
1235.4494028912634	1	1	1	1
1249.0257699560025	1	1	1	1
1262.6021370207418	4	4	4	4
1276.1785040854809	1	1	1	1
1289.75487115022	1	1	1	1
1303.3312382149593	1	1	1	1
1316.9076052796981	1	1	1	1
1330.4839723444375	1	1	1	1
1344.0603394091768	4	4	4	4
1357.6367064739156	1	1	1	1
1371.213073538655	1	1	1	1
1384.7894406033943	1	1	1	1
1398.3658076681334	1	1	1	1
1411.9421747328722	1	1	1	1
1425.5185417976115	4	4	4	4
1439.0949088623506	1	1	1	1
1452.67127592709	1	1	1	1
1466.2476429918293	1	1	1	1
1479.824010056568	1	1	1	1
1493.4003771213072	1	1	1	1
1506.9767441860465	4	4	4	4
1520.5531112507856	1	1	1	1
1534.129478315525	1	1	1	1
1547.7058453802642	1	1	1	1
1561.282212445003	1	1	1	1
1574.8585795097422	1	1	1	1
1588.4349465744815	4	4	4	4
1602.0113136392206	1	1	1	1
1615.58768070396	1	1	1	1
1629.1640477686988	1	1	1	1
1642.740414833438	1	1	1	1
1656.3167818981772	1	1	1	1
1669.8931489629165	4	4	4	4
1683.4695160276556	1	1	1	1
1697.0458830923947	1	1	1	1
1710.6222501571337	1	1	1	1
1724.198617221873	1	1	1	1
1737.7749842866122	1	1	1	1
1751.3513513513515	4	4	4	4
1764.9277184160903	1	1	1	1
1778.5040854808296	1	1	1	1
1792.0804525455687	1	1	1	1
1805.656819610308	1	1	1	1
1819.2331866750471	1	1	1	1
1832.8095537397865	4	4	4	4
1846.3859208045253	1	1	1	1
1859.9622878692646	1	1	1	1
1873.5386549340037	1	1	1	1
1887.115021998743	1	1	1	1
1900.6913890634821	1	1	1	1
1914.2677561282212	4	4	4	4
1927.8441231929603	1	1	1	1
1941.4204902576996	1	1	1	1
1954.9968573224387	1	1	1	1
1968.573224387178	1	1	1	1
1982.1495914519169	1	1	1	1
1995.7259585166562	4	4	4	4
2009.3023255813953	1	1	1	1
2022.8786926461346	1	1	1	1
2036.4550597108737	1	1	1	1
2050.031426775613	1	1	1	1
2063.607793840352	1	1	1	1
