Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696492623989bc12cb624ea4 - minikube	Unknown Heuristic - Run None (Profile ?) 696492623989bc12cb624ea4 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696492623989bc12cb624ea4 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696492623989bc12cb624ea4 - minikube-m04
0.0	1	0	0	0
13.510555121188426	1	1	1	1
27.021110242376853	1	1	1	1
40.53166536356529	4	4	4	4
54.042220484753706	1	1	1	1
67.55277560594214	1	1	1	1
81.06333072713058	1	1	1	1
94.57388584831901	1	1	1	1
108.08444096950741	1	1	1	1
121.59499609069584	4	4	4	4
135.1055512118843	1	1	1	1
148.6161063330727	1	1	1	1
162.12666145426115	1	1	1	1
175.63721657544957	1	1	1	1
189.14777169663802	1	1	1	1
202.65832681782643	4	4	4	4
216.16888193901482	1	1	1	1
229.67943706020327	1	1	1	1
243.1899921813917	1	1	1	1
256.7005473025801	1	1	1	1
270.2111024237686	1	1	1	1
283.721657544957	4	4	4	4
297.2322126661454	1	1	1	1
310.74276778733383	1	1	1	1
324.2533229085223	1	1	1	1
337.76387802971067	1	1	1	1
351.27443315089914	1	1	1	1
364.78498827208756	4	4	4	4
378.29554339327603	1	1	1	1
391.8060985144644	1	1	1	1
405.31665363565287	1	1	1	1
418.8272087568413	1	1	1	1
432.33776387802965	1	1	1	1
445.8483189992181	4	4	4	4
459.35887412040654	1	1	1	1
472.869429241595	1	1	1	1
486.3799843627834	1	1	1	1
499.89053948397185	1	1	1	1
513.4010946051602	1	1	1	1
526.9116497263487	4	4	4	4
540.4222048475372	1	1	1	1
553.9327599687256	1	1	1	1
567.443315089914	1	1	1	1
580.9538702111024	1	1	1	1
594.4644253322908	1	1	1	1
607.9749804534792	4	4	4	4
621.4855355746677	1	1	1	1
634.9960906958561	1	1	1	1
648.5066458170446	1	1	1	1
662.017200938233	1	1	1	1
675.5277560594213	1	1	1	1
689.0383111806099	4	4	4	4
702.5488663017983	1	1	1	1
716.0594214229867	1	1	1	1
729.5699765441751	1	1	1	1
743.0805316653635	1	1	1	1
756.5910867865521	1	1	1	1
770.1016419077405	4	4	4	4
783.6121970289288	1	1	1	1
797.1227521501172	1	1	1	1
810.6333072713057	1	1	1	1
824.1438623924942	1	1	1	1
837.6544175136826	1	1	1	1
851.164972634871	4	4	4	4
864.6755277560593	1	1	1	1
878.1860828772479	1	1	1	1
891.6966379984362	1	1	1	1
905.2071931196247	1	1	1	1
918.7177482408131	1	1	1	1
932.2283033620016	4	4	4	4
945.73885848319	1	1	1	1
959.2494136043784	1	1	1	1
972.7599687255668	1	1	1	1
986.2705238467554	1	1	1	1
999.7810789679437	1	1	1	1
1013.2916340891321	4	4	4	4
1026.8021892103204	1	1	1	1
1040.3127443315088	1	1	1	1
1053.8232994526975	1	1	1	1
1067.333854573886	1	1	1	1
1080.8444096950743	1	1	1	1
1094.3549648162627	4	4	4	4
1107.8655199374512	1	1	1	1
1121.3760750586396	1	1	1	1
1134.886630179828	1	1	1	1
1148.3971853010164	1	1	1	1
1161.9077404222048	1	1	1	1
1175.4182955433932	4	4	4	4
1188.9288506645817	1	1	1	1
1202.43940578577	1	1	1	1
1215.9499609069585	1	1	1	1
1229.4605160281471	1	1	1	1
1242.9710711493353	1	1	1	1
1256.4816262705237	4	4	4	4
