Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m04
0.0	1	0	0	0
10.270034471180516	3	3	3	2
20.45006864027668	3	3	2	2
30.630102809372875	3	3	2	2
40.88013721342357	3	3	3	3
51.070171416084634	3	3	2	2
51.310172221642844	3	2	2	2
61.530206524998675	3	2	2	2
71.78024092904928	4	3	3	3
82.00027523240527	4	3	3	3
92.16030933437168	3	3	3	2
102.35034353703286	3	3	3	3
102.58034430902632	3	3	3	3
112.77037851168751	2	2	2	1
122.98041278147858	2	2	2	2
133.2104471183995	2	2	2	2
143.43048142175516	2	2	2	2
153.6805158258056	4	4	4	3
153.92051663136365	3	3	3	3
164.00055046481046	3	3	3	3
174.18058463390645	1	1	1	1
184.28061853448315	2	1	1	1
194.4906528042739	2	2	2	2
204.64068687267513	2	2	2	2
204.8806876782332	2	2	2	1
215.11072201515378	4	4	3	3
225.32075628494454	4	3	3	3
235.42079018552118	3	3	2	2
245.63082445531194	4	3	3	3
255.83085869153777	2	2	2	2
256.07085949709574	2	1	1	1
266.3008938340164	3	3	3	2
276.51092810380715	2	2	1	1
286.71096234003295	2	2	2	2
296.97099677764834	4	4	4	3
307.1410309131794	4	3	3	3
307.38103171873746	3	3	3	2
317.58106595496326	3	3	3	3
327.7210999897996	3	3	2	2
337.85113399107104	3	2	2	2
348.0811683279917	3	3	3	2
358.2812025642175	3	3	3	2
358.5212033697755	3	2	2	2
368.6112372367873	3	3	2	2
378.79127140588326	2	2	2	2
388.9713055749792	3	3	3	2
399.2113399454648	3	2	2	2
409.41137418169063	3	3	3	2
409.6513749872487	3	2	2	2
419.7714089549552	3	3	2	2
429.9514431240512	3	3	2	2
440.13147729314716	2	2	2	1
450.2715113279835	3	2	2	2
460.48154559777424	3	2	2	2
460.7115463697674	3	2	2	2
470.85158040460374	3	2	2	2
481.0216145401348	3	3	2	2
491.20164870923077	3	3	3	3
501.39168291189173	3	3	2	2
511.53171694672807	4	3	3	3
511.7717177522861	3	3	2	2
521.9617519549471	3	3	3	2
532.1417861240432	3	3	3	2
542.331820326704	3	3	3	2
552.5518546300597	3	3	2	2
562.7218887655907	3	2	2	2
562.951889537584	3	2	2	2
573.1619238073746	3	3	3	2
583.3519580100356	3	3	3	3
593.5219921455666	3	3	2	2
603.6720262139679	4	4	3	3
613.8220602823692	4	4	3	3
614.0620610879272	4	3	3	3
624.2420952570233	3	3	3	2
634.4321294596841	3	2	2	2
644.6121636287802	3	3	2	2
654.802197831441	3	3	3	3
664.982232000537	3	3	3	2
665.2222328060951	3	3	2	2
675.3822669080613	3	2	2	2
685.6423013456766	4	4	3	3
695.8323355483375	3	3	2	2
706.0523698516932	4	3	3	3
716.2424040543541	3	3	3	3
716.4724048263473	3	3	3	3
726.6524389954434	4	4	3	3
736.8124730974095	3	3	3	2
746.9925072665055	3	3	2	2
757.2225416034261	3	3	3	3
767.4325758732169	3	2	2	2
767.6725766787749	2	2	2	2
777.7926106464813	2	2	1	1
787.9526447484476	2	2	2	1
798.2026791524979	3	3	3	2
808.4027133887238	3	2	2	2
818.5427474235601	3	3	3	2
818.7827482291182	3	3	2	2
828.9427823310843	3	3	3	3
839.1328165337452	3	2	2	2
849.2628505350167	2	2	2	1
859.4228846369829	1	1	1	1
869.6329189067736	3	2	2	2
869.8629196787668	3	2	2	2
879.9629535793434	3	3	3	3
890.1229876813095	3	3	3	2
900.3230219175354	2	2	1	1
