Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m04
0.0	1	0	0	0
10.280034504745442	3	3	3	3
20.45006864027668	3	3	3	3
30.660102910067664	2	2	2	2
40.79013691133922	3	2	2	2
51.00017118113013	4	3	3	3
51.24017198668833	3	3	3	2
61.36020595439492	3	3	2	2
71.50023998923133	3	3	2	2
81.63027399050293	2	2	2	2
91.82030819316412	3	3	2	2
101.95034219443573	3	2	2	2
102.1903429999941	2	2	2	2
112.42037733691504	2	2	2	2
122.58041143888144	3	3	3	2
132.76044560797766	4	4	3	3
142.8904796092491	3	3	3	3
153.09051384547493	4	4	3	3
153.33051465103298	3	3	3	3
163.48054871943424	3	3	2	2
173.68058295566007	3	3	3	2
183.86061712475606	3	3	2	2
194.07065139454681	3	2	2	2
204.27068563077268	3	3	3	3
204.5106864363307	3	2	2	2
214.65072047116703	3	2	2	2
224.78075447243845	2	2	1	1
234.9907887422292	3	2	2	2
245.17082291132522	2	1	1	1
255.42085731537566	3	2	2	2
255.66085812093368	2	2	2	2
265.89089245785425	4	4	3	3
276.0209264591257	3	3	3	3
286.1709605275269	4	3	3	3
296.3909948308826	3	3	3	3
306.5610289664137	3	3	2	2
306.80102977197174	3	2	2	2
317.0110640417625	3	3	3	3
327.14109804303394	3	3	3	2
337.2711320443053	3	2	2	2
347.49116634766096	3	2	2	2
357.7012006174518	4	4	3	3
357.9412014230098	3	3	3	3
368.0812354578461	3	3	3	3
378.25126959337723	3	2	2	2
388.43130376247325	3	2	2	2
398.64133803226395	3	2	2	2
408.8813724027495	3	3	3	3
409.12137320830755	3	2	2	2
419.25140720957893	2	2	2	1
429.4114413115451	3	3	2	2
439.66147571559554	3	3	3	3
449.88151001895125	3	3	2	2
460.0415441209174	3	2	2	2
460.2815449264754	2	2	2	2
470.5015792298311	2	2	2	2
480.71161349962193	2	2	2	2
490.9316478029775	3	3	2	2
501.13168203920344	2	2	2	2
511.33171627542924	3	2	2	2
511.56171704742235	3	2	2	2
521.7817513507781	4	4	3	3
531.9917856205689	3	2	2	2
542.2118199239245	3	3	2	2
552.461854327975	2	2	2	2
562.6718885977658	2	2	2	2
562.9118894033238	2	2	2	1
573.1519237738094	3	3	3	2
583.3519580100351	3	3	2	2
593.5219921455662	2	2	1	1
603.732026415357	3	3	3	3
613.9420606851477	2	2	2	1
614.1720614571408	2	2	2	1
624.3120954919772	3	2	2	2
634.4621295603785	3	2	2	2
644.6421637294744	3	3	3	3
654.7721977307459	3	3	2	2
664.9722319669717	3	3	3	2
665.2122327725298	3	3	2	2
675.4522671430153	3	3	3	3
685.672301446371	4	3	3	3
695.9023357832915	3	3	2	2
706.1223700866473	3	3	3	2
716.3124042893081	4	4	4	3
716.5524050948661	3	3	3	3
726.6324389283129	3	3	3	3
736.8424731981038	4	3	3	3
747.0225073671999	3	2	2	2
757.1825414691659	3	3	3	2
767.3725756718268	4	3	3	3
767.60257644382	4	3	3	3
777.8026106800457	3	3	3	3
787.9926448827068	3	3	2	2
798.1926791189327	2	2	1	1
808.4027133887233	2	2	2	2
818.5727475242544	2	2	2	2
818.8127483298125	2	2	1	1
829.0227825996031	2	2	2	2
839.2228168358291	3	2	2	2
849.4528511727498	3	3	3	3
859.592885207586	2	2	1	1
869.7929194438119	3	2	2	2
870.0329202493699	2	2	1	1
880.202954384901	2	2	2	2
890.3429884197373	3	2	2	2
900.5530226895281	3	3	3	2
910.6430565565397	3	3	3	2
920.8230907256358	3	3	2	2
921.0630915311939	2	2	2	1
931.1431253646406	2	2	2	1
941.3531596344314	4	4	3	3
951.5231937699625	3	3	2	2
961.6732278383638	3	2	2	2
971.8832621081546	3	2	2	2
972.1232629137126	2	2	2	2
982.2332968478541	2	2	2	2
992.423331050515	3	3	2	2
1002.6133652531761	3	2	2	2
1012.7533992880124	2	2	2	1
1023.0034336920627	4	3	3	3
1023.2434344976209	3	3	3	3
1033.4434687338467	3	3	2	2
1043.6635030372024	2	2	2	2
1053.8635372734284	3	3	2	2
1064.0435714425244	3	3	3	2
1074.273605779445	3	3	3	2
1074.503606551438	3	3	3	2
1084.6636406534042	2	2	1	1
1094.8436748225001	3	2	2	2
1105.053709092291	3	3	3	2
1115.2037431606923	3	3	3	2
1125.3537772290936	3	3	2	2
1125.5937780346515	3	2	2	2
1135.723812035923	2	1	1	1
1145.9838464735383	4	3	3	3
1156.193880743329	2	2	2	1
1166.3039146774706	3	2	2	2
1176.4939488801315	3	2	2	2
1176.7339496856896	2	2	1	1
1186.9239838883504	2	2	2	1
1197.1440181917062	3	3	2	2
