Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m04
0.0	1	0	0	0
10.22003430335588	3	3	2	2
20.440068606711755	3	2	2	2
30.64010284293781	3	3	3	2
40.860137146293724	3	2	2	2
51.03017128182493	3	3	2	2
51.260172053818216	3	3	2	2
61.470206323609126	2	2	2	2
71.62024039201047	3	2	2	2
81.8202746282366	3	3	3	3
92.0103088308978	2	2	2	2
102.21034306712393	2	2	2	2
102.4503438726823	2	2	2	1
112.61037797464869	2	2	2	1
122.85041234513456	3	2	2	2
133.07044664849053	4	3	3	3
143.29048095184623	3	3	3	3
153.47051512094222	3	3	2	2
153.70051589293536	3	3	2	2
163.93055022985595	2	2	2	1
174.16058456677655	3	2	2	2
184.3706188365673	2	2	2	2
194.50065283783871	2	2	1	1
204.65068690623997	3	2	2	2
204.890687711798	2	2	1	1
215.09072194802383	3	2	2	2
225.25075604999003	2	2	2	2
235.45079028621586	4	3	3	3
245.66082455600662	3	3	3	2
255.85085875866756	2	2	2	2
256.0908595642255	2	2	2	1
266.3208939011462	3	3	3	2
276.5409282045018	3	3	3	2
286.79096260855226	4	3	3	3
297.02099694547286	3	2	2	2
307.21103114813377	2	2	2	1
307.4510319536918	2	1	1	1
317.6810662906124	3	3	3	2
327.8411003925786	3	3	2	2
338.05113466236935	3	3	3	2
348.2011687307706	3	3	3	3
358.3512027991719	3	3	3	2
358.59120360472986	2	2	2	2
368.77123777382593	3	2	2	2
379.0012721107465	3	3	3	2
389.19130631340744	2	2	2	2
399.4013405831982	3	3	2	2
409.5813747522942	2	2	1	1
409.8113755242873	2	2	1	1
419.91140942486396	2	2	2	2
430.1414437617846	2	2	2	1
440.33147796444547	3	2	2	2
450.571512334931	3	3	3	2
460.72154640333224	3	3	3	2
460.9615472088903	2	2	2	2
471.1615814451161	3	3	3	3
481.32161554708233	3	3	2	2
491.52164978330813	3	3	3	3
501.75168412022873	2	2	2	2
511.94171832288976	2	2	2	1
512.1717190948829	2	2	2	1
522.3817533646736	3	2	2	2
532.631787768724	4	3	3	3
542.7318216693008	3	3	3	2
552.9118558383967	3	3	3	2
563.1218901081875	3	3	3	2
563.3618909137455	2	2	2	2
573.5719251835363	2	2	2	1
583.7819594533271	2	2	2	1
593.971993655988	2	2	2	1
604.2020279929086	2	2	2	1
614.3620620948748	3	2	2	2
614.6020629004328	2	2	2	2
624.7920971030937	3	3	3	2
635.0121314064495	3	3	3	2
645.1721655084156	4	4	3	3
655.4021998453361	3	3	3	3
665.5922340479971	3	3	2	2
665.8322348535552	3	2	2	2
676.022269056216	3	3	3	2
686.2523033931366	2	2	2	2
696.4923377636221	4	3	3	3
706.7123720669779	3	3	2	2
716.9324063703335	4	3	3	3
717.1724071758915	3	3	2	2
727.3524413449876	3	2	2	2
737.5724756483434	3	3	3	3
747.7925099516989	2	2	2	2
757.9525440536651	3	2	2	2
768.1125781556314	2	2	2	2
768.3425789276243	2	2	2	2
778.4726129288958	3	3	2	2
788.7026472658164	4	3	3	3
798.9126815356072	2	2	2	2
809.1027157382681	3	3	2	2
819.3327500751886	3	3	3	2
819.5727508807466	2	2	2	2
829.7327849827129	3	3	2	2
839.9728193531985	3	2	2	2
850.1928536565541	2	2	2	2
860.4628881277343	4	4	4	3
870.6429222968304	3	2	2	2
870.8729230688234	3	2	2	2
881.0529572379195	3	2	2	2
891.2429914405803	3	3	3	3
901.4330256432414	2	2	2	2
911.6230598459023	3	2	2	2
921.8530941828228	3	3	3	2
922.0930949883809	2	2	2	2
932.2931292246068	2	2	2	2
942.4831634272676	2	2	2	2
952.7231977977532	3	3	2	2
962.8932319332843	3	3	3	2
973.0932661695101	3	2	2	2
973.3332669750681	2	2	2	2
983.5133011441642	3	3	3	2
993.703335346825	3	3	3	2
1003.9033695830509	3	3	3	3
1014.0834037521469	2	2	2	1
1024.3334381561974	3	3	2	2
1024.5734389617555	2	2	2	1
1034.7834732315462	2	2	2	2
1044.9835074677721	3	3	2	2
1055.1335415361734	3	3	3	2
1065.3335757723992	3	3	3	3
1075.5636101093198	3	2	2	2
1075.7936108813128	3	2	2	2
1085.973645050409	2	2	2	1
1096.1936793537645	4	4	3	3
1106.4237136906852	3	3	2	2
1116.6537480276058	2	2	2	1
1126.9137824652212	4	4	3	3
1127.1537832707793	3	3	3	2
1137.3738175741348	2	2	2	1
1147.5538517432308	3	2	2	2
1157.7438859458916	3	2	2	2
1167.9439201821176	3	3	3	2
1178.1739545190383	3	3	2	2
1178.4139553245964	3	2	2	2
1188.6439896615168	3	3	3	2
1198.8140237970479	2	2	2	1
