Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
0.0	1	0	0	0
14.741511687425355	4	3	3	3
29.48302337485071	3	3	3	2
44.22453506227606	2	2	2	1
58.96604674970142	2	2	1	1
73.70755843712676	2	2	2	2
88.44907012455212	2	2	2	1
103.19058181197748	3	3	2	2
117.93209349940284	3	3	3	3
132.67360518682818	3	3	2	2
147.41511687425353	3	3	3	3
162.15662856167887	3	3	3	2
176.89814024910424	3	3	2	2
191.63965193652962	3	3	3	2
206.38116362395496	3	3	2	2
221.1226753113803	2	2	2	2
235.86418699880568	2	2	2	2
250.60569868623102	3	3	2	2
265.34721037365637	3	3	2	2
280.08872206108174	3	3	3	3
294.83023374850706	3	3	3	2
309.5717454359324	3	3	3	2
324.31325712335774	3	3	2	2
339.0547688107832	2	2	2	2
353.7962804982085	2	2	2	1
368.53779218563386	3	3	2	2
383.27930387305923	3	3	2	2
398.02081556048455	3	3	3	3
412.7623272479099	3	2	2	2
427.5038389353353	4	3	3	3
442.2453506227606	3	3	2	2
456.986862310186	3	2	2	2
471.72837399761136	2	2	2	1
486.4698856850367	3	2	2	2
501.21139737246205	3	2	2	2
515.9529090598875	2	2	2	2
530.6944207473127	2	2	2	1
545.4359324347381	3	3	2	2
560.1774441221635	3	3	3	3
574.9189558095889	3	3	3	2
589.6604674970141	3	3	3	3
604.4019791844396	3	3	3	2
619.1434908718649	3	2	2	2
633.8850025592902	4	4	3	3
648.6265142467155	3	3	2	2
663.368025934141	3	3	2	2
678.1095376215663	3	3	3	2
692.8510493089917	3	3	2	2
707.592560996417	3	3	2	2
722.3340726838424	3	3	2	2
737.0755843712677	2	2	2	2
751.817096058693	4	3	3	3
766.5586077461185	4	4	4	4
781.3001194335438	4	4	3	3
796.0416311209691	3	3	3	3
810.7831428083945	3	2	2	2
825.5246544958198	3	2	2	2
840.2661661832451	3	3	3	3
855.0076778706706	2	2	2	1
869.749189558096	2	2	2	1
884.4907012455212	2	2	2	1
899.2322129329466	3	2	2	2
913.973724620372	4	3	3	3
928.7152363077972	4	3	3	3
943.4567479952227	4	3	3	3
958.1982596826481	4	3	3	3
972.9397713700733	3	3	3	2
987.6812830574987	3	3	2	2
1002.4227947449241	3	3	2	2
1017.1643064323493	3	3	3	3
1031.905818119775	3	3	3	2
1046.6473298072	2	2	2	2
1061.3888414946255	2	2	2	1
1076.1303531820508	2	2	2	1
1090.8718648694762	3	2	2	2
1105.6133765569016	3	2	2	2
1120.354888244327	4	4	3	3
1135.0963999317523	4	4	3	3
1149.8379116191777	3	3	3	3
1164.579423306603	3	3	2	2
1179.3209349940282	3	3	2	2
1194.0624466814536	3	2	2	2
1208.8039583688792	3	3	2	2
1223.5454700563043	3	3	3	3
1238.2869817437297	3	2	2	2
1253.028493431155	3	3	3	3
1267.7700051185805	3	2	2	2
1282.5115168060058	3	3	2	2
1297.253028493431	3	3	2	2
1311.9945401808566	3	2	2	2
1326.736051868282	2	2	2	1
1341.4775635557073	3	3	2	2
1356.2190752431327	4	3	3	3
1370.9605869305578	3	2	2	2
1385.7020986179834	3	3	3	3
1400.4436103054086	1	1	1	1
1415.185121992834	1	1	1	1
1429.926633680259	3	3	3	2
1444.6681453676847	3	3	3	2
1459.40965705511	2	2	2	2
1474.1511687425354	3	3	2	2
1488.8926804299608	3	3	3	3
1503.634192117386	3	2	2	2
1518.3757038048116	2	2	1	1
1533.117215492237	3	3	3	2
1547.858727179662	2	2	2	1
1562.6002388670877	3	2	2	2
1577.3417505545128	3	3	3	3
1592.0832622419382	3	2	2	2
1606.8247739293633	2	2	2	2
1621.566285616789	2	2	2	2
1636.3077973042143	2	2	2	2
1651.0493089916397	2	2	2	1
1665.790820679065	3	3	3	2
1680.5323323664902	3	2	2	2
1695.2738440539158	4	3	3	3
1710.0153557413412	3	2	2	2
1724.7568674287663	2	2	2	2
1739.498379116192	3	3	2	2
1754.239890803617	3	3	2	2
1768.9814024910424	3	2	2	2
1783.7229141784676	3	3	2	2
1798.4644258658932	2	2	2	2
1813.2059375533186	2	2	1	1
1827.947449240744	4	3	3	3
1842.6889609281693	3	3	3	2
1857.4304726155945	2	2	2	2
1872.17198430302	3	3	3	2
1886.9134959904454	2	2	2	2
1901.6550076778706	4	4	3	3
1916.3965193652962	3	3	3	3
1931.1380310527213	4	3	3	3
1945.8795427401467	3	3	3	2
1960.621054427572	3	3	3	2
1975.3625661149974	3	3	3	2
1990.1040778024228	4	4	3	3
2004.8455894898482	3	3	3	2
2019.5871011772736	2	2	2	1
2034.3286128646987	2	1	1	1
2049.070124552124	3	2	2	2
2063.81163623955	3	3	3	2
2078.553147926975	3	3	3	2
2093.2946596144	2	2	2	1
2108.0361713018256	3	3	2	2
2122.777682989251	2	2	2	1
2137.5191946766763	2	2	2	2
2152.2607063641017	3	2	2	2
2167.002218051527	3	3	3	2
2181.7437297389524	3	3	2	2
2196.485241426378	2	2	2	2
2211.226753113803	2	2	1	1
2225.9682648012285	3	2	2	2
2240.709776488654	3	3	2	2
2255.4512881760793	3	3	2	2
2270.1927998635047	3	3	2	2
2284.9343115509296	2	2	2	1
2299.6758232383554	2	2	1	1
2314.4173349257803	3	3	3	3
2329.158846613206	3	3	3	2
2343.9003583006315	3	3	2	2
2358.6418699880564	3	3	3	2
2373.3833816754823	2	2	2	2
2388.124893362907	2	2	2	2
2402.8664050503326	3	3	2	2
2417.6079167377584	3	3	2	2
2432.3494284251833	2	2	2	2
2447.0909401126087	3	2	2	2
2461.832451800034	3	3	3	3
2476.5739634874594	3	2	2	2
2491.315475174885	3	3	3	2
2506.05698686231	3	3	2	2
2520.7984985497355	2	2	2	2
2535.540010237161	2	2	2	2
2550.2815219245863	3	3	2	2
2565.0230336120117	2	2	2	1
