Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
0.0	1	0	0	0
15.270413573700955	2	2	2	2
30.54082714740191	2	2	1	1
45.81124072110287	3	3	3	3
61.08165429480382	4	3	3	3
76.35206786850478	2	2	2	1
91.62248144220574	2	2	2	1
106.89289501590669	2	2	2	1
122.16330858960764	3	3	3	2
137.4337221633086	4	3	3	3
152.70413573700955	3	3	3	2
167.9745493107105	4	3	3	3
183.24496288441148	3	3	2	2
198.51537645811243	2	2	2	1
213.78579003181338	2	2	2	2
229.05620360551433	3	2	2	2
244.32661717921528	3	3	2	2
259.5970307529162	3	3	3	2
274.8674443266172	3	3	2	2
290.1378579003181	3	3	3	2
305.4082714740191	3	3	2	2
320.67868504772	3	3	3	2
335.949098621421	4	4	4	4
351.219512195122	2	2	2	1
366.48992576882296	2	1	1	1
381.7603393425239	3	2	2	2
397.03075291622486	2	2	2	2
412.3011664899258	3	3	3	3
427.57158006362675	4	3	3	3
442.84199363732773	3	3	3	3
458.11240721102865	3	3	2	2
473.38282078472963	3	2	2	2
488.65323435843055	2	2	2	2
503.92364793213153	3	3	3	3
519.1940615058325	4	4	3	3
534.4644750795334	2	2	2	2
549.7348886532344	2	2	1	1
565.0053022269353	2	2	2	1
580.2757158006362	2	2	2	1
595.5461293743373	3	3	3	2
610.8165429480382	3	3	3	2
626.0869565217391	3	3	3	2
641.35737009544	3	3	2	2
656.6277836691411	3	3	3	3
671.898197242842	2	2	2	1
687.1686108165429	3	3	2	2
702.439024390244	3	2	2	2
717.7094379639449	3	3	3	2
732.9798515376459	3	2	2	2
748.2502651113468	2	2	2	1
763.5206786850478	3	3	3	3
778.7910922587488	4	3	3	3
794.0615058324497	3	2	2	2
809.3319194061506	3	3	3	2
824.6023329798516	3	3	3	2
839.8727465535526	3	2	2	2
855.1431601272535	3	2	2	2
870.4135737009544	2	2	2	2
885.6839872746555	3	2	2	2
900.9544008483564	3	3	3	3
916.2248144220573	3	2	2	2
931.4952279957582	3	3	3	2
946.7656415694593	3	3	3	3
962.0360551431602	3	3	3	2
977.3064687168611	2	2	2	1
992.576882290562	3	2	2	2
1007.8472958642631	3	2	2	2
1023.117709437964	3	3	2	2
1038.388123011665	4	4	3	3
1053.658536585366	3	3	3	3
1068.9289501590667	2	2	2	2
1084.1993637327678	3	3	2	2
1099.4697773064688	2	2	2	1
1114.7401908801696	3	3	3	2
1130.0106044538707	3	3	3	3
1145.2810180275717	3	2	2	2
1160.5514316012725	3	2	2	2
1175.8218451749735	3	3	2	2
1191.0922587486746	2	2	2	1
1206.3626723223754	4	4	3	3
1221.6330858960764	4	3	3	3
1236.9034994697772	4	4	4	3
1252.1739130434783	4	4	3	3
1267.4443266171793	4	3	3	3
1282.71474019088	3	3	2	2
1297.9851537645811	3	3	3	2
1313.2555673382822	4	3	3	3
1328.525980911983	3	2	2	2
1343.796394485684	4	4	4	3
1359.066808059385	3	3	3	2
1374.3372216330858	3	3	2	2
1389.6076352067869	3	3	2	2
1404.878048780488	2	2	2	2
1420.1484623541887	2	2	2	2
1435.4188759278898	3	3	2	2
1450.6892895015906	3	3	2	2
1465.9597030752918	2	2	2	1
1481.2301166489926	3	2	2	2
1496.5005302226937	4	3	3	3
1511.7709437963945	3	3	2	2
