Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6957a7d28ed7d2d8e1a18293 - minikube	Unknown Heuristic - Run None (Profile ?) 6957a7d28ed7d2d8e1a18293 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6957a7d28ed7d2d8e1a18293 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6957a7d28ed7d2d8e1a18293 - minikube-m04
0.0	1	0	0	0
9.381107491856678	1	1	1	1
18.762214983713356	1	1	1	1
28.143322475570034	1	1	1	1
37.52442996742671	1	1	1	1
46.90553745928339	1	1	1	1
56.28664495114007	1	1	1	1
65.66775244299674	1	1	1	1
75.04885993485343	1	1	1	1
84.4299674267101	1	1	1	1
93.81107491856677	1	1	1	1
103.19218241042346	1	1	1	1
112.57328990228014	1	1	1	1
121.95439739413682	1	1	1	1
131.3355048859935	1	1	1	1
140.71661237785017	1	1	1	1
150.09771986970685	1	1	1	1
159.47882736156353	1	1	1	1
168.8599348534202	1	1	1	1
178.24104234527687	1	1	1	1
187.62214983713355	1	1	1	1
197.00325732899023	1	1	1	1
206.3843648208469	1	1	1	1
215.76547231270357	1	1	1	1
225.14657980456028	1	1	1	1
234.52768729641693	1	1	1	1
243.90879478827364	1	1	1	1
253.2899022801303	1	1	1	1
262.671009771987	1	1	1	1
272.0521172638436	1	1	1	1
281.43322475570034	1	1	1	1
290.814332247557	1	1	1	1
300.1954397394137	1	1	1	1
309.57654723127035	1	1	1	1
318.95765472312706	1	1	1	1
328.3387622149837	1	1	1	1
337.7198697068404	1	1	1	1
347.1009771986971	1	1	1	1
356.48208469055373	1	1	1	1
365.86319218241044	1	1	1	1
375.2442996742671	1	1	1	1
384.6254071661238	1	1	1	1
394.00651465798046	1	1	1	1
403.3876221498371	1	1	1	1
412.7687296416938	1	1	1	1
422.1498371335505	1	1	1	1
431.53094462540713	1	1	1	1
440.91205211726384	1	1	1	1
450.29315960912055	1	1	1	1
459.67426710097715	1	1	1	1
469.05537459283386	1	1	1	1
478.43648208469057	1	1	1	1
487.8175895765473	1	1	1	1
497.1986970684039	1	1	1	1
