Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m04
0.0	1	0	0	0
10.441087613293051	3	3	2	2
20.882175226586103	3	3	2	2
31.323262839879153	3	3	2	2
41.764350453172206	3	3	2	2
52.205438066465256	3	3	2	2
62.646525679758305	2	2	2	2
73.08761329305136	2	2	2	2
83.52870090634441	2	2	2	2
93.96978851963746	2	2	2	2
104.41087613293051	2	2	2	2
114.85196374622356	3	3	2	2
125.29305135951661	2	2	2	2
135.73413897280966	3	3	2	2
146.17522658610272	3	3	2	2
156.61631419939576	3	3	2	2
167.05740181268882	3	3	2	2
177.49848942598186	3	3	2	2
187.93957703927492	2	2	2	2
198.380664652568	2	2	2	2
208.82175226586102	3	3	2	2
219.2628398791541	3	3	2	2
229.70392749244712	3	3	2	2
240.14501510574019	3	3	2	2
250.58610271903322	2	2	2	2
261.02719033232626	2	2	2	2
271.4682779456193	2	2	2	2
281.9093655589124	3	3	2	2
292.35045317220545	3	3	2	2
302.7915407854985	3	3	2	2
313.2326283987915	2	2	2	2
323.6737160120846	2	2	2	2
334.11480362537765	2	2	2	2
344.5558912386707	2	2	2	2
354.9969788519637	3	3	2	2
365.4380664652568	3	3	2	2
375.87915407854985	2	2	2	2
386.3202416918429	2	2	2	2
396.761329305136	2	2	2	2
407.202416918429	2	2	2	2
417.64350453172204	2	2	2	2
428.0845921450151	3	3	2	2
438.5256797583082	2	2	2	2
448.96676737160124	2	2	2	2
459.40785498489424	2	2	2	2
469.8489425981873	2	2	2	2
480.29003021148037	3	3	2	2
490.73111782477343	3	3	2	2
501.17220543806644	2	2	2	2
511.6132930513595	2	2	2	2
522.0543806646525	2	2	2	2
532.4954682779456	2	2	2	2
542.9365558912386	3	3	2	2
553.3776435045318	3	3	2	2
563.8187311178248	2	2	2	2
574.2598187311178	3	3	2	2
584.7009063444109	3	3	2	2
595.1419939577039	3	3	2	2
605.583081570997	3	3	2	2
616.02416918429	3	3	2	2
626.465256797583	2	2	2	2
636.9063444108762	2	2	2	2
647.3474320241692	3	3	2	2
657.7885196374623	3	3	2	2
668.2296072507553	3	3	2	2
678.6706948640484	3	3	2	2
689.1117824773414	2	2	2	2
