Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a8bce51cb5aa04e006609 - minikube	Unknown Heuristic - Run None (Profile ?) 695a8bce51cb5aa04e006609 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a8bce51cb5aa04e006609 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a8bce51cb5aa04e006609 - minikube-m04
0.3000000000000002	1	0	0	0
10.530000000000001	3	3	2	2
20.709999999999997	3	3	2	2
30.890000000000025	3	3	2	2
41.07000000000005	3	3	2	2
51.250000000000014	3	3	2	2
51.45999999999997	3	3	2	2
61.62999999999994	3	3	2	2
71.8099999999999	3	3	2	2
81.99	3	3	2	2
92.17000000000009	3	3	2	2
102.35000000000018	3	3	2	2
102.56000000000029	3	3	2	2
112.73000000000037	3	3	2	2
122.91000000000047	3	3	2	2
133.09000000000054	3	3	2	2
143.27000000000038	3	3	2	2
153.45000000000022	3	3	2	2
153.66000000000003	3	3	2	2
163.82999999999987	3	3	2	2
174.0099999999997	3	3	2	2
184.18999999999954	3	3	2	2
194.36999999999938	3	3	2	2
204.54999999999922	3	3	2	2
204.75999999999902	3	3	2	2
214.92999999999887	3	3	2	2
225.1099999999987	3	3	2	2
235.28999999999854	3	3	2	2
245.46999999999838	3	3	2	2
255.64999999999822	3	3	2	2
255.85999999999802	3	3	2	2
266.02999999999787	3	3	2	2
276.2099999999977	3	3	2	2
286.38999999999754	3	3	2	2
296.5699999999974	3	3	2	2
306.7499999999972	3	3	2	2
306.959999999997	3	3	2	2
317.12999999999687	3	3	2	2
327.3099999999967	3	3	2	2
337.48999999999654	3	3	2	2
347.6699999999964	3	3	2	2
357.8499999999962	3	3	2	2
358.059999999996	3	3	2	2
368.22999999999587	3	3	2	2
378.4099999999957	3	3	2	2
388.58999999999554	3	3	2	2
398.7699999999954	3	3	2	2
408.9499999999952	3	3	2	2
409.159999999995	3	3	2	2
419.32999999999487	3	3	2	2
429.5099999999947	3	3	2	2
439.68999999999454	3	3	2	2
449.8699999999944	3	3	2	2
460.0499999999942	3	3	2	2
460.259999999994	3	3	2	2
470.42999999999387	3	3	2	2
480.6099999999937	3	3	2	2
490.78999999999354	3	3	2	2
500.9699999999934	3	3	2	2
511.1499999999932	3	3	2	2
511.359999999993	3	3	2	2
521.5299999999928	3	3	2	2
531.7099999999926	3	3	2	2
541.8899999999925	3	3	2	2
552.0699999999923	3	3	2	2
562.2499999999922	3	3	2	2
562.459999999992	3	3	2	2
572.6299999999918	3	3	2	2
582.8099999999916	3	3	2	2
592.9899999999915	3	3	2	2
603.1699999999913	3	3	2	2
613.3499999999912	3	3	2	2
613.559999999991	3	3	2	2
623.7299999999908	3	3	2	2
633.9099999999906	3	3	2	2
644.0899999999905	3	3	2	2
654.2699999999903	3	3	2	2
664.4499999999902	3	3	2	2
664.65999999999	3	3	2	2
674.8299999999898	3	3	2	2
685.0099999999896	3	3	2	2
695.1899999999895	3	3	2	2
705.3699999999893	3	3	2	2
715.5499999999892	3	3	2	2
715.759999999989	3	3	2	2
725.9299999999888	3	3	2	2
736.1099999999886	3	3	2	2
746.2899999999885	3	3	2	2
756.4699999999883	3	3	2	2
766.6499999999882	3	3	2	2
766.859999999988	3	3	2	2
777.0299999999878	3	3	2	2
787.2099999999876	3	3	2	2
797.3899999999875	3	3	2	2
807.5699999999873	3	3	2	2
817.7499999999872	3	3	2	2
817.959999999987	3	3	2	2
828.1299999999868	3	3	2	2
838.3099999999866	3	3	2	2
848.4899999999865	3	3	2	2
858.6699999999863	3	3	2	2
868.8499999999862	3	3	2	2
869.059999999986	3	3	2	2
879.2299999999858	3	3	2	2
889.4099999999856	3	3	2	2
899.5899999999855	3	3	2	2
909.7699999999853	3	3	2	2
919.9499999999852	3	3	2	2
920.159999999985	3	3	2	2
930.3299999999848	3	3	2	2
940.5099999999846	3	3	2	2
950.6899999999845	3	3	2	2
960.8699999999843	3	3	2	2
971.0499999999842	3	3	2	2
971.259999999984	3	3	2	2
981.4299999999838	3	3	2	2
991.6099999999836	3	3	2	2
1001.7899999999835	3	3	2	2
1011.9699999999833	3	3	2	2
1022.1499999999832	3	3	2	2
1022.359999999983	3	3	2	2
1032.529999999983	3	3	2	2
1042.7099999999828	3	3	2	2
1052.8899999999826	3	3	2	2
1063.0699999999824	3	3	2	2
1073.2499999999823	3	3	2	2
1073.459999999982	3	3	2	2
1083.629999999982	3	3	2	2
1093.8099999999818	3	3	2	2
1103.9899999999816	3	3	2	2
1114.1699999999814	3	3	2	2
1124.3499999999813	3	3	2	2
1124.559999999981	3	3	2	2
1134.729999999981	3	3	2	2
1144.9099999999808	3	3	2	2
1155.0899999999806	3	3	2	2
1165.2699999999804	3	3	2	2
1175.4499999999803	3	3	2	2
1175.65999999998	3	3	2	2
1185.82999999998	3	3	2	2
1196.0099999999798	3	3	2	2
1206.1899999999796	3	3	2	2
1216.3699999999794	3	3	2	2
1226.5499999999793	3	3	2	2
1226.759999999979	3	3	2	2
1236.929999999979	3	3	2	2
1247.1099999999788	3	3	2	2
1257.2899999999786	3	3	2	2
1267.4699999999784	3	3	2	2
1277.6499999999783	3	3	2	2
1277.859999999978	3	3	2	2
1288.029999999978	3	3	2	2
1298.2099999999778	3	3	2	2
1308.3899999999776	3	3	2	2
1318.5699999999774	3	3	2	2
1328.7499999999773	3	3	2	2
1328.959999999977	3	3	2	2
1339.129999999977	3	3	2	2
1349.3099999999768	3	3	2	2
1359.4899999999766	3	3	2	2
1369.6699999999764	3	3	2	2
1379.8499999999763	3	3	2	2
1380.059999999976	3	3	2	2
1390.229999999976	3	3	2	2
1400.4099999999758	3	3	2	2
1410.5899999999756	3	3	2	2
1420.7699999999754	3	3	2	2
1430.9499999999753	3	3	2	2
1431.159999999975	3	3	2	2
1441.329999999975	3	3	2	2
1451.5099999999748	3	3	2	2
1461.6899999999746	3	3	2	2
1471.8699999999744	3	3	2	2
1482.0499999999743	3	3	2	2
1482.259999999974	3	3	2	2
1492.429999999974	3	3	2	2
1502.6099999999738	3	3	2	2
1512.7899999999736	3	3	2	2
1522.9699999999734	3	3	2	2
1533.1499999999733	3	3	2	2
1533.359999999973	3	3	2	2
1543.529999999973	3	3	2	2
1553.7099999999728	3	3	2	2
1563.8899999999726	3	3	2	2
1574.0699999999724	3	3	2	2
1584.2499999999723	3	3	2	2
1584.459999999972	3	3	2	2
1594.629999999972	3	3	2	2
1604.8099999999718	3	3	2	2
1614.9899999999716	3	3	2	2
1625.1699999999714	3	3	2	2
1635.3499999999713	3	3	2	2
1635.559999999971	3	3	2	2
1645.729999999971	3	3	2	2
1655.9099999999708	3	3	2	2
1666.0899999999706	3	3	2	2
1676.2699999999704	3	3	2	2
1686.4499999999703	3	3	2	2
1686.65999999997	3	3	2	2
1696.82999999997	3	3	2	2
1707.0099999999698	3	3	2	2
1717.1899999999696	3	3	2	2
1727.3699999999694	3	3	2	2
1737.5499999999693	3	3	2	2
1737.759999999969	3	3	2	2
1747.929999999969	3	3	2	2
1758.1099999999687	3	3	2	2
1768.2899999999686	3	3	2	2
1778.4699999999684	3	3	2	2
1788.6499999999683	3	3	2	2
1788.859999999968	3	3	2	2
1799.029999999968	3	3	2	2
1809.2099999999677	3	3	2	2
1819.3899999999676	3	3	2	2
1829.5699999999674	3	3	2	2
1839.7499999999673	3	3	2	2
1839.959999999967	3	3	2	2
1850.129999999967	3	3	2	2
1860.3099999999667	3	3	2	2
1870.4899999999666	3	3	2	2
1880.6699999999664	3	3	2	2
1890.8499999999663	3	3	2	2
1891.059999999966	3	3	2	2
1901.229999999966	3	3	2	2
1911.4099999999657	3	3	2	2
1921.5899999999656	3	3	2	2
1931.7699999999654	3	3	2	2
1941.9499999999653	3	3	2	2
1942.159999999965	3	3	2	2
1952.329999999965	3	3	2	2
1962.5099999999647	3	3	2	2
1972.6899999999646	3	3	2	2
1982.8699999999644	3	3	2	2
1993.0499999999643	3	3	2	2
1993.259999999964	3	3	2	2
2003.429999999964	3	3	2	2
2013.6099999999637	3	3	2	2
2023.7899999999636	3	3	2	2
2033.9699999999634	3	3	2	2
2044.1499999999633	3	3	2	2
2044.359999999963	3	3	2	2
2054.529999999963	3	3	2	2
2064.709999999967	3	3	2	2
2074.8899999999708	3	3	2	2
2085.0699999999747	3	3	2	2
2095.2499999999786	3	3	2	2
2095.459999999983	3	3	2	2
2105.629999999987	3	3	2	2
2115.809999999991	3	3	2	2
2125.989999999995	3	3	2	2
2136.1699999999987	3	3	2	2
2146.3500000000026	3	3	2	2
2146.560000000007	3	3	2	2
2156.730000000011	3	3	2	2
2166.910000000015	3	3	2	2
2177.090000000019	3	3	2	2
2187.2700000000227	3	3	2	2
2197.4500000000266	3	3	2	2
2197.6600000000312	3	3	2	2
2207.830000000035	3	3	2	2
2218.010000000039	3	3	2	2
2228.250000000044	3	3	2	2
2238.430000000048	3	3	2	2
2248.610000000052	3	3	2	2
2248.8200000000566	3	3	2	2
2258.9900000000603	3	3	2	2
2269.170000000064	3	3	2	2
2279.350000000068	3	3	2	2
2289.530000000072	3	3	2	2
2299.710000000076	3	3	2	2
2299.9200000000806	3	3	2	2
2310.0900000000843	3	3	2	2
2320.270000000088	3	3	2	2
2330.450000000092	3	3	2	2
2340.630000000096	3	3	2	2
2350.8100000001	3	3	2	2
2351.0200000001046	3	3	2	2
2361.1900000001083	3	3	2	2
2371.370000000112	3	3	2	2
2381.550000000116	3	3	2	2
2391.73000000012	3	3	2	2
2401.910000000124	3	3	2	2
2402.1200000001286	3	3	2	2
2412.2900000001323	3	3	2	2
2422.470000000136	3	3	2	2
2432.65000000014	3	3	2	2
2442.830000000144	3	3	2	2
2453.010000000148	3	3	2	2
2453.2200000001526	3	3	2	2
2463.3900000001563	3	3	2	2
2473.5700000001602	3	3	2	2
2483.750000000164	3	3	2	2
2493.930000000168	3	3	2	2
2504.110000000172	3	3	2	2
2504.3200000001766	3	3	2	2
2514.4900000001803	3	3	2	2
2524.6700000001842	3	3	2	2
2534.850000000188	3	3	2	2
2545.030000000192	3	3	2	2
2555.210000000196	3	3	2	2
2555.4200000002006	3	3	2	2
2565.5900000002043	3	3	2	2
2575.7700000002083	3	3	2	2
2585.950000000212	3	3	2	2
2596.130000000216	3	3	2	2
2606.31000000022	3	3	2	2
2606.5200000002246	3	3	2	2
2616.6900000002283	3	3	2	2
2626.8700000002323	3	3	2	2
2637.050000000236	3	3	2	2
2647.23000000024	3	3	2	2
2657.410000000244	3	3	2	2
2657.6200000002486	3	3	2	2
2667.7900000002523	3	3	2	2
2677.9700000002563	3	3	2	2
2688.15000000026	3	3	2	2
2698.330000000264	3	3	2	2
2708.510000000268	3	3	2	2
2708.7200000002726	3	3	2	2
2718.8900000002764	3	3	2	2
2729.0700000002803	3	3	2	2
2739.250000000284	3	3	2	2
2749.430000000288	3	3	2	2
2759.610000000292	3	3	2	2
