Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m04
0.0	1	0	0	0
10.23939322114245	3	3	2	2
20.4787864422849	3	3	2	2
30.718179663427353	3	3	2	2
40.9575728845698	3	3	2	2
51.19696610571226	3	3	2	2
61.436359326854706	2	2	2	2
71.67575254799715	3	3	2	2
81.9151457691396	3	3	2	2
92.15453899028206	3	3	2	2
102.39393221142451	3	3	2	2
112.63332543256696	3	3	2	2
122.87271865370941	2	2	2	2
133.11211187485188	3	3	2	2
143.3515050959943	3	3	2	2
153.59089831713678	3	3	2	2
163.8302915382792	3	3	2	2
174.06968475942165	3	3	2	2
184.30907798056413	2	2	2	2
194.54847120170658	3	3	2	2
204.78786442284903	3	3	2	2
215.02725764399145	3	3	2	2
225.26665086513393	3	3	2	2
235.50604408627638	3	3	2	2
245.74543730741883	2	2	2	2
255.98483052856125	3	3	2	2
266.22422374970375	3	3	2	2
276.4636169708462	3	3	2	2
286.7030101919886	3	3	2	2
296.94240341313105	3	3	2	2
307.18179663427355	2	2	2	2
317.421189855416	3	3	2	2
327.6605830765584	3	3	2	2
337.8999762977009	3	3	2	2
348.1393695188433	3	3	2	2
358.3787627399858	3	3	2	2
368.61815596112825	2	2	2	2
378.85754918227065	3	3	2	2
389.09694240341315	3	3	2	2
399.33633562455555	3	3	2	2
409.57572884569805	3	3	2	2
419.8151220668405	3	3	2	2
430.0545152879829	2	2	2	2
440.2939085091254	3	3	2	2
450.53330173026785	3	3	2	2
460.77269495141024	3	3	2	2
471.01208817255275	3	3	2	2
481.25148139369514	3	3	2	2
491.49087461483765	2	2	2	2
501.7302678359801	3	3	2	2
511.9696610571225	3	3	2	2
522.209054278265	3	3	2	2
532.4484474994075	3	3	2	2
542.6878407205498	3	3	2	2
552.9272339416924	2	2	2	2
563.1666271628349	3	3	2	2
573.4060203839772	3	3	2	2
583.6454136051198	3	3	2	2
593.8848068262621	3	3	2	2
604.1242000474045	3	3	2	2
614.3635932685471	2	2	2	2
624.6029864896894	3	3	2	2
634.842379710832	3	3	2	2
645.0817729319745	3	3	2	2
655.3211661531168	3	3	2	2
665.5605593742594	3	3	2	2
675.7999525954018	2	2	2	2
686.0393458165443	3	3	2	2
696.2787390376866	3	3	2	2
706.518132258829	3	3	2	2
716.7575254799716	3	3	2	2
726.996918701114	3	3	2	2
737.2363119222565	2	2	2	2
747.4757051433988	3	3	2	2
757.7150983645413	3	3	2	2
767.9544915856839	3	3	2	2
778.1938848068263	3	3	2	2
788.4332780279688	3	3	2	2
798.6726712491111	2	2	2	2
808.9120644702535	3	3	2	2
819.1514576913961	3	3	2	2
829.3908509125386	3	3	2	2
839.630244133681	3	3	2	2
849.8696373548235	3	3	2	2
860.1090305759658	2	2	2	2
870.3484237971082	3	3	2	2
880.5878170182508	3	3	2	2
890.8272102393933	3	3	2	2
901.0666034605357	3	3	2	2
911.305996681678	3	3	2	2
921.5453899028205	2	2	2	2
931.784783123963	3	3	2	2
942.0241763451055	3	3	2	2
952.263569566248	3	3	2	2
962.5029627873903	3	3	2	2
972.7423560085327	3	3	2	2
982.9817492296753	2	2	2	2
993.2211424508178	3	3	2	2
1003.4605356719602	3	3	2	2
1013.6999288931027	3	3	2	2
1023.939322114245	3	3	2	2
1034.1787153353876	3	3	2	2
1044.41810855653	2	2	2	2
1054.6575017776725	3	3	2	2
1064.896894998815	3	3	2	2
1075.1362882199574	3	3	2	2
1085.3756814410997	3	3	2	2
1095.6150746622423	3	3	2	2
1105.8544678833848	2	2	2	2
1116.0938611045272	3	3	2	2
1126.3332543256697	3	3	2	2
1136.572647546812	3	3	2	2
1146.8120407679544	3	3	2	2
1157.051433989097	3	3	2	2
1167.2908272102395	2	2	2	2
1177.5302204313818	3	3	2	2
1187.7696136525242	3	3	2	2
1198.0090068736667	3	3	2	2
1208.248400094809	3	3	2	2
1218.4877933159516	3	3	2	2
1228.7271865370942	2	2	2	2
1238.9665797582365	3	3	2	2
1249.2059729793789	3	3	2	2
1259.4453662005214	3	3	2	2
1269.684759421664	3	3	2	2
1279.9241526428063	3	3	2	2
1290.163545863949	2	2	2	2
1300.4029390850912	3	3	2	2
1310.6423323062336	3	3	2	2
1320.8817255273761	3	3	2	2
1331.1211187485187	3	3	2	2
1341.360511969661	3	3	2	2
1351.5999051908036	2	2	2	2
1361.8392984119462	3	3	2	2
1372.0786916330885	3	3	2	2
1382.3180848542306	3	3	2	2
1392.5574780753732	3	3	2	2
1402.7968712965157	3	3	2	2
1413.036264517658	2	2	2	2
1423.2756577388006	3	3	2	2
1433.5150509599432	3	3	2	2
1443.7544441810855	3	3	2	2
1453.993837402228	3	3	2	2
1464.2332306233707	3	3	2	2
1474.472623844513	2	2	2	2
1484.7120170656551	3	3	2	2
1494.9514102867977	3	3	2	2
1505.1908035079402	3	3	2	2
1515.4301967290826	3	3	2	2
1525.6695899502251	3	3	2	2
1535.9089831713677	2	2	2	2
1546.14837639251	3	3	2	2
1556.3877696136526	3	3	2	2
1566.627162834795	3	3	2	2
1576.8665560559375	3	3	2	2
1587.10594927708	3	3	2	2
1597.3453424982222	2	2	2	2
1607.5847357193647	3	3	2	2
1617.824128940507	3	3	2	2
1628.0635221616496	3	3	2	2
1638.3029153827922	3	3	2	2
1648.5423086039345	3	3	2	2
1658.781701825077	2	2	2	2
1669.0210950462194	3	3	2	2
1679.260488267362	3	3	2	2
1689.4998814885046	3	3	2	2
1699.739274709647	3	3	2	2
1709.9786679307892	3	3	2	2
1720.2180611519316	2	2	2	2
1730.4574543730741	3	3	2	2
1740.6968475942165	3	3	2	2
1750.936240815359	3	3	2	2
1761.1756340365016	3	3	2	2
1771.415027257644	3	3	2	2
1781.6544204787865	2	2	2	2
1791.893813699929	3	3	2	2
1802.1332069210714	3	3	2	2
1812.372600142214	3	3	2	2
1822.611993363356	3	3	2	2
1832.8513865844986	3	3	2	2
1843.090779805641	2	2	2	2
1853.3301730267835	3	3	2	2
1863.569566247926	3	3	2	2
1873.8089594690684	3	3	2	2
1884.048352690211	3	3	2	2
1894.2877459113536	3	3	2	2
1904.527139132496	2	2	2	2
1914.7665323536385	3	3	2	2
