Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m04
0.0	1	0	0	0
10.176678445229681	3	3	2	2
20.353356890459363	3	3	2	2
30.530035335689046	3	3	2	2
40.706713780918726	3	3	2	2
50.88339222614841	3	3	2	2
61.06007067137809	2	2	2	2
71.23674911660777	3	3	2	2
81.41342756183745	3	3	2	2
91.59010600706713	3	3	2	2
101.76678445229682	3	3	2	2
111.9434628975265	3	3	2	2
122.12014134275618	2	2	2	2
132.29681978798587	3	3	2	2
142.47349823321554	3	3	2	2
152.65017667844523	3	3	2	2
162.8268551236749	3	3	2	2
173.0035335689046	3	3	2	2
183.18021201413427	2	2	2	2
193.35689045936397	3	3	2	2
203.53356890459364	3	3	2	2
213.71024734982333	3	3	2	2
223.886925795053	3	3	2	2
234.0636042402827	3	3	2	2
244.24028268551237	2	2	2	2
254.41696113074207	3	3	2	2
264.59363957597174	3	3	2	2
274.77031802120143	3	3	2	2
284.9469964664311	3	3	2	2
295.12367491166077	3	3	2	2
305.30035335689047	2	2	2	2
315.47703180212017	3	3	2	2
325.6537102473498	3	3	2	2
335.8303886925795	3	3	2	2
346.0070671378092	3	3	2	2
356.18374558303884	3	3	2	2
366.36042402826854	2	2	2	2
376.53710247349824	3	3	2	2
386.71378091872793	3	3	2	2
396.8904593639576	3	3	2	2
407.0671378091873	3	3	2	2
417.24381625441697	3	3	2	2
427.42049469964667	2	2	2	2
437.5971731448763	3	3	2	2
447.773851590106	3	3	2	2
457.9505300353357	3	3	2	2
468.1272084805654	3	3	2	2
478.30388692579504	3	3	2	2
488.48056537102474	2	2	2	2
498.65724381625444	3	3	2	2
508.83392226148413	3	3	2	2
519.0106007067138	3	3	2	2
529.1872791519435	3	3	2	2
539.3639575971731	3	3	2	2
549.5406360424029	2	2	2	2
559.7173144876325	3	3	2	2
569.8939929328621	3	3	2	2
580.0706713780918	3	3	2	2
590.2473498233215	3	3	2	2
600.4240282685513	3	3	2	2
610.6007067137809	2	2	2	2
620.7773851590106	3	3	2	2
630.9540636042403	3	3	2	2
641.13074204947	3	3	2	2
651.3074204946996	3	3	2	2
661.4840989399293	3	3	2	2
671.660777385159	2	2	2	2
681.8374558303888	3	3	2	2
692.0141342756184	3	3	2	2
702.190812720848	3	3	2	2
712.3674911660777	3	3	2	2
722.5441696113073	3	3	2	2
732.7208480565371	2	2	2	2
742.8975265017668	3	3	2	2
753.0742049469965	3	3	2	2
763.2508833922262	3	3	2	2
773.4275618374559	3	3	2	2
783.6042402826855	3	3	2	2
793.7809187279152	2	2	2	2
803.9575971731448	3	3	2	2
814.1342756183745	3	3	2	2
824.3109540636043	3	3	2	2
834.4876325088339	3	3	2	2
844.6643109540637	3	3	2	2
854.8409893992933	2	2	2	2
865.017667844523	3	3	2	2
875.1943462897526	3	3	2	2
885.3710247349823	3	3	2	2
895.547703180212	3	3	2	2
905.7243816254417	3	3	2	2
915.9010600706714	2	2	2	2
926.0777385159012	3	3	2	2
936.2544169611308	3	3	2	2
946.4310954063604	3	3	2	2
956.6077738515901	3	3	2	2
966.7844522968197	3	3	2	2
976.9611307420495	2	2	2	2
987.1378091872791	3	3	2	2
997.3144876325089	3	3	2	2
1007.4911660777386	3	3	2	2
1017.6678445229683	3	3	2	2
1027.844522968198	3	3	2	2
1038.0212014134277	2	2	2	2
1048.1978798586572	3	3	2	2
1058.374558303887	3	3	2	2
1068.5512367491165	3	3	2	2
1078.7279151943462	3	3	2	2
1088.904593639576	3	3	2	2
1099.0812720848057	2	2	2	2
1109.2579505300353	3	3	2	2
1119.434628975265	3	3	2	2
1129.6113074204948	3	3	2	2
1139.7879858657243	3	3	2	2
1149.964664310954	3	3	2	2
1160.1413427561836	2	2	2	2
1170.3180212014136	3	3	2	2
1180.494699646643	3	3	2	2
1190.6713780918728	3	3	2	2
1200.8480565371026	3	3	2	2
1211.0247349823321	3	3	2	2
1221.2014134275619	2	2	2	2
1231.3780918727914	3	3	2	2
1241.5547703180212	3	3	2	2
1251.731448763251	3	3	2	2
1261.9081272084807	3	3	2	2
1272.0848056537102	3	3	2	2
1282.26148409894	2	2	2	2
1292.4381625441697	3	3	2	2
1302.6148409893992	3	3	2	2
1312.791519434629	3	3	2	2
1322.9681978798585	3	3	2	2
1333.1448763250883	3	3	2	2
1343.321554770318	2	2	2	2
1353.4982332155475	3	3	2	2
1363.6749116607775	3	3	2	2
1373.8515901060068	3	3	2	2
1384.0282685512368	3	3	2	2
1394.2049469964666	3	3	2	2
1404.381625441696	2	2	2	2
1414.5583038869258	3	3	2	2
1424.7349823321554	3	3	2	2
1434.9116607773851	3	3	2	2
1445.0883392226146	3	3	2	2
1455.2650176678446	3	3	2	2
1465.4416961130742	2	2	2	2
1475.618374558304	3	3	2	2
1485.7950530035337	3	3	2	2
1495.9717314487632	3	3	2	2
1506.148409893993	3	3	2	2
1516.3250883392225	3	3	2	2
1526.5017667844525	2	2	2	2
1536.6784452296818	3	3	2	2
1546.8551236749117	3	3	2	2
1557.0318021201413	3	3	2	2
1567.208480565371	3	3	2	2
1577.3851590106008	3	3	2	2
1587.5618374558303	2	2	2	2
1597.73851590106	3	3	2	2
1607.9151943462896	3	3	2	2
