Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m04
0.3000000000000002	1	0	0	0
10.57	3	3	3	3
20.749999999999996	3	3	3	3
30.930000000000025	3	3	3	3
41.110000000000056	3	3	3	3
51.29000000000002	3	3	3	3
51.49999999999998	3	3	2	2
61.68999999999994	3	3	3	3
71.8699999999999	3	3	3	3
82.05	3	3	3	3
92.23000000000009	3	3	3	3
102.41000000000018	3	3	3	3
102.62000000000029	3	3	2	2
112.81000000000039	3	3	3	3
122.99000000000048	3	3	3	3
133.17000000000056	3	3	3	3
143.3500000000004	3	3	3	3
153.53000000000023	3	3	3	3
153.74000000000004	3	3	2	2
163.92999999999986	3	3	3	3
174.1099999999997	3	3	3	3
184.28999999999954	3	3	3	3
194.46999999999937	3	3	3	3
204.6499999999992	3	3	3	3
204.85999999999902	3	3	2	2
215.04999999999885	3	3	3	3
225.22999999999868	3	3	3	3
235.40999999999852	3	3	3	3
245.58999999999835	3	3	3	3
255.76999999999816	3	3	3	3
255.97999999999797	3	3	2	2
266.1699999999978	3	3	3	3
276.34999999999764	3	3	3	3
286.5299999999975	3	3	3	3
296.7099999999973	3	3	3	3
306.88999999999714	3	3	3	3
307.09999999999695	3	3	2	2
317.2899999999968	3	3	3	3
327.4699999999966	3	3	3	3
337.64999999999645	3	3	3	3
347.8299999999963	3	3	3	3
358.0099999999961	3	3	3	3
358.21999999999593	3	3	2	2
368.40999999999576	3	3	3	3
378.5899999999956	3	3	3	3
388.76999999999543	3	3	3	3
398.94999999999527	3	3	3	3
409.1299999999951	3	3	3	3
409.3399999999949	3	3	2	2
419.52999999999474	3	3	3	3
429.7099999999946	3	3	3	3
439.8899999999944	3	3	3	3
450.06999999999425	3	3	3	3
460.2499999999941	3	3	3	3
460.4599999999939	3	3	2	2
470.6499999999937	3	3	3	3
