Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m04
0.0	1	0	0	0
10.22001419446416	3	3	3	3
20.44002838892832	3	3	3	3
30.660042583392478	3	3	3	3
40.88005677785664	3	3	3	3
51.1000709723208	3	3	3	3
61.320085166784956	3	3	2	2
71.54009936124912	3	3	3	3
81.76011355571327	3	3	3	3
91.98012775017743	3	3	3	3
102.2001419446416	3	3	3	3
112.42015613910574	3	3	3	3
122.64017033356991	3	3	2	2
132.86018452803407	3	3	3	3
143.08019872249824	3	3	3	3
153.30021291696238	3	3	3	3
163.52022711142655	3	3	3	3
173.74024130589072	3	3	3	3
183.96025550035486	3	3	2	2
194.180269694819	3	3	3	3
204.4002838892832	3	3	3	3
214.62029808374734	3	3	3	3
224.84031227821148	3	3	3	3
235.06032647267563	3	3	3	3
245.28034066713982	3	3	2	2
255.50035486160397	3	3	3	3
265.72036905606814	3	3	3	3
275.9403832505323	3	3	3	3
286.1603974449965	3	3	3	3
296.3804116394606	3	3	3	3
306.60042583392476	3	3	2	2
316.82044002838893	3	3	3	3
327.0404542228531	3	3	3	3
337.2604684173172	3	3	3	3
347.48048261178144	3	3	3	3
357.70049680624555	3	3	3	3
367.9205110007097	3	3	2	2
378.1405251951739	3	3	3	3
388.360539389638	3	3	3	3
398.5805535841022	3	3	3	3
408.8005677785664	3	3	3	3
419.0205819730305	3	3	3	3
429.2405961674947	3	3	2	2
439.46061036195886	3	3	3	3
449.68062455642297	3	3	3	3
459.90063875088714	3	3	3	3
470.12065294535125	3	3	3	3
480.3406671398155	3	3	3	3
490.56068133427965	3	3	2	2
500.78069552874376	3	3	3	3
511.00070972320793	3	3	3	3
521.2207239176721	3	3	3	3
531.4407381121363	3	3	3	3
541.6607523066004	3	3	3	3
551.8807665010646	3	3	2	2
562.1007806955287	3	3	3	3
572.320794889993	3	3	3	3
582.5408090844571	3	3	3	3
592.7608232789212	3	3	3	3
602.9808374733853	3	3	3	3
613.2008516678495	3	3	2	2
623.4208658623137	3	3	3	3
633.6408800567779	3	3	3	3
643.860894251242	3	3	3	3
654.0809084457062	3	3	3	3
664.3009226401704	3	3	3	3
674.5209368346344	3	3	2	2
684.7409510290986	3	3	3	3
694.9609652235629	3	3	3	3
705.1809794180269	3	3	3	3
715.4009936124911	3	3	3	3
725.6210078069553	3	3	3	3
735.8410220014194	3	3	2	2
746.0610361958835	3	3	3	3
756.2810503903478	3	3	3	3
766.501064584812	3	3	3	3
776.721078779276	3	3	3	3
786.9410929737403	3	3	3	3
797.1611071682044	3	3	2	2
807.3811213626685	3	3	3	3
817.6011355571328	3	3	3	3
827.8211497515969	3	3	3	3
838.041163946061	3	3	3	3
848.2611781405252	3	3	3	3
858.4811923349894	3	3	2	2
868.7012065294534	3	3	3	3
878.9212207239177	3	3	3	3
889.1412349183819	3	3	3	3
899.3612491128459	3	3	3	3
909.5812633073102	3	3	3	3
919.8012775017743	3	3	2	2
930.0212916962384	3	3	3	3
940.2413058907025	3	3	3	3
950.4613200851668	3	3	3	3
960.681334279631	3	3	3	3
970.901348474095	3	3	3	3
981.1213626685593	3	3	2	2
991.3413768630234	3	3	3	3
1001.5613910574875	3	3	3	3
1011.7814052519518	3	3	3	3
1022.0014194464159	3	3	3	3
1032.22143364088	3	3	3	3
1042.4414478353442	3	3	2	2
1052.6614620298083	3	3	3	3
1062.8814762242725	3	3	3	3
1073.1014904187368	3	3	3	3
1083.321504613201	3	3	3	3
1093.541518807665	3	3	3	3
1103.7615330021292	3	3	2	2
1113.9815471965933	3	3	3	3
1124.2015613910573	3	3	3	3
1134.4215755855216	3	3	3	3
1144.641589779986	3	3	3	3
1154.86160397445	3	3	3	3
1165.0816181689142	3	3	2	2
1175.3016323633783	3	3	3	3
1185.5216465578424	3	3	3	3
1195.7416607523064	3	3	3	3
1205.9616749467707	3	3	3	3
1216.181689141235	3	3	3	3
1226.401703335699	3	3	2	2
1236.6217175301633	3	3	3	3
1246.8417317246274	3	3	3	3
1257.0617459190914	3	3	3	3
1267.2817601135557	3	3	3	3
1277.5017743080198	3	3	3	3
1287.721788502484	3	3	2	2
1297.9418026969483	3	3	3	3
1308.1618168914124	3	3	3	3
1318.3818310858765	3	3	3	3
1328.6018452803407	3	3	3	3
1338.8218594748048	3	3	3	3
1349.0418736692689	3	3	2	2
1359.2618878637331	3	3	3	3
1369.4819020581972	3	3	3	3
1379.7019162526615	3	3	3	3
1389.9219304471258	3	3	3	3
1400.1419446415898	3	3	3	3
1410.3619588360539	3	3	2	2
1420.581973030518	3	3	3	3
1430.8019872249822	3	3	3	3
1441.0220014194465	3	3	3	3
1451.2420156139106	3	3	3	3
1461.4620298083748	3	3	3	3
1471.682044002839	3	3	2	2
1481.902058197303	3	3	3	3
1492.122072391767	3	3	3	3
1502.3420865862315	3	3	3	3
1512.5621007806956	3	3	3	3
1522.7821149751596	3	3	3	3
1533.002129169624	3	3	2	2
1543.222143364088	3	3	3	3
1553.442157558552	3	3	3	3
1563.6621717530165	3	3	3	3
1573.8821859474806	3	3	3	3
1584.1022001419446	3	3	3	3
1594.3222143364087	3	3	2	2
1604.542228530873	3	3	3	3
1614.762242725337	3	3	3	3
1624.982256919801	3	3	3	3
1635.2022711142656	3	3	3	3
1645.4222853087297	3	3	3	3
1655.6422995031937	3	3	2	2
1665.8623136976578	3	3	3	3
1676.082327892122	3	3	3	3
1686.3023420865861	3	3	3	3
1696.5223562810504	3	3	3	3
1706.7423704755147	3	3	3	3
1716.9623846699787	3	3	2	2
1727.1823988644428	3	3	3	3
1737.4024130589069	3	3	3	3
1747.6224272533711	3	3	3	3
1757.8424414478354	3	3	3	3
1768.0624556422995	3	3	3	3
1778.2824698367638	3	3	2	2
1788.5024840312278	3	3	3	3
1798.7224982256919	3	3	3	3
1808.942512420156	3	3	3	3
1819.1625266146204	3	3	3	3
1829.3825408090845	3	3	3	3
1839.6025550035486	3	3	2	2
1849.8225691980128	3	3	3	3
1860.042583392477	3	3	3	3
1870.262597586941	3	3	3	3
1880.482611781405	3	3	3	3
1890.7026259758695	3	3	3	3
1900.9226401703336	3	3	2	2
1911.1426543647976	3	3	3	3
1921.362668559262	3	3	3	3
1931.582682753726	3	3	3	3
1941.80269694819	3	3	3	3
1952.0227111426545	3	3	3	3
1962.2427253371186	3	3	2	2
1972.4627395315827	3	3	3	3
1982.6827537260467	3	3	3	3
1992.902767920511	3	3	3	3
2003.122782114975	3	3	3	3
2013.3427963094396	3	3	3	3
2023.5628105039036	3	3	2	2
2033.7828246983677	3	3	3	3
2044.0028388928317	3	3	3	3
2054.222853087296	3	3	3	3
2064.44286728176	3	3	3	3
2074.6628814762244	3	3	3	3
2084.8828956706884	3	3	2	2
2095.1029098651525	3	3	3	3
2105.3229240596165	3	3	3	3
2115.542938254081	3	3	3	3
2125.762952448545	3	3	3	3
2135.982966643009	3	3	3	3
2146.2029808374737	3	3	2	2
2156.4229950319377	3	3	3	3
2166.643009226402	3	3	3	3
2176.863023420866	3	3	3	3
2187.08303761533	3	3	3	3
2197.303051809794	3	3	3	3
2207.5230660042585	3	3	2	2
2217.7430801987225	3	3	3	3
2227.9630943931866	3	3	3	3
2238.1831085876506	3	3	3	3
2248.4031227821147	3	3	3	3
2258.623136976579	3	3	3	3
2268.8431511710432	3	3	2	2
2279.0631653655078	3	3	3	3
