Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695e77a43881273d823ab22e - minikube	Unknown Heuristic - Run None (Profile ?) 695e77a43881273d823ab22e - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695e77a43881273d823ab22e - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695e77a43881273d823ab22e - minikube-m04
0.0	1	0	0	0
10.490529383195726	3	3	3	3
20.981058766391453	3	3	3	3
31.471588149587177	3	3	3	3
41.962117532782905	3	3	3	3
52.452646915978626	3	3	3	3
62.943176299174354	3	3	2	2
73.43370568237007	3	3	3	3
83.92423506556581	3	3	3	3
94.41476444876153	3	3	3	3
104.90529383195725	3	3	3	3
115.39582321515299	3	3	3	3
125.88635259834871	3	3	2	2
136.37688198154444	3	3	3	3
146.86741136474015	3	3	3	3
157.35794074793588	3	3	3	3
167.84847013113162	3	3	3	3
178.33899951432736	3	3	3	3
188.82952889752306	3	3	2	2
199.3200582807188	3	3	3	3
209.8105876639145	3	3	3	3
220.30111704711027	3	3	3	3
230.79164643030597	3	3	3	3
241.2821758135017	3	3	3	3
251.77270519669742	3	3	2	2
262.26323457989315	3	3	3	3
272.7537639630889	3	3	3	3
283.2442933462846	3	3	3	3
293.7348227294803	3	3	3	3
304.2253521126761	3	3	3	3
314.71588149587177	3	3	2	2
325.2064108790675	3	3	3	3
335.69694026226324	3	3	3	3
346.1874696454589	3	3	3	3
356.6779990286547	3	3	3	3
367.16852841185045	3	3	3	3
377.6590577950461	3	3	2	2
388.14958717824186	3	3	3	3
398.6401165614376	3	3	3	3
409.13064594463333	3	3	3	3
419.621175327829	3	3	3	3
430.11170471102474	3	3	3	3
440.60223409422053	3	3	2	2
451.0927634774162	3	3	3	3
461.58329286061195	3	3	3	3
472.0738222438076	3	3	3	3
482.5643516270034	3	3	3	3
493.05488101019915	3	3	3	3
503.54541039339483	3	3	2	2
514.0359397765906	3	3	3	3
524.5264691597863	3	3	3	3
535.016998542982	3	3	3	3
545.5075279261778	3	3	3	3
555.9980573093735	3	3	3	3
566.4885866925692	3	3	2	2
576.979116075765	3	3	3	3
587.4696454589606	3	3	3	3
597.9601748421564	3	3	3	3
608.4507042253522	3	3	3	3
618.9412336085478	3	3	3	3
629.4317629917435	3	3	2	2
639.9222923749393	3	3	3	3
650.412821758135	3	3	3	3
660.9033511413307	3	3	3	3
671.3938805245265	3	3	3	3
681.8844099077221	3	3	3	3
692.3749392909178	3	3	2	2
702.8654686741137	3	3	3	3
713.3559980573094	3	3	3	3
723.8465274405052	3	3	3	3
734.3370568237009	3	3	3	3
744.8275862068965	3	3	3	3
755.3181155900922	3	3	2	2
765.808644973288	3	3	3	3
776.2991743564837	3	3	3	3
786.7897037396796	3	3	3	3
797.2802331228752	3	3	3	3
807.7707625060709	3	3	3	3
818.2612918892667	3	3	2	2
828.7518212724624	3	3	3	3
839.242350655658	3	3	3	3
849.7328800388538	3	3	3	3
860.2234094220495	3	3	3	3
870.7139388052453	3	3	3	3
881.2044681884411	3	3	2	2
891.6949975716367	3	3	3	3
902.1855269548324	3	3	3	3
912.6760563380282	3	3	3	3
923.1665857212239	3	3	3	3
933.6571151044195	3	3	3	3
944.1476444876153	3	3	2	2
954.6381738708111	3	3	3	3
965.1287032540068	3	3	3	3
975.6192326372026	3	3	3	3
986.1097620203983	3	3	3	3
996.6002914035939	3	3	3	3
1007.0908207867897	3	3	2	2
1017.5813501699854	3	3	3	3
1028.0718795531811	3	3	3	3
1038.5624089363769	3	3	3	3
1049.0529383195726	3	3	3	3
1059.5434677027683	3	3	3	3
1070.033997085964	3	3	2	2
1080.5245264691598	3	3	3	3
1091.0150558523555	3	3	3	3
1101.5055852355513	3	3	3	3
1111.996114618747	3	3	3	3
1122.4866440019428	3	3	3	3
1132.9771733851385	3	3	2	2
1143.4677027683342	3	3	3	3
1153.95823215153	3	3	3	3
1164.4487615347255	3	3	3	3
1174.9392909179212	3	3	3	3
1185.429820301117	3	3	3	3
1195.920349684313	3	3	2	2
1206.4108790675086	3	3	3	3
1216.9014084507044	3	3	3	3
1227.3919378338999	3	3	3	3
1237.8824672170956	3	3	3	3
1248.3729966002913	3	3	3	3
1258.863525983487	3	3	2	2
1269.3540553666828	3	3	3	3
1279.8445847498785	3	3	3	3
1290.3351141330743	3	3	3	3
1300.82564351627	3	3	3	3
1311.3161728994658	3	3	3	3
1321.8067022826615	3	3	2	2
1332.2972316658572	3	3	3	3
1342.787761049053	3	3	3	3
1353.2782904322487	3	3	3	3
1363.7688198154442	3	3	3	3
1374.2593491986402	3	3	3	3
1384.7498785818357	3	3	2	2
1395.2404079650316	3	3	3	3
1405.7309373482274	3	3	3	3
1416.2214667314229	3	3	3	3
1426.7119961146188	3	3	3	3
1437.2025254978143	3	3	3	3
1447.6930548810103	3	3	2	2
1458.1835842642058	3	3	3	3
1468.6741136474018	3	3	3	3
1479.1646430305975	3	3	3	3
1489.655172413793	3	3	3	3
1500.145701796989	3	3	3	3
1510.6362311801845	3	3	2	2
1521.1267605633805	3	3	3	3
1531.617289946576	3	3	3	3
1542.1078193297717	3	3	3	3
1552.5983487129674	3	3	3	3
1563.0888780961632	3	3	3	3
1573.5794074793591	3	3	2	2
1584.0699368625546	3	3	3	3
1594.5604662457504	3	3	3	3
1605.050995628946	3	3	3	3
1615.5415250121418	3	3	3	3
1626.0320543953374	3	3	3	3
1636.5225837785333	3	3	2	2
1647.013113161729	3	3	3	3
1657.5036425449248	3	3	3	3
1667.9941719281205	3	3	3	3
1678.484701311316	3	3	3	3
1688.975230694512	3	3	3	3
1699.4657600777075	3	3	2	2
1709.9562894609035	3	3	3	3
1720.446818844099	3	3	3	3
1730.9373482272947	3	3	3	3
1741.4278776104907	3	3	3	3
1751.9184069936862	3	3	3	3
1762.4089363768821	3	3	2	2
1772.8994657600776	3	3	3	3
