Relative Time (Process)	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m02	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m03	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m04
0.0	1	0	0	0
10.260064125400785	3	3	3	3
20.52012825080157	3	3	3	3
30.78019237620235	3	3	3	3
41.04025650160314	3	3	3	3
51.30032062700391	3	3	3	3
61.5603847524047	3	3	2	2
71.82044887780549	3	3	3	3
82.08051300320628	3	3	3	3
92.34057712860705	3	3	3	3
102.60064125400783	3	3	3	3
112.86070537940863	3	3	3	3
123.1207695048094	3	3	2	2
133.3808336302102	3	3	3	3
143.64089775561098	3	3	3	3
153.90096188101174	3	3	3	3
164.16102600641256	3	3	3	3
174.42109013181332	3	3	3	3
184.6811542572141	3	3	2	2
194.9412183826149	3	3	3	3
205.20128250801565	3	3	3	3
215.46134663341644	3	3	3	3
225.72141075881726	3	3	3	3
235.98147488421802	3	3	3	3
246.2415390096188	3	3	2	2
256.5016031350196	3	3	3	3
266.7616672604204	3	3	3	3
277.02173138582117	3	3	3	3
287.28179551122196	3	3	3	3
297.54185963662275	3	3	3	3
307.8019237620235	3	3	2	2
318.0619878874243	3	3	3	3
328.3220520128251	3	3	3	3
338.58211613822584	3	3	3	3
348.84218026362663	3	3	3	3
359.1022443890274	3	3	3	3
369.3623085144282	3	3	2	2
379.62237263982894	3	3	3	3
389.8824367652298	3	3	3	3
400.1425008906306	3	3	3	3
410.4025650160313	3	3	3	3
420.66262914143215	3	3	3	3
430.9226932668329	3	3	2	2
441.18275739223367	3	3	3	3
451.4428215176345	3	3	3	3
461.70288564303524	3	3	3	3
471.96294976843603	3	3	3	3
482.2230138938368	3	3	3	3
492.4830780192376	3	3	2	2
502.74314214463845	3	3	3	3
513.0032062700392	3	3	3	3
523.2632703954399	3	3	3	3
533.5233345208408	3	3	3	3
543.7833986462415	3	3	3	3
554.0434627716423	3	3	2	2
564.3035268970432	3	3	3	3
574.5635910224439	3	3	3	3
584.8236551478446	3	3	3	3
595.0837192732455	3	3	3	3
605.3437833986462	3	3	3	3
615.603847524047	3	3	2	2
625.8639116494478	3	3	3	3
636.1239757748486	3	3	3	3
646.3840399002494	3	3	3	3
656.6441040256502	3	3	3	3
666.904168151051	3	3	3	3
677.1642322764517	3	3	2	2
687.4242964018524	3	3	3	3
697.6843605272533	3	3	3	3
707.9444246526541	3	3	3	3
718.2044887780548	3	3	3	3
728.4645529034557	3	3	3	3
738.7246170288564	3	3	2	2
748.9846811542571	3	3	3	3
759.2447452796579	3	3	3	3
769.5048094050588	3	3	3	3
779.7648735304596	3	3	3	3
790.0249376558603	3	3	3	3
800.2850017812611	3	3	2	2
810.5450659066619	3	3	3	3
820.8051300320626	3	3	3	3
831.0651941574636	3	3	3	3
841.3252582828643	3	3	3	3
851.585322408265	3	3	3	3
861.8453865336658	3	3	2	2
872.1054506590666	3	3	3	3
882.3655147844673	3	3	3	3
892.6255789098683	3	3	3	3
902.885643035269	3	3	3	3
913.1457071606698	3	3	3	3
923.4057712860705	3	3	2	2
933.6658354114712	3	3	3	3
943.9258995368721	3	3	3	3
954.1859636622729	3	3	3	3
964.4460277876736	3	3	3	3
974.7060919130745	3	3	3	3
984.9661560384752	3	3	2	2
995.226220163876	3	3	3	3
1005.4862842892769	3	3	3	3
1015.7463484146776	3	3	3	3
1026.0064125400784	3	3	3	3
1036.266476665479	3	3	3	3
1046.5265407908798	3	3	2	2
1056.7866049162806	3	3	3	3
1067.0466690416815	3	3	3	3
1077.3067331670823	3	3	3	3
1087.566797292483	3	3	3	3
1097.826861417884	3	3	3	3
1108.0869255432847	3	3	2	2
1118.3469896686854	3	3	3	3
1128.6070537940864	3	3	3	3
1138.867117919487	3	3	3	3
1149.1271820448878	3	3	3	3
1159.3872461702886	3	3	3	3
1169.6473102956893	3	3	2	2
1179.90737442109	3	3	3	3
1190.167438546491	3	3	3	3
1200.4275026718917	3	3	3	3
1210.6875667972924	3	3	3	3
1220.9476309226932	3	3	3	3
1231.207695048094	3	3	2	2
1241.4677591734949	3	3	3	3
1251.7278232988956	3	3	3	3
1261.9878874242963	3	3	3	3
1272.2479515496973	3	3	3	3
1282.508015675098	3	3	3	3
1292.7680798004988	3	3	2	2
1303.0281439258995	3	3	3	3
1313.2882080513004	3	3	3	3
1323.5482721767012	3	3	3	3
1333.808336302102	3	3	3	3
1344.0684004275026	3	3	3	3
1354.3284645529034	3	3	2	2
1364.588528678304	3	3	3	3
1374.8485928037048	3	3	3	3
1385.1086569291058	3	3	3	3
1395.3687210545065	3	3	3	3
1405.6287851799075	3	3	3	3
1415.8888493053082	3	3	2	2
1426.148913430709	3	3	3	3
1436.4089775561097	3	3	3	3
1446.6690416815106	3	3	3	3
1456.9291058069114	3	3	3	3
1467.189169932312	3	3	3	3
1477.4492340577128	3	3	2	2
1487.7092981831136	3	3	3	3
1497.9693623085143	3	3	3	3
1508.229426433915	3	3	3	3
1518.4894905593158	3	3	3	3
1528.749554684717	3	3	3	3
1539.0096188101177	3	3	2	2
1549.2696829355184	3	3	3	3
1559.5297470609191	3	3	3	3
1569.7898111863199	3	3	3	3
1580.0498753117206	3	3	3	3
1590.3099394371216	3	3	3	3
1600.5700035625223	3	3	2	2
1610.830067687923	3	3	3	3
1621.0901318133238	3	3	3	3
1631.3501959387245	3	3	3	3
1641.6102600641252	3	3	3	3
1651.8703241895264	3	3	3	3
1662.1303883149271	3	3	2	2
1672.3904524403279	3	3	3	3
1682.6505165657286	3	3	3	3
1692.9105806911293	3	3	3	3
1703.17064481653	3	3	3	3
1713.4307089419308	3	3	3	3
1723.6907730673315	3	3	2	2
1733.9508371927325	3	3	3	3
1744.2109013181332	3	3	3	3
1754.470965443534	3	3	3	3
1764.7310295689347	3	3	3	3
1774.9910936943356	3	3	3	3
1785.2511578197366	3	3	2	2
1795.5112219451373	3	3	3	3
1805.771286070538	3	3	3	3
1816.0313501959388	3	3	3	3
1826.2914143213395	3	3	3	3
1836.5514784467402	3	3	3	3
1846.811542572141	3	3	2	2
1857.0716066975417	3	3	3	3
1867.3316708229424	3	3	3	3
1877.5917349483434	3	3	3	3
1887.8517990737441	3	3	3	3
1898.111863199145	3	3	3	3
1908.3719273245458	3	3	2	2
1918.6319914499466	3	3	3	3
1928.8920555753473	3	3	3	3
1939.1521197007482	3	3	3	3
1949.412183826149	3	3	3	3
1959.6722479515497	3	3	3	3
1969.9323120769504	3	3	2	2
1980.1923762023512	3	3	3	3
1990.452440327752	3	3	3	3
2000.7125044531526	3	3	3	3
2010.9725685785538	3	3	3	3
2021.2326327039546	3	3	3	3
2031.4926968293553	3	3	2	2
2041.752760954756	3	3	3	3
2052.0128250801567	3	3	3	3
2062.2728892055575	3	3	3	3
2072.532953330958	3	3	3	3
2082.793017456359	3	3	3	3
2093.0530815817597	3	3	2	2
2103.3131457071604	3	3	3	3
2113.573209832561	3	3	3	3
2123.8332739579623	3	3	3	3
2134.093338083363	3	3	3	3
2144.353402208764	3	3	3	3
2154.6134663341645	3	3	2	2
2164.8735304595652	3	3	3	3
2175.133594584966	3	3	3	3
2185.393658710367	3	3	3	3
2195.653722835768	3	3	3	3
2205.9137869611686	3	3	3	3
2216.1738510865694	3	3	2	2
2226.43391521197	3	3	3	3
2236.693979337371	3	3	3	3
2246.9540434627716	3	3	3	3
2257.2141075881727	3	3	3	3
2267.4741717135735	3	3	3	3
2277.734235838974	3	3	2	2
2287.994299964375	3	3	3	3
2298.2543640897757	3	3	3	3
2308.5144282151764	3	3	3	3
2318.774492340577	3	3	3	3
2329.034556465978	3	3	3	3
2339.2946205913786	3	3	2	2
2349.5546847167793	3	3	3	3
2359.81474884218	3	3	3	3
2370.074812967581	3	3	3	3
2380.334877092982	3	3	3	3
2390.5949412183827	3	3	3	3
2400.8550053437834	3	3	2	2
2411.115069469184	3	3	3	3
2421.375133594585	3	3	3	3
2431.6351977199856	3	3	3	3
2441.8952618453864	3	3	3	3
2452.155325970787	3	3	3	3
2462.415390096188	3	3	2	2
2472.675454221589	3	3	3	3
2482.9355183469897	3	3	3	3
2493.1955824723905	3	3	3	3
2503.455646597791	3	3	3	3
2513.715710723192	3	3	3	3
2523.9757748485927	3	3	2	2
2534.235838973994	3	3	3	3
2544.4959030993946	3	3	3	3
2554.7559672247953	3	3	3	3
2565.016031350196	3	3	3	3
2575.276095475597	3	3	3	3
2585.5361596009975	3	3	2	2
2595.7962237263982	3	3	3	3
2606.056287851799	3	3	3	3
2616.3163519771997	3	3	3	3
2626.576416102601	3	3	3	3
2636.8364802280016	3	3	3	3
2647.0965443534024	3	3	2	2
2657.356608478803	3	3	3	3
2667.616672604204	3	3	3	3
2677.8767367296045	3	3	3	3
2688.1368008550053	3	3	3	3
2698.396864980406	3	3	3	3
2708.6569291058067	3	3	2	2
2718.916993231208	3	3	3	3
2729.177057356608	3	3	3	3
2739.4371214820094	3	3	3	3
2749.6971856074097	3	3	3	3
2759.957249732811	3	3	3	3
2770.2173138582116	3	3	2	2
2780.4773779836123	3	3	3	3
2790.737442109013	3	3	3	3
2800.997506234414	3	3	3	3
2811.257570359815	3	3	3	3
2821.5176344852157	3	3	3	3
2831.7776986106164	3	3	2	2
2842.037762736017	3	3	3	3
2852.297826861418	3	3	3	3
2862.5578909868186	3	3	3	3
2872.8179551122194	3	3	3	3
2883.07801923762	3	3	3	3
2893.3380833630213	3	3	2	2
2903.5981474884215	3	3	3	3
2913.8582116138227	3	3	3	3
2924.118275739223	3	3	3	3
2934.378339864624	3	3	3	3
2944.6384039900254	3	3	3	3
2954.8984681154257	3	3	2	2
2965.158532240827	3	3	3	3
2975.418596366227	3	3	3	3
2985.6786604916283	3	3	3	3
2995.9387246170286	3	3	3	3
3006.1987887424298	3	3	3	3
3016.45885286783	3	3	2	2
3026.7189169932312	3	3	3	3
3036.9789811186315	3	3	3	3
3047.2390452440327	3	3	3	3
3057.499109369434	3	3	3	3
3067.759173494834	3	3	3	3
3078.0192376202353	3	3	2	2
3088.2793017456356	3	3	3	3
3098.539365871037	3	3	3	3
3108.7994299964375	3	3	3	3
3119.0594941218383	3	3	3	3
3129.319558247239	3	3	3	3
3139.5796223726397	3	3	2	2
3149.8396864980405	3	3	3	3
3160.099750623441	3	3	3	3
3170.3598147488424	3	3	3	3
3180.619878874243	3	3	3	3
3190.879942999644	3	3	3	3
3201.1400071250446	3	3	2	2
3211.4000712504453	3	3	3	3
3221.660135375846	3	3	3	3
3231.920199501247	3	3	3	3
3242.1802636266475	3	3	3	3
3252.4403277520487	3	3	3	3
3262.700391877449	3	3	2	2
3272.96045600285	3	3	3	3
3283.2205201282504	3	3	3	3
3293.4805842536516	3	3	3	3
3303.740648379053	3	3	3	3
3314.000712504453	3	3	3	3
3324.2607766298543	3	3	2	2
3334.5208407552545	3	3	3	3
3344.7809048806557	3	3	3	3
3355.040969006056	3	3	3	3
3365.301033131457	3	3	3	3
3375.5610972568575	3	3	3	3
3385.8211613822587	3	3	2	2
3396.0812255076594	3	3	3	3
3406.34128963306	3	3	3	3
3416.6013537584613	3	3	3	3
3426.8614178838616	3	3	3	3
3437.1214820092628	3	3	3	3
3447.381546134663	3	3	2	2
3457.641610260064	3	3	3	3
3467.901674385465	3	3	3	3
3478.1617385108657	3	3	3	3
3488.4218026362664	3	3	3	3
3498.681866761667	3	3	3	3
3508.941930887068	3	3	2	2
3519.201995012469	3	3	3	3
3529.4620591378693	3	3	3	3
3539.7221232632705	3	3	3	3
3549.9821873886713	3	3	3	3
3560.242251514072	3	3	3	3
3570.502315639473	3	3	2	2
3580.7623797648735	3	3	3	3
3591.0224438902746	3	3	3	3
3601.282508015675	3	3	3	3
3611.542572141076	3	3	3	3
3621.8026362664764	3	3	3	3
3632.0627003918776	3	3	2	2
3642.322764517278	3	3	3	3
3652.582828642679	3	3	3	3
3662.84289276808	3	3	3	3
3673.1029568934805	3	3	3	3
3683.3630210188817	3	3	3	3
3693.623085144282	3	3	2	2
3703.883149269683	3	3	3	3
3714.1432133950834	3	3	3	3
3724.4032775204846	3	3	3	3
3734.663341645885	3	3	3	3
3744.923405771286	3	3	3	3
3755.183469896687	3	3	2	2
3765.4435340220875	3	3	3	3
3775.7035981474883	3	3	3	3
3785.963662272889	3	3	3	3
3796.22372639829	3	3	3	3
3806.483790523691	3	3	3	3
3816.7438546490916	3	3	2	2
3827.0039187744924	3	3	3	3
3837.263982899893	3	3	3	3
3847.524047025294	3	3	3	3
3857.7841111506946	3	3	3	3
3868.0441752760953	3	3	3	3
3878.3042394014965	3	3	2	2
3888.5643035268968	3	3	3	3
3898.824367652298	3	3	3	3
3909.0844317776987	3	3	3	3
3919.3444959030994	3	3	3	3
3929.6045600285006	3	3	3	3
3939.864624153901	3	3	2	2
3950.124688279302	3	3	3	3
3960.3847524047023	3	3	3	3
3970.6448165301035	3	3	3	3
3980.904880655504	3	3	3	3
3991.164944780905	3	3	3	3
4001.4250089063053	3	3	2	2
4011.6850730317065	3	3	3	3
4021.9451371571076	3	3	3	3
4032.205201282508	3	3	3	3
4042.465265407909	3	3	3	3
4052.7253295333094	3	3	3	3
4062.9853936587106	3	3	2	2
4073.245457784111	3	3	3	3
4083.505521909512	3	3	3	3
4093.7655860349128	3	3	3	3
4104.0256501603135	3	3	3	3
4114.285714285714	3	3	3	3
4124.545778411115	3	3	2	2
4134.805842536515	3	3	3	3
4145.065906661916	3	3	3	3
4155.325970787318	3	3	3	3
4165.586034912718	3	3	3	3
4175.846099038119	3	3	3	3
4186.106163163519	3	3	2	2
4196.3662272889205	3	3	3	3
4206.626291414321	3	3	3	3
4216.886355539722	3	3	3	3
4227.146419665122	3	3	3	3
4237.406483790523	3	3	3	3
4247.666547915925	3	3	2	2
4257.926612041325	3	3	3	3
4268.186676166726	3	3	3	3
4278.446740292126	3	3	3	3
4288.706804417528	3	3	3	3
4298.966868542929	3	3	3	3
4309.226932668329	3	3	2	2
4319.48699679373	3	3	3	3
4329.7470609191305	3	3	3	3
4340.007125044532	3	3	3	3
4350.267189169932	3	3	3	3
4360.527253295333	3	3	3	3
4370.787317420734	3	3	2	2
4381.047381546135	3	3	3	3
4391.307445671536	3	3	3	3
4401.567509796936	3	3	3	3
4411.827573922337	3	3	3	3
4422.087638047738	3	3	3	3
4432.347702173139	3	3	2	2
4442.60776629854	3	3	3	3
4452.86783042394	3	3	3	3
4463.127894549341	3	3	3	3
4473.387958674742	3	3	3	3
4483.648022800143	3	3	3	3
4493.908086925543	3	3	2	2
4504.168151050944	3	3	3	3
4514.4282151763455	3	3	3	3
4524.688279301746	3	3	3	3
4534.948343427147	3	3	3	3
4545.208407552547	3	3	3	3
4555.468471677948	3	3	2	2
4565.728535803349	3	3	3	3
4575.98859992875	3	3	3	3
4586.24866405415	3	3	3	3
4596.508728179551	3	3	3	3
4606.768792304952	3	3	3	3
4617.028856430353	3	3	2	2
4627.288920555753	3	3	3	3
4637.548984681154	3	3	3	3
4647.809048806555	3	3	3	3
4658.069112931956	3	3	3	3
4668.329177057357	3	3	3	3
4678.589241182757	3	3	2	2
4688.849305308158	3	3	3	3
4699.109369433559	3	3	3	3
4709.36943355896	3	3	3	3
4719.62949768436	3	3	3	3
4729.889561809761	3	3	3	3
4740.149625935162	3	3	2	2
4750.409690060563	3	3	3	3
4760.669754185964	3	3	3	3
4770.929818311364	3	3	3	3
4781.189882436765	3	3	3	3
4791.449946562166	3	3	3	3
4801.710010687567	3	3	2	2
4811.970074812967	3	3	3	3
4822.230138938368	3	3	3	3
4832.490203063769	3	3	3	3
4842.75026718917	3	3	3	3
4853.01033131457	3	3	3	3
4863.270395439971	3	3	2	2
4873.530459565372	3	3	3	3
4883.790523690773	3	3	3	3
4894.050587816174	3	3	3	3
4904.310651941574	3	3	3	3
4914.570716066975	3	3	3	3
4924.830780192376	3	3	2	2
4935.090844317777	3	3	3	3
4945.350908443178	3	3	3	3
4955.610972568578	3	3	3	3
4965.8710366939795	3	3	3	3
4976.13110081938	3	3	3	3
4986.391164944781	3	3	2	2
4996.651229070182	3	3	3	3
5006.911293195582	3	3	3	3
5017.171357320984	3	3	3	3
5027.431421446384	3	3	3	3
5037.691485571785	3	3	3	3
5047.951549697185	3	3	2	2
5058.2116138225865	3	3	3	3
5068.471677947988	3	3	3	3
5078.731742073388	3	3	3	3
5088.991806198789	3	3	3	3
5099.251870324189	3	3	3	3
5109.511934449591	3	3	2	2
5119.771998574992	3	3	3	3
5130.032062700392	3	3	3	3
5140.292126825793	3	3	3	3
5150.552190951194	3	3	3	3
5160.812255076595	3	3	3	3
5171.072319201995	3	3	2	2
5181.332383327396	3	3	3	3
5191.5924474527965	3	3	3	3
5201.852511578198	3	3	3	3
5212.112575703598	3	3	3	3
5222.372639828999	3	3	3	3
5232.632703954399	3	3	2	2
5242.892768079801	3	3	3	3
5253.152832205202	3	3	3	3
5263.412896330602	3	3	3	3
5273.672960456003	3	3	3	3
5283.9330245814035	3	3	3	3
5294.193088706805	3	3	2	2
5304.453152832205	3	3	3	3
5314.713216957606	3	3	3	3
5324.973281083006	3	3	3	3
5335.233345208408	3	3	3	3
5345.493409333808	3	3	3	3
5355.753473459209	3	3	2	2
5366.01353758461	3	3	3	3
5376.273601710011	3	3	3	3
5386.533665835412	3	3	3	3
5396.793729960812	3	3	3	3
5407.053794086212	3	3	3	3
5417.3138582116135	3	3	2	2
5427.573922337015	3	3	3	3
5437.833986462416	3	3	3	3
5448.094050587815	3	3	3	3
5458.354114713216	3	3	3	3
5468.614178838618	3	3	3	3
5478.874242964019	3	3	2	2
5489.13430708942	3	3	3	3
5499.394371214819	3	3	3	3
5509.6544353402205	3	3	3	3
5519.914499465622	3	3	3	3
5530.174563591023	3	3	3	3
5540.434627716423	3	3	2	2
5550.694691841823	3	3	3	3
5560.954755967225	3	3	3	3
5571.214820092626	3	3	3	3
5581.474884218026	3	3	3	3
5591.734948343427	3	3	3	3
5601.995012468828	3	3	2	2
5612.255076594229	3	3	3	3
5622.51514071963	3	3	3	3
5632.77520484503	3	3	3	3
5643.035268970431	3	3	3	3
5653.295333095832	3	3	3	3
5663.555397221233	3	3	2	2
5673.815461346633	3	3	3	3
5684.075525472034	3	3	3	3
5694.3355895974355	3	3	3	3
5704.595653722836	3	3	3	3
5714.855717848236	3	3	3	3
5725.115781973637	3	3	2	2
5735.375846099038	3	3	3	3
5745.635910224439	3	3	3	3
5755.89597434984	3	3	3	3
5766.15603847524	3	3	3	3
5776.416102600641	3	3	3	3
5786.6761667260425	3	3	2	2
5796.936230851443	3	3	3	3
5807.196294976843	3	3	3	3
5817.456359102244	3	3	3	3
5827.7164232276455	3	3	3	3
5837.976487353047	3	3	3	3
5848.236551478446	3	3	2	2
5858.496615603847	3	3	3	3
5868.756679729248	3	3	3	3
5879.01674385465	3	3	3	3
5889.276807980051	3	3	3	3
5899.53687210545	3	3	3	3
5909.796936230851	3	3	2	2
5920.0570003562525	3	3	3	3
5930.317064481654	3	3	3	3
5940.577128607053	3	3	3	3
5950.837192732454	3	3	3	3
5961.097256857855	3	3	3	3
5971.357320983257	3	3	2	2
5981.617385108658	3	3	3	3
5991.877449234057	3	3	3	3
6002.137513359458	3	3	3	3
6012.3975774848595	3	3	3	3
6022.657641610261	3	3	3	3
6032.91770573566	3	3	2	2
6043.177769861061	3	3	3	3
6053.4378339864625	3	3	3	3
6063.697898111864	3	3	3	3
6073.957962237263	3	3	3	3
6084.218026362664	3	3	3	3
6094.478090488065	3	3	2	2
6104.738154613467	3	3	3	3
6114.998218738868	3	3	3	3
6125.258282864267	3	3	3	3
6135.518346989668	3	3	3	3
6145.7784111150695	3	3	3	3
6156.038475240471	3	3	2	2
6166.298539365871	3	3	3	3
6176.558603491271	3	3	3	3
6186.818667616672	3	3	3	3
6197.078731742074	3	3	3	3
6207.338795867474	3	3	3	3
6217.598859992875	3	3	2	2
6227.858924118275	3	3	3	3
6238.1189882436765	3	3	3	3
6248.379052369078	3	3	3	3
6258.639116494478	3	3	3	3
6268.899180619879	3	3	3	3
6279.1592447452795	3	3	2	2
6289.419308870681	3	3	3	3
6299.679372996081	3	3	3	3
6309.939437121482	3	3	3	3
6320.199501246882	3	3	3	3
6330.459565372284	3	3	3	3
6340.719629497685	3	3	2	2
6350.979693623085	3	3	3	3
6361.239757748486	3	3	3	3
6371.4998218738865	3	3	3	3
6381.759885999288	3	3	3	3
6392.019950124688	3	3	3	3
6402.280014250089	3	3	2	2
6412.54007837549	3	3	3	3
6422.800142500891	3	3	3	3
6433.060206626291	3	3	3	3
6443.320270751692	3	3	3	3
6453.580334877093	3	3	3	3
6463.840399002494	3	3	2	2
6474.100463127895	3	3	3	3
6484.360527253295	3	3	3	3
6494.620591378696	3	3	3	3
6504.880655504097	3	3	3	3
6515.140719629499	3	3	3	3
6525.400783754898	3	3	2	2
6535.660847880299	3	3	3	3
6545.9209120057	3	3	3	3
6556.1809761311015	3	3	3	3
6566.441040256501	3	3	3	3
6576.701104381902	3	3	3	3
6586.961168507303	3	3	2	2
6597.221232632704	3	3	3	3
6607.481296758106	3	3	3	3
6617.741360883505	3	3	3	3
6628.001425008906	3	3	3	3
6638.261489134307	3	3	3	3
6648.5215532597085	3	3	2	2
6658.781617385108	3	3	3	3
6669.041681510509	3	3	3	3
6679.30174563591	3	3	3	3
6689.561809761311	3	3	3	3
6699.821873886711	3	3	3	3
6710.081938012112	3	3	2	2
6720.342002137513	3	3	3	3
6730.602066262914	3	3	3	3
6740.862130388316	3	3	3	3
6751.122194513715	3	3	3	3
6761.382258639116	3	3	3	3
6771.642322764517	3	3	2	2
6781.9023868899185	3	3	3	3
6792.162451015319	3	3	3	3
6802.422515140719	3	3	3	3
6812.68257926612	3	3	3	3
6822.942643391521	3	3	3	3
6833.202707516923	3	3	2	2
6843.462771642322	3	3	3	3
6853.722835767723	3	3	3	3
6863.982899893124	3	3	3	3
6874.2429640185255	3	3	3	3
6884.503028143926	3	3	3	3
6894.763092269326	3	3	2	2
6905.023156394727	3	3	3	3
