Relative Time (Process)	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m02	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m03	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m04
0.0	1	0	0	0
10.173083716001413	3	3	3	3
20.346167432002826	3	3	3	3
30.519251148004237	3	3	3	3
40.69233486400565	3	3	3	3
50.86541858000706	3	3	3	3
61.038502296008474	3	3	2	2
71.21158601200989	3	3	3	3
81.3846697280113	3	3	3	3
91.55775344401272	3	3	3	3
101.73083716001412	3	3	3	3
111.90392087601555	3	3	3	3
122.07700459201695	3	3	2	2
132.25008830801838	3	3	3	3
142.42317202401978	3	3	3	3
152.59625574002118	3	3	3	3
162.7693394560226	3	3	3	3
172.94242317202404	3	3	3	3
183.11550688802544	3	3	2	2
193.28859060402684	3	3	3	3
203.46167432002824	3	3	3	3
213.6347580360297	3	3	3	3
223.8078417520311	3	3	3	3
233.9809254680325	3	3	3	3
244.1540091840339	3	3	2	2
254.3270929000353	3	3	3	3
264.50017661603675	3	3	3	3
274.6732603320382	3	3	3	3
284.84634404803955	3	3	3	3
295.019427764041	3	3	3	3
305.19251148004236	3	3	2	2
315.3655951960438	3	3	3	3
325.5386789120452	3	3	3	3
335.71176262804664	3	3	3	3
345.88484634404807	3	3	3	3
356.05793006004944	3	3	3	3
366.2310137760509	3	3	2	2
376.4040974920523	3	3	3	3
386.5771812080537	3	3	3	3
396.7502649240551	3	3	3	3
406.9233486400565	3	3	3	3
417.0964323560579	3	3	3	3
427.2695160720594	3	3	2	2
437.44259978806076	3	3	3	3
447.6156835040622	3	3	3	3
457.7887672200636	3	3	3	3
467.961850936065	3	3	3	3
478.1349346520664	3	3	3	3
488.3080183680678	3	3	2	2
498.4811020840692	3	3	3	3
508.6541858000706	3	3	3	3
518.8272695160721	3	3	3	3
529.0003532320735	3	3	3	3
539.1734369480749	3	3	3	3
549.3465206640764	3	3	2	2
559.5196043800777	3	3	3	3
569.6926880960791	3	3	3	3
579.8657718120805	3	3	3	3
590.038855528082	3	3	3	3
600.2119392440833	3	3	3	3
610.3850229600847	3	3	2	2
620.5581066760863	3	3	3	3
630.7311903920876	3	3	3	3
640.904274108089	3	3	3	3
651.0773578240904	3	3	3	3
661.2504415400919	3	3	3	3
671.4235252560933	3	3	2	2
681.5966089720946	3	3	3	3
691.7696926880961	3	3	3	3
701.9427764040975	3	3	3	3
712.1158601200989	3	3	3	3
722.2889438361003	3	3	3	3
732.4620275521017	3	3	2	2
742.6351112681031	3	3	3	3
752.8081949841046	3	3	3	3
762.981278700106	3	3	3	3
773.1543624161073	3	3	3	3
783.3274461321089	3	3	3	3
793.5005298481102	3	3	2	2
803.6736135641116	3	3	3	3
813.846697280113	3	3	3	3
824.0197809961145	3	3	3	3
834.1928647121158	3	3	3	3
844.3659484281172	3	3	3	3
854.5390321441188	3	3	2	2
864.7121158601201	3	3	3	3
874.8851995761215	3	3	3	3
885.0582832921228	3	3	3	3
895.2313670081244	3	3	3	3
905.4044507241257	3	3	3	3
915.5775344401272	3	3	2	2
925.7506181561286	3	3	3	3
935.92370187213	3	3	3	3
946.0967855881315	3	3	3	3
956.2698693041328	3	3	3	3
966.4429530201343	3	3	3	3
976.6160367361356	3	3	2	2
986.7891204521371	3	3	3	3
996.9622041681384	3	3	3	3
1007.1352878841399	3	3	3	3
1017.3083716001412	3	3	3	3
1027.4814553161427	3	3	3	3
1037.6545390321442	3	3	2	2
1047.8276227481456	3	3	3	3
1058.000706464147	3	3	3	3
1068.1737901801484	3	3	3	3
1078.3468738961499	3	3	3	3
1088.519957612151	3	3	3	3
1098.6930413281527	3	3	2	2
1108.866125044154	3	3	3	3
1119.0392087601554	3	3	3	3
1129.212292476157	3	3	3	3
1139.3853761921582	3	3	3	3
1149.5584599081596	3	3	3	3
1159.731543624161	3	3	2	2
1169.9046273401625	3	3	3	3
1180.077711056164	3	3	3	3
1190.2507947721654	3	3	3	3
1200.4238784881666	3	3	3	3
1210.5969622041682	3	3	3	3
1220.7700459201694	3	3	2	2
1230.9431296361709	3	3	3	3
1241.1162133521725	3	3	3	3
1251.2892970681737	3	3	3	3
1261.4623807841751	3	3	3	3
1271.6354645001766	3	3	3	3
1281.808548216178	3	3	2	2
1291.9816319321794	3	3	3	3
1302.1547156481809	3	3	3	3
1312.3277993641823	3	3	3	3
1322.5008830801837	3	3	3	3
1332.6739667961851	3	3	3	3
1342.8470505121866	3	3	2	2
1353.020134228188	3	3	3	3
1363.1932179441892	3	3	3	3
1373.3663016601906	3	3	3	3
1383.5393853761923	3	3	3	3
1393.7124690921935	3	3	3	3
1403.885552808195	3	3	2	2
1414.0586365241966	3	3	3	3
1424.2317202401978	3	3	3	3
1434.4048039561992	3	3	3	3
1444.5778876722006	3	3	3	3
1454.750971388202	3	3	3	3
1464.9240551042035	3	3	2	2
1475.097138820205	3	3	3	3
1485.2702225362061	3	3	3	3
1495.4433062522078	3	3	3	3
1505.6163899682092	3	3	3	3
1515.7894736842104	3	3	3	3
1525.962557400212	3	3	2	2
1536.1356411162135	3	3	3	3
1546.3087248322147	3	3	3	3
1556.4818085482161	3	3	3	3
1566.6548922642178	3	3	3	3
1576.827975980219	3	3	3	3
1587.0010596962204	3	3	2	2
1597.1741434122216	3	3	3	3
1607.3472271282233	3	3	3	3
1617.5203108442247	3	3	3	3
1627.693394560226	3	3	3	3
1637.8664782762276	3	3	3	3
1648.039561992229	3	3	2	2
1658.2126457082302	3	3	3	3
1668.3857294242316	3	3	3	3
1678.5588131402333	3	3	3	3
1688.7318968562345	3	3	3	3
1698.904980572236	3	3	3	3
1709.0780642882376	3	3	2	2
1719.2511480042388	3	3	3	3
1729.4242317202402	3	3	3	3
1739.5973154362414	3	3	3	3
1749.770399152243	3	3	3	3
1759.9434828682445	3	3	3	3
1770.1165665842457	3	3	2	2
1780.289650300247	3	3	3	3
1790.4627340162488	3	3	3	3
1800.6358177322502	3	3	3	3
1810.8089014482514	3	3	3	3
1820.981985164253	3	3	3	3
1831.1550688802545	3	3	2	2
1841.3281525962557	3	3	3	3
1851.501236312257	3	3	3	3
1861.6743200282588	3	3	3	3
1871.84740374426	3	3	3	3
1882.0204874602614	3	3	3	3
1892.193571176263	3	3	2	2
1902.3666548922643	3	3	3	3
1912.5397386082657	3	3	3	3
1922.7128223242669	3	3	3	3
1932.8859060402685	3	3	3	3
1943.05898975627	3	3	3	3
1953.2320734722712	3	3	2	2
1963.4051571882726	3	3	3	3
1973.5782409042743	3	3	3	3
1983.7513246202755	3	3	3	3
1993.9244083362769	3	3	3	3
2004.0974920522785	3	3	3	3
2014.2705757682797	3	3	2	2
2024.4436594842812	3	3	3	3
2034.6167432002824	3	3	3	3
2044.789826916284	3	3	3	3
2054.9629106322855	3	3	3	3
2065.1359943482867	3	3	3	3
2075.3090780642883	3	3	2	2
2085.4821617802895	3	3	3	3
2095.655245496291	3	3	3	3
2105.8283292122924	3	3	3	3
2116.001412928294	3	3	3	3
2126.1744966442952	3	3	3	3
2136.347580360297	3	3	2	2
2146.520664076298	3	3	3	3
2156.6937477922997	3	3	3	3
2166.866831508301	3	3	3	3
2177.039915224302	3	3	3	3
2187.212998940304	3	3	3	3
2197.3860826563055	3	3	2	2
2207.5591663723067	3	3	3	3
2217.732250088308	3	3	3	3
2227.9053338043095	3	3	3	3
2238.0784175203107	3	3	3	3
2248.2515012363124	3	3	3	3
2258.424584952314	3	3	2	2
2268.5976686683152	3	3	3	3
2278.7707523843164	3	3	3	3
