Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6957b7fdadd54b1b65a5e8f9 - minikube	Unknown Heuristic - Run None (Profile ?) 6957b7fdadd54b1b65a5e8f9 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6957b7fdadd54b1b65a5e8f9 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6957b7fdadd54b1b65a5e8f9 - minikube-m04
0.0	1	0	0	0
14.361702127659575	3	3	2	2
28.72340425531915	3	2	2	2
43.08510638297872	2	2	2	1
57.4468085106383	3	3	2	2
71.80851063829788	3	3	2	2
86.17021276595744	2	2	2	2
100.53191489361701	3	3	2	2
114.8936170212766	2	2	2	2
129.25531914893617	3	2	2	2
143.61702127659575	3	2	2	2
157.97872340425533	3	3	2	2
172.3404255319149	2	2	2	2
186.70212765957447	2	2	1	1
201.06382978723403	3	3	2	2
215.42553191489364	3	3	2	2
229.7872340425532	2	2	2	1
244.14893617021278	3	2	2	2
258.51063829787233	3	2	2	2
272.8723404255319	2	1	1	1
287.2340425531915	3	3	2	2
301.59574468085106	2	2	2	1
315.95744680851067	2	2	2	2
330.3191489361702	2	2	2	2
344.6808510638298	2	2	2	1
359.04255319148933	3	3	3	3
373.40425531914894	3	3	3	3
387.76595744680856	4	3	3	3
402.12765957446805	4	3	3	3
416.48936170212767	3	3	3	2
430.8510638297873	3	2	2	2
445.2127659574468	3	3	2	2
459.5744680851064	2	2	2	2
473.93617021276594	4	3	3	3
488.29787234042556	4	4	4	3
502.65957446808505	3	3	2	2
517.0212765957447	2	2	2	2
531.3829787234042	3	3	3	3
545.7446808510638	4	3	3	3
560.1063829787233	3	3	2	2
574.468085106383	3	2	2	2
588.8297872340426	3	3	3	3
603.1914893617021	3	3	3	2
617.5531914893617	3	3	2	2
631.9148936170213	2	1	1	1
646.2765957446809	2	2	2	1
660.6382978723404	3	2	2	2
675.0	2	2	1	1
689.3617021276596	2	1	1	1
703.7234042553192	2	2	2	2
718.0851063829787	2	1	1	1
732.4468085106382	2	2	2	2
746.8085106382979	3	3	3	2
761.1702127659574	4	4	3	3
775.5319148936171	3	3	3	2
789.8936170212767	3	3	3	2
804.2553191489361	3	3	3	2
818.6170212765958	3	3	3	3
832.9787234042553	3	3	2	2
847.3404255319149	3	3	3	2
861.7021276595746	3	2	2	2
876.063829787234	3	3	2	2
890.4255319148936	3	3	3	3
904.7872340425532	2	2	2	1
919.1489361702128	2	2	2	2
933.5106382978724	4	3	3	3
947.8723404255319	3	3	3	2
962.2340425531914	3	3	2	2
976.5957446808511	3	2	2	2
990.9574468085107	3	3	3	3
1005.3191489361701	3	3	2	2
1019.6808510638299	3	3	3	3
1034.0425531914893	3	2	2	2
1048.404255319149	2	2	2	2
1062.7659574468084	3	3	2	2
1077.127659574468	4	3	3	3
1091.4893617021276	2	2	2	2
1105.8510638297873	2	2	2	1
1120.2127659574467	2	2	1	1
1134.5744680851064	3	2	2	2
1148.936170212766	3	3	3	2
1163.2978723404256	3	3	2	2
1177.659574468085	3	3	3	3
1192.0212765957447	3	2	2	2
1206.3829787234042	3	2	2	2
1220.7446808510638	2	2	2	2
1235.1063829787233	2	2	2	2
1249.468085106383	3	3	3	3
1263.8297872340427	3	3	3	2
1278.191489361702	3	3	3	2
1292.5531914893618	3	2	2	2
1306.9148936170213	2	2	2	2
1321.276595744681	3	2	2	2
1335.6382978723404	3	3	2	2
1350.0	3	3	2	2
1364.3617021276598	3	3	3	2
1378.723404255319	2	2	2	2
1393.0851063829787	2	2	2	2
1407.4468085106384	3	3	3	3
1421.8085106382978	3	3	3	2
1436.1702127659573	3	3	3	2
1450.531914893617	2	2	2	2
1464.8936170212764	2	2	1	1
1479.2553191489362	2	2	2	2
1493.6170212765958	3	3	3	2
1507.978723404255	2	2	2	2
1522.340425531915	2	2	2	2
1536.7021276595744	4	3	3	3
1551.0638297872342	3	3	3	3
1565.4255319148936	3	2	2	2
1579.7872340425533	3	2	2	2
1594.148936170213	2	2	1	1
1608.5106382978722	3	3	3	3
1622.872340425532	3	2	2	2
1637.2340425531916	3	2	2	2
1651.5957446808509	2	2	2	2
1665.9574468085107	2	2	2	1
1680.3191489361702	2	2	2	2
1694.6808510638298	3	3	3	2
1709.0425531914893	3	2	2	2
1723.4042553191491	2	2	2	2
1737.7659574468084	2	2	2	2
1752.127659574468	2	2	2	1
1766.4893617021278	3	3	2	2
1780.851063829787	2	2	2	1
1795.2127659574467	3	2	2	2
1809.5744680851064	2	2	2	1
1823.9361702127658	3	3	2	2
1838.2978723404256	3	3	3	3
1852.659574468085	3	3	2	2
1867.021276595745	3	2	2	2
1881.3829787234042	2	2	2	1
1895.7446808510638	2	1	1	1
1910.1063829787236	2	2	2	2
1924.468085106383	2	2	1	1
1938.8297872340427	2	2	2	1
1953.1914893617022	3	2	2	2
1967.5531914893616	2	2	2	2
1981.9148936170213	2	2	2	2
1996.276595744681	2	1	1	1
2010.6382978723402	2	2	2	1
2025.0	3	2	2	2
2039.3617021276598	2	2	1	1
2053.723404255319	3	3	3	2
2068.0851063829787	2	2	2	2
2082.446808510638	3	3	2	2
2096.808510638298	3	3	3	2
2111.1702127659573	4	3	3	3
2125.531914893617	3	3	3	3
2139.8936170212764	3	3	3	2
2154.255319148936	3	2	2	2
2168.617021276596	3	3	3	2
2182.978723404255	2	2	2	2
2197.3404255319147	3	2	2	2
2211.7021276595747	2	2	2	2
2226.063829787234	2	2	2	2
2240.4255319148933	2	2	2	2
2254.7872340425533	3	3	3	3
2269.148936170213	3	2	2	2
2283.5106382978724	4	3	3	3
2297.872340425532	3	3	3	2
2312.2340425531916	2	2	2	2
2326.595744680851	2	2	2	1
2340.9574468085107	3	3	2	2
2355.31914893617	2	1	1	1
2369.68085106383	3	3	2	2
2384.0425531914893	3	2	2	2
2398.404255319149	3	3	2	2
2412.7659574468084	3	2	2	2
2427.127659574468	3	3	3	2
2441.4893617021276	3	2	2	2
2455.851063829787	3	3	3	3
2470.2127659574467	3	3	2	2
2484.5744680851067	2	2	2	1
2498.936170212766	2	2	2	1
2513.2978723404253	3	2	2	2
2527.6595744680853	3	3	3	2
2542.021276595745	2	2	1	1
2556.382978723404	4	4	3	3
2570.744680851064	3	3	3	3
2585.1063829787236	3	3	3	2
2599.468085106383	3	3	2	2
2613.8297872340427	2	2	2	2
2628.191489361702	4	3	3	3
2642.553191489362	2	2	2	1
2656.9148936170213	3	2	2	2
2671.276595744681	2	2	1	1
2685.6382978723404	3	3	2	2
2700.0	2	2	2	2
2714.3617021276596	3	3	2	2
2728.7234042553196	3	3	3	2
2743.0851063829787	3	2	2	2
2757.446808510638	2	2	2	1
2771.8085106382982	3	3	3	3
2786.1702127659573	3	3	2	2
2800.531914893617	4	3	3	3
2814.893617021277	3	3	2	2
2829.255319148936	3	2	2	2
2843.6170212765956	2	2	2	2
2857.9787234042556	4	4	3	3
2872.3404255319147	3	2	2	2
2886.702127659574	2	2	2	1
2901.063829787234	2	2	2	1
2915.4255319148933	2	2	2	2
2929.787234042553	2	2	2	1
2944.148936170213	3	3	3	2
2958.5106382978724	3	3	2	2
2972.8723404255315	3	3	3	2
2987.2340425531916	2	2	2	2
3001.595744680851	3	3	3	2
3015.95744680851	3	3	3	2
3030.31914893617	3	3	2	2
3044.68085106383	3	3	3	3
3059.04255319149	3	3	2	2
3073.404255319149	3	3	3	2
3087.7659574468084	3	3	3	2
3102.1276595744685	2	2	2	2
3116.4893617021276	2	2	1	1
3130.851063829787	2	2	2	1
3145.212765957447	3	2	2	2
3159.5744680851067	2	2	2	1
3173.936170212766	3	3	3	2
3188.297872340426	2	2	2	2
3202.6595744680853	2	2	2	1
3217.0212765957444	3	3	3	3
3231.3829787234044	3	3	3	2
3245.744680851064	3	3	3	2
3260.106382978723	3	2	2	2
3274.468085106383	3	2	2	2
3288.8297872340427	3	3	3	3
3303.1914893617018	4	4	3	3
3317.553191489362	3	3	3	3
3331.9148936170213	3	3	2	2
3346.2765957446804	3	2	2	2
3360.6382978723404	3	2	2	2
3375.0	3	2	2	2
3389.3617021276596	3	3	2	2
3403.7234042553196	3	3	3	2
3418.0851063829787	3	2	2	2
3432.446808510638	4	3	3	3
3446.8085106382982	3	3	2	2
3461.1702127659573	3	3	2	2
3475.531914893617	3	3	2	2
3489.893617021277	3	3	3	2
3504.255319148936	4	4	3	3
3518.6170212765956	3	3	2	2
3532.9787234042556	2	2	2	2
3547.3404255319147	4	3	3	3
3561.702127659574	3	3	3	3
3576.063829787234	3	3	2	2
3590.4255319148933	2	2	2	2
3604.787234042553	2	2	2	1
3619.148936170213	2	2	2	1
3633.5106382978724	3	3	2	2
3647.8723404255315	3	2	2	2
3662.2340425531916	3	3	2	2
3676.595744680851	3	3	2	2
3690.95744680851	3	3	2	2
3705.31914893617	2	2	2	2
3719.68085106383	3	3	3	2
3734.04255319149	3	2	2	2
3748.404255319149	3	3	3	2
3762.7659574468084	3	3	2	2
3777.1276595744685	3	2	2	2
3791.4893617021276	2	2	2	1
3805.851063829787	3	3	2	2
3820.212765957447	4	4	3	3
3834.5744680851067	2	2	2	1
3848.936170212766	2	2	1	1
3863.297872340426	2	2	2	2
3877.6595744680853	2	2	1	1
3892.0212765957444	3	2	2	2
3906.3829787234044	3	2	2	2
3920.744680851064	2	2	1	1
3935.106382978723	3	3	3	2
3949.468085106383	2	2	2	2
3963.8297872340427	2	2	1	1
3978.1914893617018	3	3	3	2
3992.553191489362	3	3	3	3
4006.9148936170213	3	3	3	2
4021.2765957446804	3	3	3	2
4035.6382978723404	3	3	3	2
4050.0	2	2	2	2
4064.3617021276596	2	2	2	1
4078.7234042553196	3	3	3	2
4093.0851063829787	2	2	2	1
4107.446808510638	3	3	3	2
4121.808510638298	3	3	3	2
4136.170212765957	2	2	2	2
4150.531914893617	3	3	3	3
4164.893617021276	3	3	2	2
4179.255319148936	2	2	2	2
4193.617021276596	2	2	1	1
4207.978723404255	2	1	1	1
4222.340425531915	2	1	1	1
4236.702127659574	3	3	3	2
4251.063829787234	4	3	3	3
4265.425531914893	4	4	3	3
4279.787234042553	4	3	3	3
4294.148936170213	2	2	1	1
4308.510638297872	2	2	1	1
4322.872340425532	3	3	2	2
4337.234042553192	2	2	2	2
4351.595744680851	3	2	2	2
4365.95744680851	2	2	2	2
4380.319148936171	2	2	2	2
4394.680851063829	2	2	2	1
4409.04255319149	3	3	2	2
4423.404255319149	3	3	2	2
4437.765957446808	3	3	2	2
4452.127659574468	3	2	2	2
4466.489361702128	2	2	2	1
4480.851063829787	2	1	1	1
4495.212765957447	4	4	4	4
4509.574468085107	2	2	2	1
4523.936170212766	4	3	3	3
4538.297872340426	3	3	3	3
4552.659574468085	3	3	2	2
4567.021276595745	2	2	2	2
4581.382978723404	3	2	2	2
4595.744680851064	3	3	3	2
4610.106382978724	2	2	2	1
4624.468085106383	3	3	3	3
4638.829787234043	3	3	3	3
4653.191489361702	3	3	2	2
4667.553191489362	3	2	2	2
4681.914893617021	4	4	3	3
4696.276595744681	3	3	3	2
4710.63829787234	3	3	2	2
4725.0	3	2	2	2
4739.36170212766	2	2	2	1
4753.723404255319	3	3	2	2
4768.085106382979	3	2	2	2
4782.446808510638	2	2	2	1
4796.808510638298	3	3	3	2
4811.170212765957	3	3	2	2
4825.531914893617	2	2	2	2
4839.893617021276	3	3	3	2
4854.255319148936	3	2	2	2
4868.617021276596	3	2	2	2
4882.978723404255	2	2	2	1
4897.340425531915	4	4	3	3
4911.702127659574	3	3	3	2
4926.063829787234	2	2	2	2
4940.425531914893	3	3	2	2
4954.787234042553	3	2	2	2
4969.148936170213	4	3	3	3
4983.510638297872	3	3	3	2
4997.872340425532	2	2	2	2
5012.234042553192	3	3	3	3
5026.595744680851	3	3	3	3
5040.95744680851	4	3	3	3
5055.319148936171	3	3	3	2
5069.680851063829	4	4	3	3
5084.04255319149	3	3	3	2
5098.404255319149	3	3	3	3
5112.765957446808	2	2	2	1
5127.127659574468	3	3	2	2
5141.489361702128	4	3	3	3
5155.851063829787	3	3	2	2
5170.212765957447	2	2	2	1
5184.574468085107	3	3	2	2
5198.936170212766	3	3	3	2
5213.297872340426	3	3	3	3
5227.659574468085	3	3	2	2
5242.021276595745	3	3	3	2
5256.382978723404	3	3	2	2
5270.744680851064	3	3	2	2
5285.106382978724	2	1	1	1
5299.468085106383	3	2	2	2
5313.829787234043	3	3	2	2
5328.191489361702	3	3	2	2
5342.553191489362	2	2	2	2
5356.914893617021	3	2	2	2
5371.276595744681	3	3	2	2
5385.63829787234	4	4	3	3
5400.0	3	3	2	2
5414.36170212766	2	2	2	2
5428.723404255319	2	2	2	1
5443.08510638298	2	2	2	2
5457.446808510639	3	3	3	3
5471.808510638298	3	3	2	2
5486.170212765957	3	3	3	3
5500.531914893617	3	3	3	2
5514.893617021276	2	2	2	2
5529.255319148937	2	2	2	2
5543.6170212765965	3	3	2	2
5557.978723404255	3	3	2	2
5572.340425531915	4	4	3	3
5586.702127659574	4	4	4	4
5601.063829787234	4	3	3	3
5615.425531914894	3	2	2	2
5629.787234042554	2	2	2	2
5644.148936170213	3	3	2	2
5658.510638297872	2	2	2	2
5672.872340425532	2	2	1	1
5687.234042553191	2	2	1	1
5701.595744680852	4	4	4	3
5715.957446808511	3	3	2	2
5730.319148936171	2	2	1	1
5744.680851063829	3	3	3	3
5759.042553191489	3	3	3	3
5773.404255319148	3	2	2	2
5787.765957446809	2	2	2	2
5802.127659574468	3	3	3	2
5816.489361702128	4	3	3	3
5830.851063829787	3	3	3	3
5845.212765957446	3	3	3	3
5859.574468085106	3	2	2	2
5873.936170212766	3	3	3	2
5888.297872340426	3	3	3	2
5902.659574468085	3	3	3	3
5917.021276595745	4	3	3	3
5931.3829787234035	3	3	3	2
5945.744680851063	3	2	2	2
5960.106382978724	3	3	3	2
5974.468085106383	3	3	2	2
5988.829787234043	3	3	3	3
6003.191489361702	3	3	3	2
6017.553191489361	3	3	3	2
6031.91489361702	2	2	2	2
6046.276595744681	3	3	3	2
6060.63829787234	2	2	2	2
6075.0	2	2	1	1
6089.36170212766	4	3	3	3
6103.723404255319	3	3	3	3
6118.08510638298	3	3	3	3
