Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m04
0.0	1	0	0	0
13.094877235525917	3	3	3	2
26.189754471051835	2	2	2	2
39.28463170657775	4	3	3	3
52.37950894210367	3	3	3	2
65.47438617762958	3	2	2	2
78.5692634131555	2	2	2	2
91.66414064868141	3	3	3	2
104.75901788420734	3	3	2	2
117.85389511973324	4	3	3	3
130.94877235525917	2	2	1	1
144.04364959078507	3	2	2	2
157.138526826311	2	2	2	2
170.23340406183692	3	3	3	2
183.32828129736282	3	3	2	2
196.42315853288878	4	3	3	3
209.51803576841468	4	3	3	3
222.61291300394058	3	3	3	3
235.70779023946648	3	2	2	2
248.80266747499243	3	3	2	2
261.89754471051833	2	2	2	2
274.99242194604426	3	3	2	2
288.08729918157013	3	3	3	2
301.1821764170961	4	4	3	3
314.277053652622	3	3	3	3
327.3719308881479	3	2	2	2
340.46680812367384	2	2	1	1
353.56168535919977	3	3	3	2
366.65656259472564	4	3	3	3
379.75143983025157	2	2	2	2
392.84631706577755	2	2	1	1
405.9411943013034	2	2	1	1
419.03607153682935	3	3	3	3
432.1309487723553	3	3	3	3
445.22582600788115	2	2	2	2
458.3207032434071	3	3	3	3
471.41558047893295	3	3	3	2
484.51045771445894	3	3	3	3
497.60533494998487	3	3	3	3
510.70021218551074	3	2	2	2
523.7950894210367	2	2	2	1
536.8899666565626	4	4	3	3
549.9848438920885	3	3	3	3
563.0797211276144	2	2	2	2
576.1745983631403	2	2	2	2
589.2694755986663	3	3	2	2
602.3643528341922	3	3	2	2
615.459230069718	2	1	1	1
628.554107305244	1	1	1	1
641.64898454077	3	3	3	2
654.7438617762958	3	3	2	2
667.8387390118218	3	2	2	2
680.9336162473477	3	3	2	2
694.0284934828736	3	3	2	2
707.1233707183995	2	2	2	1
720.2182479539254	3	3	2	2
733.3131251894513	3	3	3	2
746.4080024249773	2	2	2	1
759.5028796605031	3	3	3	2
772.5977568960291	3	3	2	2
785.6926341315551	3	2	2	2
798.7875113670809	2	2	2	1
811.8823886026069	2	2	2	1
824.9772658381328	3	3	2	2
838.0721430736587	3	2	2	2
851.1670203091845	2	2	2	2
864.2618975447106	2	2	2	2
877.3567747802365	2	2	2	2
890.4516520157623	3	3	2	2
903.5465292512883	3	2	2	2
916.6414064868142	3	3	3	2
929.7362837223401	2	2	2	2
942.8311609578659	2	2	2	2
955.926038193392	3	3	3	3
969.0209154289179	3	3	3	3
982.1157926644437	3	3	3	2
995.2106698999697	3	3	2	2
1008.3055471354957	3	3	3	3
1021.4004243710215	3	2	2	2
1034.4953016065474	2	2	2	2
1047.5901788420733	4	4	3	3
1060.6850560775993	3	3	3	3
1073.7799333131252	3	3	3	3
1086.874810548651	4	4	4	3
1099.969687784177	4	3	3	3
1113.064565019703	3	3	3	3
1126.159442255229	4	3	3	3
1139.2543194907548	3	3	2	2
1152.3491967262805	2	2	2	1
1165.4440739618067	2	2	2	2
1178.5389511973326	2	2	2	2
1191.6338284328583	4	4	3	3
1204.7287056683845	3	3	3	3
1217.8235829039104	3	3	2	2
1230.918460139436	3	3	3	2
1244.0133373749622	3	3	3	2
1257.108214610488	2	2	2	2
1270.2030918460139	3	3	3	2
1283.29796908154	4	3	3	3
1296.3928463170657	4	3	3	3
1309.4877235525917	4	3	3	3
1322.5826007881176	3	3	3	2
1335.6774780236435	3	3	2	2
1348.7723552591694	2	2	2	2
1361.8672324946954	3	3	3	3
1374.962109730221	2	2	2	2
1388.0569869657472	3	3	2	2
1401.1518642012732	4	3	3	3
1414.246741436799	3	3	2	2
1427.341618672325	3	2	2	2
1440.4364959078507	4	4	4	3
1453.5313731433766	4	4	4	3
1466.6262503789026	3	3	3	3
1479.7211276144287	3	3	2	2
1492.8160048499547	3	2	2	2
1505.9108820854806	3	2	2	2
1519.0057593210063	3	3	2	2
1532.1006365565322	2	2	1	1
1545.1955137920581	2	2	2	2
1558.2903910275843	3	3	3	3
1571.3852682631102	3	3	2	2
1584.480145498636	3	3	3	2
1597.5750227341618	3	2	2	2
1610.6698999696878	3	3	2	2
1623.7647772052137	2	2	2	1
1636.8596544407394	3	2	2	2
1649.9545316762656	2	2	2	1
1663.0494089117915	2	2	2	2
1676.1442861473174	3	3	2	2
1689.2391633828433	2	2	2	2
1702.334040618369	2	2	2	2
1715.428917853895	3	3	2	2
1728.5237950894211	2	2	2	1
1741.618672324947	3	3	3	2
1754.713549560473	3	2	2	2
1767.8084267959987	1	1	1	1
1780.9033040315246	2	2	1	1
1793.9981812670505	2	2	1	1
1807.0930585025767	2	1	1	1
1820.1879357381026	2	2	2	2
1833.2828129736283	3	2	2	2
1846.3776902091543	3	2	2	2
1859.4725674446802	3	2	2	2
1872.567444680206	3	3	3	3
1885.6623219157318	3	3	3	2
1898.7571991512582	3	3	3	2
1911.852076386784	4	4	3	3
1924.9469536223098	3	3	3	2
1938.0418308578357	3	2	2	2
1951.1367080933614	3	2	2	2
1964.2315853288874	3	2	2	2
1977.3264625644135	3	3	3	2
1990.4213397999395	4	4	4	4
2003.5162170354654	3	3	3	3
2016.6110942709913	3	3	3	2
2029.705971506517	3	3	3	3
2042.800848742043	3	3	2	2
2055.895725977569	3	3	3	3
2068.990603213095	3	3	2	2
2082.0854804486207	3	3	2	2
2095.1803576841467	3	3	2	2
2108.2752349196726	2	2	2	2
2121.3701121551985	2	2	2	1
2134.4649893907244	3	3	3	3
2147.5598666262504	3	3	2	2
2160.6547438617763	3	3	2	2
2173.749621097302	3	3	3	3
2186.844498332828	4	3	3	3
2199.939375568354	3	3	3	2
2213.03425280388	2	2	2	1
2226.129130039406	2	2	2	1
2239.224007274932	3	2	2	2
2252.318884510458	3	2	2	2
2265.4137617459837	2	2	2	1
2278.5086389815096	2	1	1	1
2291.6035162170356	2	2	2	1
2304.698393452561	3	2	2	2
2317.7932706880874	3	3	2	2
2330.8881479236134	2	2	2	2
2343.9830251591393	3	3	2	2
2357.077902394665	3	2	2	2
2370.1727796301907	2	2	2	2
2383.2676568657166	3	3	3	2
2396.362534101243	4	4	3	3
2409.457411336769	3	3	3	3
2422.552288572295	2	2	2	2
2435.647165807821	2	2	2	2
2448.7420430433463	3	2	2	2
2461.836920278872	3	3	2	2
2474.931797514398	3	3	3	2
2488.0266747499245	2	2	2	2
2501.1215519854504	3	3	2	2
2514.216429220976	3	2	2	2
2527.311306456502	3	2	2	2
2540.4061836920278	2	2	2	2
2553.5010609275537	3	3	3	2
2566.59593816308	2	2	2	1
2579.6908153986055	3	3	3	2
2592.7856926341315	3	3	3	2
2605.8805698696574	4	4	4	3
2618.9754471051833	3	3	2	2
2632.0703243407092	3	3	3	3
2645.165201576235	3	3	3	2
2658.260078811761	3	3	3	3
2671.354956047287	3	2	2	2
2684.449833282813	3	3	3	3
2697.544710518339	3	2	2	2
2710.639587753865	2	2	2	2
2723.7344649893907	3	3	3	3
2736.8293422249167	4	4	4	4
2749.924219460442	4	3	3	3
2763.019096695968	4	4	3	3
2776.1139739314945	2	2	2	2
2789.2088511670204	2	2	2	1
2802.3037284025463	3	3	2	2
2815.3986056380722	3	3	3	2
2828.493482873598	2	2	2	2
2841.588360109124	3	3	2	2
2854.68323734465	2	2	2	1
2867.778114580176	2	2	2	2
2880.8729918157014	2	2	2	2
2893.9678690512274	3	3	3	2
2907.0627462867533	2	2	2	2
2920.157623522279	3	3	2	2
2933.252500757805	3	3	3	2
2946.3473779933315	3	2	2	2
2959.4422552288574	3	3	2	2
2972.5371324643834	3	3	3	3
2985.6320096999093	3	3	3	3
2998.7268869354352	3	2	2	2
3011.821764170961	2	2	2	2
3024.9166414064866	3	2	2	2
3038.0115186420126	3	2	2	2
3051.1063958775385	3	2	2	2
3064.2012731130644	3	2	2	2
3077.2961503485903	3	3	2	2
3090.3910275841163	4	3	3	3
3103.485904819642	2	2	2	1
3116.5807820551686	4	3	3	3
3129.6756592906945	3	3	2	2
3142.7705365262204	2	2	2	1
3155.865413761746	4	4	4	3
3168.960290997272	2	2	2	2
3182.0551682327978	4	3	3	3
3195.1500454683237	3	3	2	2
3208.2449227038496	2	2	2	1
3221.3397999393756	2	2	2	1
3234.4346771749015	4	3	3	3
3247.5295544104274	3	3	3	2
3260.624431645953	4	4	4	3
3273.719308881479	2	2	2	2
3286.8141861170056	2	1	1	1
3299.909063352531	2	1	1	1
3313.003940588057	3	3	3	3
3326.098817823583	3	2	2	2
3339.193695059109	3	2	2	2
3352.288572294635	3	2	2	2
3365.3834495301608	3	3	2	2
3378.4783267656867	3	3	2	2
3391.573204001212	3	2	2	2
3404.668081236738	3	2	2	2
3417.762958472264	3	3	3	3
3430.85783570779	2	2	2	1
3443.952712943316	2	2	2	2
3457.0475901788423	2	2	1	1
3470.142467414368	3	3	2	2
