Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m04
0.0	1	0	0	0
14.37843235147279	2	2	2	2
28.75686470294558	3	3	3	2
43.13529705441837	3	3	3	3
57.51372940589116	3	3	2	2
71.89216175736395	3	3	3	2
86.27059410883675	3	3	2	2
100.64902646030953	2	2	2	2
115.02745881178232	3	2	2	2
129.40589116325512	2	2	2	1
143.7843235147279	2	2	1	1
158.1627558662007	3	2	2	2
172.5411882176735	3	2	2	2
186.91962056914628	3	3	3	3
201.29805292061906	4	3	3	3
215.67648527209187	2	2	1	1
230.05491762356465	2	2	2	1
244.43334997503743	3	3	3	2
258.81178232651024	3	3	2	2
273.190214677983	2	2	2	2
287.5686470294558	2	2	2	2
301.9470793809286	2	2	1	1
316.3255117324014	2	2	2	2
330.7039440838742	3	3	2	2
345.082376435347	3	2	2	2
359.46080878681977	3	3	2	2
373.83924113829255	3	2	2	2
388.2176734897654	3	3	3	2
402.5961058412381	3	3	3	3
416.97453819271095	3	3	3	2
431.35297054418373	2	2	2	2
445.7314028956565	4	3	3	3
460.1098352471293	3	3	3	2
474.48826759860214	3	3	3	3
488.86669995007486	4	4	3	3
503.2451323015477	3	3	2	2
517.6235646530205	3	2	2	2
532.0019970044932	3	2	2	2
546.380429355966	3	3	2	2
560.7588617074388	3	3	3	2
575.1372940589116	3	3	2	2
589.5157264103844	2	2	2	2
603.8941587618572	2	2	2	2
618.27259111333	2	2	2	2
632.6510234648028	2	2	2	2
647.0294558162756	3	2	2	2
661.4078881677484	3	3	2	2
675.7863205192211	4	3	3	3
690.164752870694	3	3	3	2
704.5431852221667	2	2	2	2
718.9216175736395	2	2	2	2
733.3000499251124	2	2	2	2
747.6784822765851	3	3	3	2
762.0569146280578	3	3	3	3
776.4353469795308	3	3	3	2
790.8137793310035	2	2	2	1
805.1922116824762	3	3	3	3
819.5706440339492	3	2	2	2
833.9490763854219	3	3	3	2
848.3275087368946	3	3	3	3
862.7059410883675	3	2	2	2
877.0843734398403	4	4	3	3
891.462805791313	3	3	2	2
905.8412381427859	4	4	3	3
920.2196704942586	3	3	3	3
934.5981028457313	3	3	3	2
948.9765351972043	3	3	2	2
963.354967548677	3	3	2	2
977.7333999001497	3	2	2	2
992.1118322516227	3	2	2	2
1006.4902646030954	3	2	2	2
1020.8686969545681	3	3	2	2
1035.247129306041	2	2	2	2
1049.6255616575138	3	3	3	2
1064.0039940089864	3	2	2	2
1078.3824263604592	2	2	2	2
1092.760858711932	3	2	2	2
1107.139291063405	3	3	2	2
1121.5177234148775	3	2	2	2
1135.8961557663506	3	3	3	2
1150.2745881178232	3	2	2	2
1164.653020469296	3	3	2	2
1179.031452820769	3	3	2	2
1193.4098851722417	2	2	2	2
1207.7883175237143	2	2	2	2
1222.1667498751872	3	3	3	2
1236.54518222666	3	3	3	3
1250.9236145781326	2	2	2	2
1265.3020469296057	3	3	3	2
1279.6804792810783	3	3	3	2
1294.0589116325511	3	3	2	2
1308.437343984024	3	3	3	2
1322.8157763354968	2	2	2	2
1337.1942086869694	3	3	3	2
1351.5726410384423	2	2	2	2
1365.951073389915	3	3	3	2
1380.329505741388	3	2	2	2
1394.7079380928606	3	3	3	2
1409.0863704443334	3	2	2	2
1423.4648027958065	3	2	2	2
1437.843235147279	2	2	2	2
1452.221667498752	3	3	2	2
1466.6000998502248	2	2	2	1
1480.9785322016974	2	1	1	1
1495.3569645531702	3	3	2	2
1509.735396904643	3	2	2	2
1524.1138292561157	3	3	3	3
1538.4922616075887	4	4	4	4
1552.8706939590616	4	3	3	3
1567.2491263105342	4	4	3	3
1581.627558662007	3	2	2	2
1596.0059910134798	2	2	2	1
1610.3844233649525	3	2	2	2
1624.7628557164253	4	3	3	3
1639.1412880678984	3	3	3	2
1653.519720419371	2	2	2	2
1667.8981527708438	3	2	2	2
1682.2765851223166	3	3	2	2
1696.6550174737893	3	2	2	2
1711.033449825262	3	3	2	2
1725.411882176735	2	2	2	1
1739.7903145282075	3	2	2	2
1754.1687468796806	2	2	2	2
1768.5471792311535	2	2	2	2
1782.925611582626	4	3	3	3
1797.304043934099	4	4	4	3
1811.6824762855717	4	3	3	3
1826.0609086370443	3	3	3	2
1840.4393409885172	3	3	3	3
1854.8177733399903	3	3	3	2
1869.1962056914626	2	2	2	1
1883.5746380429357	3	2	2	2
1897.9530703944085	3	2	2	2
1912.3315027458812	3	2	2	2
1926.709935097354	3	3	3	2
1941.0883674488268	3	3	3	3
1955.4667998002994	3	2	2	2
1969.8452321517723	3	3	2	2
1984.2236645032453	2	2	2	1
1998.602096854718	3	3	2	2
2012.9805292061908	2	2	1	1
2027.3589615576636	3	2	2	2
2041.7373939091362	2	2	2	2
2056.115826260609	3	3	3	2
2070.494258612082	3	3	3	2
2084.8726909635548	2	2	1	1
2099.2511233150276	2	1	1	1
2113.6295556665	2	2	2	2
2128.007988017973	4	4	4	3
2142.386420369446	3	3	3	2
2156.7648527209185	2	2	2	2
2171.1432850723913	3	3	2	2
2185.521717423864	3	3	2	2
2199.900149775337	3	3	2	2
2214.27858212681	3	3	3	2
2228.6570144782827	3	2	2	2
2243.035446829755	2	2	2	2
2257.413879181228	3	3	3	2
2271.792311532701	3	2	2	2
2286.1707438841736	3	3	3	2
2300.5491762356464	3	3	3	3
2314.9276085871193	2	2	2	1
2329.306040938592	2	2	2	1
2343.684473290065	2	2	2	2
2358.062905641538	2	2	2	2
2372.44133799301	3	3	3	3
2386.8197703444835	3	3	3	3
2401.1982026959563	3	2	2	2
2415.5766350474287	2	2	2	2
2429.9550673989015	2	2	2	2
2444.3334997503744	3	3	2	2
2458.711932101847	2	2	2	2
2473.09036445332	2	2	2	2
2487.468796804793	3	3	3	2
2501.8472291562653	3	2	2	2
2516.2256615077386	3	3	2	2
2530.6040938592114	2	2	2	2
2544.982526210684	2	2	2	2
2559.3609585621566	3	3	3	3
2573.7393909136294	3	3	2	2
2588.1178232651023	3	2	2	2
2602.496255616575	3	3	2	2
2616.874687968048	2	2	2	1
2631.253120319521	3	2	2	2
2645.6315526709936	3	3	3	2
2660.0099850224665	3	3	3	2
2674.388417373939	3	2	2	2
2688.7668497254117	3	3	2	2
2703.1452820768845	3	3	2	2
2717.5237144283574	2	1	1	1
2731.90214677983	3	2	2	2
2746.280579131303	4	3	3	3
2760.659011482776	3	3	3	3
2775.0374438342483	3	3	2	2
2789.415876185721	3	3	3	3
2803.794308537194	3	3	2	2
2818.172740888667	3	3	3	3
2832.55117324014	3	2	2	2
2846.929605591613	2	2	2	1
2861.308037943085	3	2	2	2
