Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m04
0.0	1	0	0	0
15.13665031534688	3	3	3	3
30.27330063069376	4	3	3	3
45.40995094604065	2	2	2	1
60.54660126138752	3	3	2	2
75.6832515767344	3	3	3	2
90.8199018920813	3	2	2	2
105.95655220742817	2	2	2	1
121.09320252277504	3	2	2	2
136.22985283812193	3	3	2	2
151.3665031534688	3	3	3	2
166.5031534688157	3	3	2	2
181.6398037841626	3	3	2	2
196.77645409950946	3	3	3	2
211.91310441485635	2	2	1	1
227.0497547302032	3	3	2	2
242.1864050455501	3	2	2	2
257.323055360897	3	3	3	2
272.45970567624386	3	3	3	2
287.59635599159077	3	2	2	2
302.7330063069376	3	3	3	3
317.8696566222845	3	3	3	2
333.0063069376314	2	2	1	1
348.1429572529783	3	3	3	2
363.2796075683252	3	3	2	2
378.416257883672	3	3	3	3
393.55290819901893	2	2	2	2
408.6895585143658	2	1	1	1
423.8262088297127	3	3	2	2
438.9628591450596	2	2	2	2
454.0995094604064	2	2	2	1
469.2361597757533	3	3	3	2
484.3728100911002	3	3	3	2
499.5094604064471	3	3	3	2
514.646110721794	4	4	4	3
529.7827610371409	3	3	3	2
544.9194113524877	3	2	2	2
560.0560616678346	2	2	2	2
575.1927119831815	2	2	2	2
590.3293622985284	2	2	2	2
605.4660126138753	2	2	1	1
620.6026629292221	2	2	1	1
635.739313244569	1	1	1	1
650.8759635599159	3	3	2	2
666.0126138752628	3	3	3	2
681.1492641906096	3	3	3	3
696.2859145059566	3	3	3	2
711.4225648213035	3	3	3	2
726.5592151366504	3	3	2	2
741.6958654519972	3	2	2	2
756.832515767344	2	2	2	2
771.969166082691	3	3	3	2
787.1058163980379	3	3	2	2
802.2424667133848	3	3	3	2
817.3791170287316	2	2	2	2
832.5157673440784	2	2	2	1
847.6524176594254	3	2	2	2
862.7890679747723	3	3	3	2
877.9257182901192	3	3	3	2
893.062368605466	3	3	3	2
908.1990189208128	3	3	2	2
923.3356692361598	3	3	2	2
938.4723195515066	2	2	2	2
953.6089698668536	2	2	2	1
968.7456201822004	3	3	3	2
983.8822704975473	3	2	2	2
999.0189208128942	2	2	2	2
