Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m04
0.0	1	0	0	0
14.799588900308326	4	3	3	3
29.59917780061665	3	3	3	2
44.39876670092497	3	3	3	2
59.1983556012333	3	2	2	2
73.99794450154162	3	3	2	2
88.79753340184995	2	2	2	1
103.59712230215827	4	3	3	3
118.3967112024666	2	2	2	1
133.19630010277493	3	3	3	2
147.99588900308325	3	3	3	2
162.79547790339157	2	2	1	1
177.5950668036999	2	2	1	1
192.39465570400824	1	1	1	1
207.19424460431654	2	2	2	2
221.99383350462486	2	2	2	1
236.7934224049332	3	3	2	2
251.59301130524153	3	3	2	2
266.39260020554985	2	2	2	2
281.1921891058582	3	2	2	2
295.9917780061665	2	2	1	1
310.7913669064748	3	2	2	2
325.59095580678314	3	3	2	2
340.3905447070915	3	3	2	2
355.1901336073998	3	2	2	2
369.9897225077081	2	2	2	2
384.7893114080165	4	4	4	3
399.58890030832475	3	2	2	2
414.3884892086331	2	2	2	2
429.18807810894145	3	3	2	2
443.9876670092497	2	2	2	2
458.78725590955804	3	3	3	2
473.5868448098664	4	3	3	3
488.3864337101747	3	2	2	2
503.18602261048306	3	3	3	3
517.9856115107914	3	3	2	2
532.7852004110997	2	2	2	1
547.584789311408	2	2	2	1
562.3843782117164	3	3	2	2
577.1839671120247	3	3	2	2
591.983556012333	3	3	2	2
606.7831449126413	3	3	3	2
621.5827338129496	3	3	2	2
636.382322713258	2	2	2	2
651.1819116135663	2	2	1	1
665.9815005138746	2	2	2	1
680.781089414183	2	1	1	1
695.5806783144913	3	3	2	2
710.3802672147996	2	2	2	1
725.1798561151079	2	2	2	2
739.9794450154162	2	2	2	2
754.7790339157245	2	2	2	2
769.578622816033	4	3	3	3
784.3782117163412	3	2	2	2
799.1778006166495	3	2	2	2
813.9773895169578	3	3	3	2
828.7769784172662	2	2	2	2
843.5765673175746	3	3	2	2
858.3761562178829	3	3	3	3
873.1757451181911	4	4	3	3
887.9753340184994	3	3	3	2
902.7749229188078	3	2	2	2
917.5745118191161	2	2	2	2
932.3741007194245	3	3	3	3
947.1736896197328	3	3	2	2
961.973278520041	2	2	2	2
976.7728674203494	2	2	2	2
991.5724563206577	3	2	2	2
1006.3720452209661	3	3	3	2
1021.1716341212745	3	3	3	2
1035.9712230215828	2	2	2	1
1050.770811921891	3	3	3	3
1065.5704008221994	3	3	3	2
1080.3699897225079	4	4	3	3
1095.169578622816	3	3	3	3
1109.9691675231243	2	1	1	1
1124.7687564234327	2	2	2	1
1139.568345323741	2	2	2	2
1154.3679342240493	2	2	2	1
1169.1675231243578	3	3	2	2
1183.967112024666	2	2	2	2
1198.7667009249742	2	2	2	2
1213.5662898252826	3	2	2	2
1228.3658787255908	3	3	2	2
1243.1654676258993	2	2	2	1
1257.9650565262077	2	2	2	2
1272.764645426516	3	2	2	2
1287.5642343268241	3	3	3	3
1302.3638232271326	3	3	2	2
1317.1634121274408	4	4	4	3
1331.9630010277492	3	3	3	3
1346.7625899280577	4	4	4	3
1361.562178828366	3	2	2	2
1376.361767728674	3	3	2	2
1391.1613566289825	2	2	2	2
1405.9609455292907	2	2	2	2
1420.7605344295991	2	2	2	1
1435.5601233299074	3	3	2	2
1450.3597122302158	2	2	2	1
1465.1593011305242	2	2	2	2
1479.9588900308324	3	3	2	2
1494.7584789311409	3	2	2	2
1509.558067831449	2	2	1	1
1524.3576567317575	3	3	3	3
1539.157245632066	3	3	3	2
1553.956834532374	3	3	3	2
1568.7564234326824	2	2	2	2
1583.5560123329906	4	4	3	3
1598.355601233299	3	3	3	2
1613.1551901336074	4	4	3	3
1627.9547790339157	2	2	2	2
1642.754367934224	4	3	3	3
1657.5539568345323	3	3	2	2
1672.3535457348407	3	3	2	2
1687.1531346351492	3	2	2	2
1701.9527235354574	3	2	2	2
1716.7523124357658	3	3	2	2
1731.5519013360738	2	2	2	2
1746.3514902363822	2	2	2	2
1761.151079136691	2	2	1	1
1775.9506680369989	2	1	1	1
1790.7502569373073	2	2	2	2
1805.5498458376155	2	2	2	2
1820.349434737924	3	3	3	3
1835.1490236382322	2	2	2	2
1849.9486125385406	3	3	2	2
1864.748201438849	2	2	2	2
1879.5477903391572	2	2	2	1
1894.3473792394657	3	3	2	2
1909.1469681397737	3	3	3	2
1923.946557040082	3	3	2	2
1938.7461459403908	2	2	2	1
1953.5457348406987	2	2	2	1
1968.3453237410072	2	2	2	2
1983.1449126413154	3	3	3	3
1997.9445015416238	3	2	2	2
2012.7440904419323	2	2	2	2
2027.5436793422405	3	3	2	2
2042.343268242549	3	2	2	2
2057.142857142857	4	3	3	3
2071.9424460431655	2	2	2	2
2086.7420349434738	4	4	3	3
2101.541623843782	3	3	2	2
2116.3412127440906	3	3	3	2
2131.140801644399	3	3	2	2
2145.940390544707	3	3	3	2
2160.7399794450157	4	3	3	3
2175.539568345324	3	3	3	3
2190.339157245632	4	3	3	3
2205.1387461459403	3	3	3	2
2219.9383350462485	3	3	2	2
2234.7379239465567	4	3	3	3
2249.5375128468654	4	4	3	3
2264.3371017471736	3	2	2	2
2279.136690647482	3	3	3	2
2293.9362795477905	3	2	2	2
2308.7358684480987	2	2	2	2
2323.535457348407	2	2	2	2
2338.3350462487156	3	3	3	3
2353.134635149024	3	3	2	2
2367.934224049332	3	3	3	3
2382.73381294964	3	3	3	2
2397.5334018499484	3	2	2	2
2412.332990750257	3	3	2	2
2427.1325796505653	4	3	3	3
2441.9321685508735	3	3	3	2
2456.7317574511817	3	3	2	2
2471.5313463514904	2	2	2	2
2486.3309352517986	2	2	2	1
2501.130524152107	3	3	3	3
2515.9301130524154	4	3	3	3
2530.7297019527236	3	3	3	3
2545.529290853032	3	3	3	3
2560.3288797533405	3	3	2	2
2575.1284686536483	2	2	2	1
2589.928057553957	3	2	2	2
2604.727646454265	3	2	2	2
2619.5272353545733	3	2	2	2
2634.3268242548816	3	3	3	2
2649.12641315519	2	2	1	1
2663.9260020554984	2	2	1	1
2678.7255909558066	2	2	2	1
2693.5251798561153	3	2	2	2
2708.3247687564235	3	2	2	2
2723.124357656732	3	2	2	2
2737.9239465570404	4	3	3	3
2752.723535457348	3	3	3	2
2767.5231243576563	3	3	2	2
2782.322713257965	3	3	3	2
2797.122302158273	3	3	2	2
